"Segment"	"en-ZZ"	"ko-KR"	"ID"	"File"
"1453"	"Yes"	"예"	"Q2M967_question_Q2tr1th2_5c9d20c9d208f1.50141356_0"	"PISA_kor-KOR_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;숫자 키를 사용하여 물음에 대한 답을 입력하시오.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a5484cf1e0.23189165_0"	"PISA_kor-KOR_MAT_M464-Fence_en15_MS2022.xlf"
"808"	"No"	"아니요"	"Q2M905_question_question2_7_50c7984deb74a7.23287478_0"	"PISA_kor-KOR_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1478"	"No"	"아니요"	"Q3M982_question_Q3tr1th3_50c793133ef9c5.58502714_0"	"PISA_kor-KOR_MAT_M982-EmploymentData_en15_MS2022.xlf"
"782"	"Yes"	"예"	"Q1M905_question_Q1tr2th1_50c7984de91559.75758484_0"	"PISA_kor-KOR_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1384"	"India"	"브라질"	"M955_stimulus_tr7td1_50c790e827a9c6.43317697_0"	"PISA_kor-KOR_MAT_M955-Migration_en15_MS2022.xlf"
"1194"	"No"	"아니요"	"Q1M949_question_Q1tr1th3_50c7a9a06c0862.33626035_0"	"PISA_kor-KOR_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"1511"	"Dec 2010"	"2010년  12월"	"M982_stimulus_tr3td7_50c7931345de88.12672922_0"	"PISA_kor-KOR_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1599"	"No"	"아니요"	"Q2M998_question_Q2tr1th3_50c7942170bc11.08672836_0"	"PISA_kor-KOR_MAT_M998-BikeRental_en15_MS2022.xlf"
"1375"	"Canada"	"독일"	"M955_stimulus_tr4td1_50c790e8277574.73782398_0"	"PISA_kor-KOR_MAT_M955-Migration_en15_MS2022.xlf"
"432"	"&lt;b&gt;Thermometer Cricket&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;온도계 귀뚜라미&lt;/b&gt;&lt;br /&gt; 문제"	"Q2M446_question_Q2itemTitle_50c7952c95c7e0.63544661_0"	"PISA_kor-KOR_MAT_M446-ThermometerCricket_en15_MS2022.xlf"
"1598"	"Yes"	"예"	"Q2M998_question_Q2tr1th2_50c7942170b889.35314017_0"	"PISA_kor-KOR_MAT_M998-BikeRental_en15_MS2022.xlf"
"1341"	"&lt;i&gt;A&lt;/i&gt; = adult dose (same units as child dose)"	"&lt;i&gt;A&lt;/i&gt; = 성인의 약 복용량(아동의 약 복용량 과 같은 단위 사용)"	"M954_stimulus2_s2_tr5td1_50c78bbbe90ec7.24901168_0"	"PISA_kor-KOR_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1193"	"Yes"	"예"	"Q1M949_question_Q1tr1th2_50c7a9a06c0591.90563535_0"	"PISA_kor-KOR_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"1477"	"Yes"	"예"	"Q3M982_question_Q3tr1th2_50c793133ef730.98612406_0"	"PISA_kor-KOR_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1454"	"No"	"아니요"	"Q2M967_question_Q2tr1th3_5c9d20c9d209d7.91554853_0"	"PISA_kor-KOR_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"1378"	"China"	"멕시코"	"M955_stimulus_tr5td1_50c790e8278136.65222745_0"	"PISA_kor-KOR_MAT_M955-Migration_en15_MS2022.xlf"
"807"	"Yes"	"예"	"Q2M905_question_question2_6_50c7984deb7024.18235093_0"	"PISA_kor-KOR_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1342"	"&lt;i&gt;A&lt;/i&gt; = adult dose (same units as child dose)"	"&lt;i&gt;A&lt;/i&gt; = 성인의 약 복용량 (아동의 약 복용량 과 같은 단위 사용)"	"M954_stimulus2_s2_tr5td2_50c78bbbe911c8.12543004_0"	"PISA_kor-KOR_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1210"	"Yes"	"예"	"Q2M949_question_Q2tr1th2_50c7a9a06e0152.30425178_0"	"PISA_kor-KOR_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"783"	"No"	"아니요"	"Q1M905_question_Q1tr2th2_50c7984de91a00.65409928_0"	"PISA_kor-KOR_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1211"	"No"	"아니요"	"Q2M949_question_Q2tr1th3_50c7a9a06e0431.20026439_0"	"PISA_kor-KOR_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
