"Segment"	"en-ZZ"	"uz-UZ"	"ID"	"File"
"2122"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun javob varianti ustiga bosing.&lt;/i&gt;"	"R543_question2_itemDirections_5c9d219e7d71b2.22721691_1_0"	"PISA_uzb-UZB_REA_R543-Nobel_en21_MS2022.xlf"
"2269"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun javob varianti ustiga bosing.&lt;/i&gt;"	"R544_question11_itemDirections_5c9d219ead6f93.72484522_1_0"	"PISA_uzb-UZB_REA_R544-Tesla_en21_MS2022.xlf"
"3945"	"Read the Introduction."	"Kirish qismini o'qing."	"q00abody_q00aitemDirections_5c9d225a310689.57957911_0_0"	"PISA_uzb-UZB_REA_R560-GarbagePatch_en21_MS2022.xlf"
"3954"	"Then click on the NEXT arrow."	"So'ngra KEYINGI ko'rsatkichi ustiga bosing."	"q00bbody_q00bitemDirections_5c9d225a3256a8.05350415_1_0"	"PISA_uzb-UZB_REA_R560-GarbagePatch_en21_MS2022.xlf"
"374"	"T"	"P"	"R219_stimulus_stimulus_7_5c9d217d852330.84258918_0"	"PISA_uzb-UZB_REA_R219-Employment_en21_MS2022.xlf"
"377"	"S"	"YA"	"R219_stimulus_stimulus_10_5c9d217d8526b1.00443229_0"	"PISA_uzb-UZB_REA_R219-Employment_en21_MS2022.xlf"
"4417"	"Refer to the different webpages of the website on the right."	"O'ng tomondagi veb-saytning turli sahifalariga qarang."	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_0_0"	"PISA_uzb-UZB_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5063"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovingiz ustiga bosing."	"R568_question10_q10itemDirections_5c9d225b6c40d0.03274707_1_0"	"PISA_uzb-UZB_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4677"	"Type your answer to the question.&lt;/i&gt;"	"Savolga javobingizni kiriting.&lt;/i&gt;"	"R565_question4_itemDirections_5c9d225b01d412.72172684_1_0"	"PISA_uzb-UZB_REA_R565-SittingDisease_en21_MS2022.xlf"
"2112"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun variant ustiga bosing va keyin izohingizni yozing.&lt;/i&gt;"	"R543_question11_itemDirections_5c9d219e7bf886.70940930_1_0"	"PISA_uzb-UZB_REA_R543-Nobel_en21_MS2022.xlf"
"5539"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovingiz ustiga bosing."	"R570_question01_q01itemDirections_5c9d225be5e855.55796963_1_0"	"PISA_uzb-UZB_REA_R570-TheFavour_en21_MS2022.xlf"
"4891"	"Web Search"	"Internetda izlash"	"R567_stimulus2_pg02h1_5c9d225b543121.88912650_0"	"PISA_uzb-UZB_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4885"	"Click on a choice and then type an explanation to answer the question."	"Tanlagan javobingiz ustiga bosing va bergan javobingizga izoh yozing."	"R566_question09_q09itemDirections_5c9d225b351ba2.97186226_1_0"	"PISA_uzb-UZB_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5207"	"Type your answer to the question."	"Savolga javobingizni kiriting."	"R568_question04_q04itemDirections_5c9d225b92ef54.36273755_1_0"	"PISA_uzb-UZB_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2319"	"Click on a choice to answer the question.&lt;/i&gt;"	"Savolga javob berish uchun javob varianti ustiga bosing.&lt;/i&gt;"	"R544_question5_itemDirections_5c9d219eb518f0.13045807_1_0"	"PISA_uzb-UZB_REA_R544-Tesla_en21_MS2022.xlf"
