"Segment"	"en-ZZ"	"nb-NO"	"ID"	"File"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_nob-NOR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3917"	"False"	"Galt"	"q3MA144_question_q3tr1th3_5c9d2164d14e53.31024339_0"	"PISA_nob-NOR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4769"	"False"	"Galt"	"q2MA158_question_q2tr1th3_5c9d21657cb947.20699175_0"	"PISA_nob-NOR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikk på enten &lt;b&gt;Ja&lt;/b&gt; eller &lt;b&gt; Nei&lt;/b&gt; for hver av påstandene.&lt;br /&gt;"	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_nob-NOR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Svar på spørsmålet ved å klikke på to bokser."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_nob-NOR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_nob-NOR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4581"	"A"	"D"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikk på enten &lt;b&gt;Ja&lt;/b&gt; eller &lt;b&gt; Nei&lt;/b&gt; for hver av påstandene.&lt;br /&gt;"	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_nob-NOR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikk på enten &lt;b&gt;Riktig&lt;/b&gt; eller &lt;b&gt; Galt&lt;/b&gt; for hver av påstandene.&lt;br /&gt;"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_nob-NOR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Følg disse trinnene for å bruke kalkulatoren:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_nob-NOR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Bruk talltastene når du skriver svarene dine på spørsmålet."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_nob-NOR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Svar på spørsmålet ved å velge fra nedtrekksmenyene."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_nob-NOR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Husk å velge &lt;b&gt;én eller flere&lt;/b&gt; bokser."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_nob-NOR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Begrunn svaret ditt og vis utregninger som støtter begrunnelsen."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_nob-NOR_MAT_MA146-Fuel_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Svar på spørsmålet ved å velge fra nedtrekksmenyene."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_nob-NOR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Svar på spørsmålet ved å klikke på et alternativ, og begrunn deretter svaret ditt."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_nob-NOR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikk på enten &lt;b&gt;Riktig&lt;/b&gt; eller &lt;b&gt; Galt&lt;/b&gt; for hver av påstandene.&lt;br /&gt;"	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_nob-NOR_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Er følgende påstander riktige eller gale?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_nob-NOR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikk på enten &lt;b&gt;Riktig&lt;/b&gt; eller &lt;b&gt; Gal&lt;/b&gt; for hver av påstandene.&lt;br /&gt;"	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_nob-NOR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Husk å velge &lt;b&gt;én eller flere&lt;/b&gt; bokser."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_nob-NOR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4591"	"A"	"D"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3981"	"Litres"	"Liter"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_nob-NOR_MAT_MA146-Fuel_en21_MS2022.xlf"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5075"	"Statement"	"Spørsmål"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_nob-NOR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Begrunn svaret ditt og vis utregninger som støtter begrunnelsen."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4598"	"A"	"D"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Husk å velge &lt;b&gt;én eller flere&lt;/b&gt; bokser."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_nob-NOR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4578"	"A"	"D"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_nob-NOR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
