"Segment"	"en-ZZ"	"es-PA"	"ID"	"File"
"1114"	"&lt;i&gt;Refer to &quot;Roof Truss Design&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Lee &quot;Cerchas para techos&quot; a la derecha. Haz clic en las opciones de la tabla para responder a la pregunta. &lt;/i&gt;"	"Q2M949_question_Q2itemDirections_50d362e0712cc1.77194282_0"	"PISA_esp-PAN_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"843"	"50 zeds"	"50 zeds."	"M909_stimulus_t2tr2td2_50d359e62e2f42.75733523_0"	"PISA_esp-PAN_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1282"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_50d350321fc830.49813248_0"	"PISA_esp-PAN_MAT_M955-Migration_en15_MS2022.xlf"
"941"	"M936 Seats in a Theatre"	"M936 Los asientos de un teatro"	"M936_stimulus2_unknownID_50d348e63f00f4.01578596_0"	"PISA_esp-PAN_MAT_M936-SeatsInATheatre_en15_MS2022.xlf"
"1465"	"&lt;i&gt;Refer to &quot;Spacers&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Lee &quot;Separadores&quot; a la derecha. Usa el teclado numérico para responder a la pregunta. &lt;/i&gt;"	"Q2M992_question_Q2itemDirections_50d35b7fd43af1.26481329_0"	"PISA_esp-PAN_MAT_M992-Spacers_en15_MS2022.xlf"
"1470"	"&lt;b&gt;Spacers&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Separadores&lt;/b&gt;&lt;br /&gt; Pregunta"	"Q3M992_question_Q3itemTitle_50d35b7fd5b291.11529442_0"	"PISA_esp-PAN_MAT_M992-Spacers_en15_MS2022.xlf"
"1285"	"China"	"Canadá"	"M955_stimulus_tr5td1_50d350321fd213.48574822_0"	"PISA_esp-PAN_MAT_M955-Migration_en15_MS2022.xlf"
"1259"	"&lt;i&gt;Refer to &quot;Migration&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Lee &quot;Migración&quot; a la derecha. Escribe la respuesta a la pregunta.&lt;/i&gt;"	"Q2M955_question_Q2itemDirections_50d350321b6bc0.19592245_0"	"PISA_esp-PAN_MAT_M955-Migration_en15_MS2022.xlf"
"863"	"2000"	"2,000"	"Q1M915_question_label11_50d34dc7ba8632.63674209_0"	"PISA_esp-PAN_MAT_M915-CarbonTax_en15_MS2022.xlf"
"1291"	"India"	"Estados Unidos"	"M955_stimulus_tr7td1_50d350321fea49.79966658_0"	"PISA_esp-PAN_MAT_M955-Migration_en15_MS2022.xlf"
"1008"	"A"	"X"	"Q1M943_question_label2_50c7838d987395.50909407_0"	"PISA_esp-PAN_MAT_M943-Arches_en15_MS2022.xlf"
"815"	"&lt;i&gt;Refer to &quot;Speeding Fines&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Lee  &quot;Multas por exceso de velocidad&quot; a la derecha. Usa el teclado numérico para responder a la pregunta. &lt;/i&gt;"	"Q3M909_question_Q3itemDirections_50d359e62c10c1.56214353_0"	"PISA_esp-PAN_MAT_M909-SpeedingFines_en15_MS2022.xlf"
