"Segment"	"en-ZZ"	"ms-MY"	"ID"	"File"
"1375"	"Canada"	"Belanda"	"M955_stimulus_tr4td1_50d34ffccbd293.07531364_0"	"PISA_msa-MYS_MAT_M955-Migration_en15_MS2022.xlf"
"310"	"&lt;b&gt;Diving&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;SUKAN TERJUN&lt;/b&gt;&lt;br /&gt; Soalan"	"Q2M411_question_Q2itemTitle_50d34649426d86.83313254_0"	"PISA_msa-MYS_MAT_M411-Diving_en15_MS2022.xlf"
"1378"	"China"	"Brazil"	"M955_stimulus_tr5td1_50d34ffccbdc11.31323488_0"	"PISA_msa-MYS_MAT_M955-Migration_en15_MS2022.xlf"
"867"	"&lt;b&gt;Speeding Fines&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;DENDA HAD LAJU&lt;/b&gt;&lt;br /&gt; Soalan"	"Q3M909_question_Q3itemTitle_50d359b2203798.79385423_0"	"PISA_msa-MYS_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1467"	"&lt;i&gt;Refer to &quot;Employment Data&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Rujuk &quot;Data Pekerjaan&quot; di sebelah kanan. Dengan menggunakan kekunci nombor, taipkan jawapan anda untuk soalan yang diberi.&lt;/i&gt;"	"Q2M982_question_Q2itemDirections_50d35199b867f1.96330472_0"	"PISA_msa-MYS_MAT_M982-EmploymentData_en15_MS2022.xlf"
"75"	"&lt;b&gt;Population Pyramids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;PIRAMID POPULASI&lt;/b&gt;&lt;br /&gt; Soalan"	"Q4M155_question_Q4itemTitle_50d35cec5d9ae7.17076431_0"	"PISA_msa-MYS_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"1284"	"&lt;i&gt;Refer to &quot;Flu Test&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Rujuk kepada &quot;Ujian Selesema&quot; di sebelah kanan. Taipkan jawapan anda untuk soalan yang diberi.&lt;/i&gt;"	"Q3M953_question_Q3itemDirections_50d341753c5367.14543134_0"	"PISA_msa-MYS_MAT_M953-FluTest_en15_MS2022.xlf"
"1287"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Tunjukkan bagaimana anda mendapatkan jawapan.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_50d341753c5ab1.92223162_0"	"PISA_msa-MYS_MAT_M953-FluTest_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Dengan menggunakan kekunci nombor, taipkan jawapan anda untuk soalan yang diberi.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35f5e057c58.06642831_0"	"PISA_msa-MYS_MAT_M464-Fence_en15_MS2022.xlf"
"1207"	"&lt;i&gt;Refer to &quot;Roof Truss Design&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Rujuk kepada &quot;Reka Bentuk Pasak Bumbung&quot;  di sebelah kanan.  Klik pada pilihan jawapan di dalam jadual untuk menjawab soalan.  &lt;/i&gt;"	"Q2M949_question_Q2itemDirections_50d362a9a8fbc7.43598035_0"	"PISA_msa-MYS_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"68"	"&lt;b&gt;Population Pyramids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;PIRAMID POPULASI&lt;/b&gt;&lt;br /&gt; Soalan"	"Q3M155_question_Q3itemTitle_50d35cec5c0872.55863513_0"	"PISA_msa-MYS_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"617"	"True"	"Betul"	"Q1M603_question_Q1tr1th2_50d347e2e32900.77131770_0"	"PISA_msa-MYS_MAT_M603-NumberCheck_en15_MS2022.xlf"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Tunjukkan cara anda mendapatkan jawapan.&lt;br /&gt;"	"Q3M155_question_Q3itemStem_50d35cec5c16f5.72786088_0"	"PISA_msa-MYS_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"63"	"&lt;b&gt;Population Pyramids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;PIRAMID POPULASI&lt;/b&gt;&lt;br /&gt; Soalan"	"Q2M155_question_Q2itemTitle_50d35cec5ae1c9.95169154_0"	"PISA_msa-MYS_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"753"	"Carbon dioxide emissions&lt;br /&gt;(million metric tons of carbon)"	"Pembebasan karbon dioksid&lt;br /&gt;(juta metrik tan karbon)"	"M828_stimulus_g2label6_50d35e8be00044.34066371_0"	"PISA_msa-MYS_MAT_M828-CarbonDioxide_en15_MS2022.xlf"
