"Segment"	"en-ZZ"	"sk-SK"	"ID"	"File"
"2698"	"Halogen"	"halogénová"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2663"	"Halogen"	"halogénová"	"sim_1_q02sim5_51940c102b2833.62847084_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"737"	"No"	"NIE"	"S498_question3_question3_2_50ec5cb5d68c38.17806278_0"	"PISA_slo-SVK_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2452"	"Medium"	"stredné"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1017"	"Comparison 1"	"Porovnanie  1"	"S603_question2_question2_7_515e3a720642a8.94038370_0"	"PISA_slo-SVK_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1619"	"Medium"	"Stredný"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_slo-SVK_SCI_S615-Tsunami_en15_MS2022.xlf"
"2376"	"decrease"	"zmenší"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1363"	"Birds and Caterpillars Introduction"	"Vtáky a húsenice: Úvod"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_slo-SVK_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2341"	"decrease"	"sa zmenší"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2695"	"Incandescent"	"biela"	"stimulus_1_stimuluslb1label_51940c102e5782.07661572_0"	"PISA_slo-SVK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"Vymaž riadok s údajmi a spusti ďalší pokus."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Efekt mestských tepelných ostrovov&lt;/b&gt;&lt;br /&gt; Otázka č."	"S602_question4_qitemTitle4_515e3a71ecc5d8.94269684_0"	"PISA_slo-SVK_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2945"	"Uranus"	"Urán"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_slo-SVK_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2450"	"None"	"žiadne"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Použi informácie z materiálu „Voda získavaná z hmly“ na pravej strane. Klikni na jednu alebo viac možností a odpovedz tak na otázku. &lt;/i&gt;"	"S604_question3_itemDirections3_51804e6bc48859.23680107_0"	"PISA_slo-SVK_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Keď chceš vymazať nejaký údajový riadok, klikni na tlačidlo „Vymazať“ vedľa príslušného riadka.  &lt;br /&gt;"	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_slo-SVK_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1881"	"Whales and Shipping Noise"	"Veľryby a hluk  z lodnej dopravy"	"S626_stimulus3_subTitle3_515e3a7276e115.16630132_0"	"PISA_slo-SVK_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2456"	"Low"	"malé"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_slo-SVK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1907"	"icon1"	"ikona1"	"S626_stimulus3_attr_alt_attr_stimulus3_6_515e3a727770b0.82003406_0"	"PISA_slo-SVK_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2976"	"Caterpillar"	"húsenica"	"S657_question1_source1_518050dc4065d2.43433896_0"	"PISA_slo-SVK_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
