"Segment"	"en-ZZ"	"ru-MD"	"ID"	"File"
"2978"	"To delete any row of data, click on the delete button next to that row."	"Чтобы удалить любую строку с данными, нажмите кнопку Удалить, расположенную рядом с этой строкой."	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_rus-MDA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2576"	"select"	"Выберите"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2578"	"decrease"	"уменьшается"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1649"	"Species A"	"Вид A"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_rus-MDA_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2900"	"Halogen"	"Галогенная"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_rus-MDA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"24"	"milk (g)"	"волчицы (г)"	"S326_stimulus1_t1tr1td3_5c3f6294706db0.25159765_2_0"	"PISA_rus-MDA_SCI_S326-Milk_en21_MS2022.xlf"
"628"	"No"	"Без"	"S438_stimulus2_chem1_5c3f6299152768.10186589_0_0"	"PISA_rus-MDA_SCI_S438-GreenParks_en21_MS2022.xlf"
"2545"	"select"	"Выберите"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1821"	"Medium"	"Средний"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_rus-MDA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2446"	"Low"	"Низкая"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"3144"	"Venus"	"Венера"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_rus-MDA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"678"	"No"	"Без"	"S438_stimulus2_chem11_5c3f62991545a2.96141769_0_0"	"PISA_rus-MDA_SCI_S438-GreenParks_en21_MS2022.xlf"
"2541"	"select"	"Выберите"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"704"	"No"	"Без"	"S438_stimulus2_chem16_5c3f6299155761.67946241_0_0"	"PISA_rus-MDA_SCI_S438-GreenParks_en21_MS2022.xlf"
"3022"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выполните симуляцию для получения данных на основании приведённой ниже информации. Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение своего ответа.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_rus-MDA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2574"	"decrease"	"уменьшается"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2832"	"Incandescent light bulbs"	"Лампы накаливания"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_rus-MDA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"3029"	"Explain your choice."	"Объясните ваш выбор."	"question5_1_q05span1_51940c103cfe04.00128972_0"	"PISA_rus-MDA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1725"	"Medium"	"Средний"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_rus-MDA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2654"	"Medium"	"Средняя"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2445"	"None"	"Нулевая"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"3146"	"Mars"	"Марс"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_rus-MDA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2657"	"None"	"Нулевая"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2447"	"Medium"	"Сред-&lt;br /&gt;няя"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"652"	"No"	"Без"	"S438_stimulus2_chem6_5c3f6299153670.97909243_0_0"	"PISA_rus-MDA_SCI_S438-GreenParks_en21_MS2022.xlf"
"2655"	"High"	"Высокая"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2573"	"increase"	"увеличивается"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2652"	"None"	"Нулевая"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2986"	"To see how all the controls in this simulation work, follow these steps:"	"Чтобы увидеть, как работают различные элементы управления в этой симуляции, выполните следующие шаги:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_rus-MDA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1581"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Воспользуйтесь страницей «Аммониты», расположенной справа. Для ответа на вопрос используйте метод «Перетащить и оставить».&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_rus-MDA_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2577"	"increase"	"увеличивается"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"3122"	"Explain your answer."	"Объясните ваш ответ."	"S648_question4_q4p2_517407af762523.27161688_0"	"PISA_rus-MDA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2546"	"increase"	"увеличится"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"3147"	"Uranus"	"Уран"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_rus-MDA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2897"	"Incandescent"	"Лампа накаливания"	"stimulus_1_stimuluslb1label_51940c102e5782.07661572_0"	"PISA_rus-MDA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2659"	"Medium"	"Средняя"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1566"	"Birds and Caterpillars Introduction"	"Птицы и гусеницы: введение"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_rus-MDA_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"3145"	"Earth"	"Земля"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_rus-MDA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2660"	"High"	"Высокая"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2448"	"High"	"Высокая"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2658"	"Low"	"Низкая"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2542"	"increase"	"увеличится"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2653"	"Low"	"Низкая"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2727"	"Can this question be answered by scientific experiments?"	"Могут ли научные эксперименты дать ответ на этот вопрос?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_rus-MDA_SCI_S638-OilSpills_en15_MS2022.xlf"
"884"	"Piece of meat"	"Кусочек мяса"	"S498_stimulus2_label8_5c3f629af36767.66540400_0"	"PISA_rus-MDA_SCI_S498-ExperimentalDigestion_en21_MS2022.xlf"
"2979"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Чтобы выбрать строку с данными для ответа на вопрос, нажмите в любом месте этой строки. Выбранная вами строка (строки) будет помечена звездочкой."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_rus-MDA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2572"	"select"	"Выберите"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2725"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Для ответа на вопрос отметьте в таблице нужные варианты ответа.&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_rus-MDA_SCI_S638-OilSpills_en15_MS2022.xlf"
"1565"	"Birds and Caterpillars Introduction"	"Птицы и гусеницы: введение"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_rus-MDA_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2563"	"Explain your answer."	"Объясните ваш ответ."	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_rus-MDA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
