"Segment"	"en-ZZ"	"sq-AL"	"ID"	"File"
"1036"	"&lt;b&gt;Water from Fog&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Uji nga Mjegulla&lt;/b&gt;&lt;br /&gt;Pyetja"	"S604_question2_itemTitle2_57bc4b087b4678.27008890_0"	"PISA_sqi-ALB_SCI_S604-WaterFromFog_en18_MS2022.xlf"
"1236"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Zogjtë dhe Vemjet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S607_question2_itemTitle2_57bc4b088f2d07.39356183_0"	"PISA_sqi-ALB_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1782"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus3_attr_alt_attr_stimulus3_4_57bc4b08cc18b6.14075022_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1409"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Robotikët e Kontrolluar nga Truri &lt;/b&gt;&lt;br /&gt; Pyetja"	"S610_question2_QitemTitle2_57bc4b08a3c268.65565786_0"	"PISA_sqi-ALB_SCI_S610-Brain-controlledRobotics_en18_MS2022.xlf"
"1781"	"Sound in Marine Habitats"	"Tingulli në Habitetat Detare"	"S626_stimulus3_attr_alt_attr_stimulus3_3_57bc4b08cc1774.37091879_0"	"PISA_sqi-ALB_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"2192"	"Low"	"I ulët"	"stimulus2_1_stimulus2_36_57bc4b0907cd59.62888742_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1163"	"&lt;b&gt;Geothermal Energy&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Energjia Gjeotermale &lt;/b&gt;&lt;br /&gt; Pyetja"	"S605_question3_itemTitle3_57bc4b08872828.88550250_0"	"PISA_sqi-ALB_SCI_S605-GeothermalEnergy_en18_MS2022.xlf"
"1273"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Zogjtë dhe Vemjet&lt;/b&gt;&lt;br /&gt; Pyetja"	"S607_question4_itemTitle4_57bc4b08926870.79546268_0"	"PISA_sqi-ALB_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1880"	"car tyres"	"gomat e makinave"	"S627_stimulus3_title3_57bc4b08d82df1.74711727_0"	"PISA_sqi-ALB_SCI_S627-CarTyres_en18_MS2022.xlf"
"1489"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kuptimi i Cunamit&lt;/b&gt;&lt;br /&gt; Pyetja"	"question5_1_itemTitle05_57bc4b08adbaa7.78480916_0"	"PISA_sqi-ALB_SCI_S615-Tsunami_en18_MS2022.xlf"
"903"	"lower"	"më të ulta"	"S602_question4_S602Q04SELECT32_57bc4b086c2815.88823467_0"	"PISA_sqi-ALB_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"2233"	"select"	"Zgjidh"	"question3_1_o3_0_57bc4b090c6525.29210411_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"315"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Kliko alternativat në tabele për t'ju përgjigjur pyetjes&lt;/i&gt;"	"S415_question3_itemDirections3_56c6eb98c41a02.91996781_0"	"PISA_sqi-ALB_SCI_S415-SolarPowerGeneration_en18_MS2022.xlf"
"2937"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Speciet Invazive &lt;/b&gt;&lt;br /&gt; Pyetja"	"S657_question3_itemTitleqS3_57bc4b09590921.26346046_0"	"PISA_sqi-ALB_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"2268"	"select"	"Zgjidh"	"question5_1_o5b_0_57bc4b090f3d74.50391307_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2250"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një alternativë dhe më pas shtyp shpjegimin tënd për t'ju përgjigjur pyetjes. &lt;/i&gt;"	"question4_1_itemDirections04_57bc4b090db717.16338488_0"	"PISA_sqi-ALB_SCI_S635-SaveTheFish_en18_MS2022.xlf"
