"Segment"	"en-ZZ"	"zh-HK"	"ID"	"File"
"3305"	"Zedland"	"柴德蘭"	"Page2_stimulus_pg2BannerText1_56fc783ab44ae0.73422762_0"	"PISA_zho-HKG_REA_R556-Microlending_en18_MS2022.xlf"
"2414"	"The Best Video Games: A Review"	"評論：最棒的電玩"	"R547_question10_question10_22_56fc782e154cc3.43306007_0"	"PISA_zho-HKG_REA_R547-BookSurvey_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"點擊一個選項，然後輸入一個解釋來回答本題。"	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_zho-HKG_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;重要！切勿忘記附上︰&lt;/b&gt;&lt;br /&gt; &amp;mdash; 購買單據影印本&lt;br /&gt; &amp;mdash; 附於產品上的電腦條碼牌或價錢標籤&lt;br /&gt;"	"R466_stimulus_sect3right_50d37b5b9393f1.70512744_0"	"PISA_zho-HKG_REA_R466-WorkRight_en15_MS2022.xlf"
"2924"	"&lt;b&gt;Subject:&lt;/b&gt; RE: Volunteer – FestiRock"	"&lt;b&gt;主旨：&lt;/b&gt;回覆：義工 – FestiRock"	"pg1_stimulus_pg1-li2-3_56fd7942571067.52470480_0"	"PISA_zho-HKG_REA_R552-FestiRock_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"點擊「下一頁」的箭號來閱讀小冊子。"	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_zho-HKG_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"根據冊子，此陳述是真確還是不真確？"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_zho-HKG_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3352"	"Zedland"	"柴德蘭"	"Page3_stimulus_pg3BannerText1_56fc783ab5d320.75026760_0"	"PISA_zho-HKG_REA_R556-Microlending_en18_MS2022.xlf"
"304"	"S"	"日"	"R219_stimulus_stimulus_10_50d36deb5a49e2.06812043_0"	"PISA_zho-HKG_REA_R219-Employment_en15_MS2022.xlf"
"2196"	"."	"。"	"Page2_stimulus_pg2p2_56fc782df0cfd1.67635785_0_0"	"PISA_zho-HKG_REA_R547-BookSurvey_en18_MS2022.xlf"
"4639"	"Subject:"	"主旨："	"R563_question10_r2c1_56fc786b4e4e01.44187974_0"	"PISA_zho-HKG_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"320"	"LOCATION"	"地點："	"R219_stimulus_sect4Line2span2_50d36deb5ae603.67963601_0"	"PISA_zho-HKG_REA_R219-Employment_en15_MS2022.xlf"
"2380"	"Classical Literature&lt;br/&gt;10%"	"經典文學&lt;br/&gt;10%"	"R547_question10_classicLbl_56fc782e14b970.74294149_0"	"PISA_zho-HKG_REA_R547-BookSurvey_en18_MS2022.xlf"
"301"	"T"	"四"	"R219_stimulus_stimulus_7_50d36deb5a3c48.06619715_0"	"PISA_zho-HKG_REA_R219-Employment_en15_MS2022.xlf"
"3337"	"."	"。"	"Page2_stimulus_pg2p5_56fc783ab47fb7.46624248_0"	"PISA_zho-HKG_REA_R556-Microlending_en18_MS2022.xlf"
"5639"	"“No, I don’t believe this idea is the solution."	"「我反對，我不認為這個計劃是解決之道。」"	"R568_question09_q09p1_56fc784aaf54f2.48102179_1_0"	"PISA_zho-HKG_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 凡購買$600至$1,499.9，將獲辦公易回贈$&lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;。&lt;br /&gt; &gt; 凡購買$1,500至$2,999.9，將獲辦公易回贈$500。&lt;br /&gt; &gt; 凡購買$3,000或以上，將獲辦公易回贈$1,000。&lt;br /&gt;"	"R466_stimulus_line5_50d37b5b933889.75650262_0"	"PISA_zho-HKG_REA_R466-WorkRight_en15_MS2022.xlf"
