"Segment"	"en-ZZ"	"id-ID"	"ID"	"File"
"4854"	"Web Search"	"Penelusuran Secara Online"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_ind-IDN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"468"	"20 hours&lt;br /&gt;of darkness"	"Malam sepanjang&lt;br /&gt;20 jam"	"R220_stimulus_label3_56cee07659c652.05795175_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"5589"	"Refer to both sources on the right by clicking on each of the tabs."	"Perhatikan kedua sumber informasi di samping dengan cara mengklik masing-masing label."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_ind-IDN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5598"	"Who's in the Chat"	"Siapa yang terlibat dalam Obrolan"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_ind-IDN_REA_R569-TheCleanup_en18_MS2022.xlf"
"470"	"Antarctic Circle"	"Lingkaran&lt;br /&gt;Antartika"	"R220_stimulus_label5_56cee07659cb61.40607603_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"5365"	"Web Search"	"Penelusuran Secara Online"	"R568_stimulus1_pg01h1_56fc784a9d2fe7.94994728_0"	"PISA_ind-IDN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4944"	"Click on the NEXT arrow to read the website."	"Klik pada tanda panah SELANJUTNYA  untuk membaca situs web tersebut."	"q00b-body_q00b-p2_56fc786b7c7ef2.52502321_0"	"PISA_ind-IDN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3866"	"&lt;b&gt;Great Pacific Garbage Patch&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Pulau Sampah Samudra Pasifik&lt;&lt;/b&gt;&lt;br /&gt;"	"R560_question2_q02itemTitle_56fc784a79c377.86813802_0_0"	"PISA_ind-IDN_REA_R560-GarbagePatch_en18_MS2022.xlf"
"467"	"16 hours&lt;br /&gt;of darkness"	"Malam sepanjang&lt;br /&gt;16 jam"	"R220_stimulus_label2_56cee07659c3b6.18677234_0"	"PISA_ind-IDN_REA_R220-SouthPole_en18_MS2022.xlf"
"2862"	"-----Original Message -----"	"-----Pesan awal -----"	"pg1_stimulus_pg1-li3-1_56fd79425717a1.64071273_0"	"PISA_ind-IDN_REA_R552-FestiRock_en18_MS2022.xlf"
