"Segment"	"en-ZZ"	"zh-MO"	"ID"	"File"
"2546"	"S629 Solar Cooker"	"S629 太陽能煮食器"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_zho-MAC_SCI_S638-OilSpills_en15_MS2022.xlf"
"2659"	"Compact CFL"	"鏗電膽"	"sim_1_q02sim3_51940c102b1c94.13513006_0"	"PISA_zho-MAC_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2894"	"."	"的溫度最為相近。"	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_zho-MAC_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1416"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;菊石&lt;/b&gt;&lt;br /&gt; 問題"	"S608_question4_itemTitle4_515e3a722f9366.46649527_0"	"PISA_zho-MAC_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2453"	"High"	"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;高"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"708"	"No"	"否"	"S498_question1_tr1th3_50ec5d61769f29.45993080_0"	"PISA_zho-MAC_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"566"	"No&lt;br /&gt;treatment"	"沒有處理"	"S438_stimulus2_chem11_50ec56ec60cf50.84354881_0"	"PISA_zho-MAC_SCI_S438-GreenParks_en15_MS2022.xlf"
"2451"	"Low"	"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;低"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;低"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;點擊表格中的選項回答以下問題。&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_zho-MAC_SCI_S638-OilSpills_en15_MS2022.xlf"
"1971"	"No"	"否"	"S627_question3_Q3_tr1th3_51740713b4c9b2.19457637_0"	"PISA_zho-MAC_SCI_S627-CarTyres_en15_MS2022.xlf"
"2723"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大氣中的二氧化碳&lt;/b&gt;&lt;br /&gt;問題"	"S645_question3_itemTitle3_5180507a8047c6.16315276_0"	"PISA_zho-MAC_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2960"	"Star 3"	"恆星3"	"S642_stimulus2_lable2_4_517407af83b3b6.40189277_0"	"PISA_zho-MAC_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2062"	"Yes"	"是"	"S629_question4_Q4_tr1th2_515e3a728afba3.43461639_0"	"PISA_zho-MAC_SCI_S629-SolarCooker_en15_MS2022.xlf"
"505"	"No"	"否"	"S438_question1_tr1th3q1_50ec56ec5a7ba8.26076388_0"	"PISA_zho-MAC_SCI_S438-GreenParks_en15_MS2022.xlf"
"2849"	"Yes"	"是"	"question6_1_question6_7_51940c103ef290.31886289_0"	"PISA_zho-MAC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;點擊一個選項以回答問題&lt;/i&gt;"	"S603_question3_itemDirections3_515e3a72087b46.40019747_0"	"PISA_zho-MAC_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"292"	"No"	"否"	"S415_question1_tr1th3_1_50ec3dd379b262.30117804_0"	"PISA_zho-MAC_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"603"	"No"	"否"	"S466_question2_tr1th3_2_50ed2439f396f8.77974792_0"	"PISA_zho-MAC_SCI_S466-ForestFires_en15_MS2022.xlf"
"2976"	"Caterpillar"	"幼蟲"	"S657_question1_source1_518050dc4065d2.43433896_0"	"PISA_zho-MAC_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2918"	"Yes"	"可能"	"S648_question4_question4_1_517407af7617a8.52939212_0"	"PISA_zho-MAC_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"請解釋為甚麼。&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_zho-MAC_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"319"	"Yes"	"是"	"S415_question3_tr1th2_2_50ec3dd37f4536.51733817_0"	"PISA_zho-MAC_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"219"	"Yes"	"是"	"S413_question2_tr1th2_2_50ec429c79b752.20491992_0"	"PISA_zho-MAC_SCI_S413-PlasticAge_en15_MS2022.xlf"
"585"	"Yes"	"是"	"S466_question1_tr1th2_1_50ed2439f24813.07383837_0"	"PISA_zho-MAC_SCI_S466-ForestFires_en15_MS2022.xlf"
"2452"	"Medium"	"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;中"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_zho-MAC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"291"	"Yes"	"是"	"S415_question1_tr1th2_1_50ec3dd379afd7.16344580_0"	"PISA_zho-MAC_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"586"	"No"	"否"	"S466_question1_tr1th3_1_50ed2439f24a48.71344435_0"	"PISA_zho-MAC_SCI_S466-ForestFires_en15_MS2022.xlf"
