"Segment"	"en-ZZ"	"ru-QZ"	"ID"	"File"
"1246"	"True"	"Верно"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_rus-QAZ_REA_R541-Plastic_en18_MS2022.xlf"
"2658"	"General Information"	"Общие сведения"	"R550_hours_hours_l2_56fc785ccf6d72.95689156_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"5246"	"True"	"Верно"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4232"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R562_question02_q02itemDirections_56fc783b419bc4.69135541_1_0"	"PISA_rus-QAZ_REA_R562-OpeningNight_en18_MS2022.xlf"
"2734"	"Summer"	"Летом"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2036"	"True"	"Верно"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_rus-QAZ_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2670"	"Hours"	"&lt;b&gt;Часы работы&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2594"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral_l4_56fc785cc8e502.87212348_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4159"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_1_0"	"PISA_rus-QAZ_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2707"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_tours_tours_l4_56fc785cd3adf1.25063481_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"5925"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Кликните мышью &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого из этих дел."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_rus-QAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"5203"	"True"	"Верно"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5536"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните мышью &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"268"	"T"	"Чт"	"R219_stimulus_stimulus_7_56cee1d06f5c00.30371072_0"	"PISA_rus-QAZ_REA_R219-Employment_en18_MS2022.xlf"
"2037"	"False"	"Неверно"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_rus-QAZ_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4248"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_rus-QAZ_REA_R562-OpeningNight_en18_MS2022.xlf"
"2688"	"General Information"	"Общие сведения"	"R550_map_map_l2_56fc785cd17d02.68864643_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4664"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R564_question05_q05itemDirections_56fc783b60b828.68348774_1_0"	"PISA_rus-QAZ_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4469"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5244"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликните мышью &lt;b&gt;«Верно»&lt;/b&gt; или &lt;b&gt;«Неверно»&lt;/b&gt; для каждого утверждения."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4565"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5312"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4443"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5201"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликните мышью &lt;b&gt;«Верно»&lt;/b&gt; или &lt;b&gt;«Неверно»&lt;/b&gt; для каждого утверждения."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2735"	"Autumn"	"Осенью"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"3651"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Прочитайте тексты обоих источников, расположенные справа, кликнув мышью на каждую из вкладок."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_rus-QAZ_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3797"	"Web Search"	"Поиск в Интернете"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_rus-QAZ_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5505"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R568_question04_q04itemDirections_56fc784aa79954.99366440_1_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5204"	"False"	"Неверно"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2549"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните мышью &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_rus-QAZ_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2646"	"General Information"	"Общие сведения"	"R550_general_info_gi_l2_56fc785ccd9039.75364311_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"271"	"S"	"В"	"R219_stimulus_stimulus_10_56cee1d06f6500.47545113_0"	"PISA_rus-QAZ_REA_R219-Employment_en18_MS2022.xlf"
"5778"	"Click on a choice and then type an explanation to answer the question."	"Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение к нему."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_rus-QAZ_REA_R569-TheCleanup_en18_MS2022.xlf"
"520"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"Кликните мышью по цифре &lt;b&gt;2&lt;/b&gt;, чтобы посмотреть стр. &lt;b&gt;2&lt;/b&gt;."	"R220_question_introBullet2_56cee1d09a9197.47557519_0"	"PISA_rus-QAZ_REA_R220-SouthPole_en18_MS2022.xlf"
"3007"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликните мышью &lt;b&gt;«Да»&lt;/b&gt; или &lt;b&gt;«Нет»&lt;/b&gt; для каждого утверждения."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_rus-QAZ_REA_R552-FestiRock_en18_MS2022.xlf"
"4463"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2088"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R545_question04_Q09itemDirections_56fc7821b30c73.16221683_1_0"	"PISA_rus-QAZ_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2592"	"General Information"	"Общие сведения"	"R550_ancestral_ancestral_l2_56fc785cc8da26.81359740_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"2621"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"5247"	"False"	"Неверно"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3483"	"Web Search"	"Поиск в Интернете"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_rus-QAZ_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2660"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_hours_hours_l4_56fc785ccf78f4.09670808_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"5078"	"Web Search"	"Поиск в Интернете"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5375"	"Web Search"	"Поиск в Интернете"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5178"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_rus-QAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5876"	"Click on the NEXT arrow to read the story."	"Чтобы прочитать сказку, нажмите на стрелку ДАЛЕЕ."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_rus-QAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"4672"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R564_question06_q06itemDirections_56fc783b61d750.86234618_1_0"	"PISA_rus-QAZ_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5571"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2475"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R549_question04_q04itemDirections_56fc786ad05882.39043317_1_0"	"PISA_rus-QAZ_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1247"	"False"	"Неверно"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_rus-QAZ_REA_R541-Plastic_en18_MS2022.xlf"
"3050"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R552_question07_q07itemDirections_56fd7942689af8.23731694_1_0"	"PISA_rus-QAZ_REA_R552-FestiRock_en18_MS2022.xlf"
"3673"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Прочитайте тексты обоих источников, расположенные справа, кликнув мышью на каждую из вкладок."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_rus-QAZ_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3027"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R552_question05_q05itemDirections_56fd794264d092.27315344_1_0"	"PISA_rus-QAZ_REA_R552-FestiRock_en18_MS2022.xlf"
"2733"	"Spring"	"Весной"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4442"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"961"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;AZ 1000, город Баку,&lt;br /&gt; ул. Нирами 55&lt;br /&gt;, «Идеальный офис»&lt;br /&gt;, 10 лет &amp;ndash; 100 AZN&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_56cee1d1bc5b24.84876379_0"	"PISA_rus-QAZ_REA_R466-WorkRight_en18_MS2022.xlf"
"5580"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p2_56fc784ab0c4f8.74675205_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2054"	"Type your answer to the question."	"Напечатайте Ваш ответ на вопрос."	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_1_0"	"PISA_rus-QAZ_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4449"	"Refer to the different webpages of the website on the right."	"Прочитайте тексты различных веб-страниц веб-сайта, расположенные справа."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_rus-QAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2648"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_general_info_gi_l4_56fc785ccd9e25.13125133_0"	"PISA_rus-QAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"5511"	"Refer to the Web Search on the right."	"Прочитайте страницу «Поиск в Интернете», расположенную справа."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_rus-QAZ_REA_R568-SpaceDebris_en18_MS2022.xlf"
