"Segment"	"en-ZZ"	"nb-NO"	"ID"	"File"
"2453"	"High"	"Høyt"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2244"	"Low"	"Lavt"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakterier"	"S478_question1_question1_3_50ed1e00033a10.62662323_0"	"PISA_nob-NOR_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2456"	"Low"	"Lavt"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1880"	"sound in marine habitats"	"Lyd i havet"	"S626_stimulus3_title3_515e3a7276de26.20831696_0"	"PISA_nob-NOR_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2246"	"High"	"Høyt"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Svar på spørsmålet ved å klikke på alternativene i tabellen.&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_nob-NOR_SCI_S638-OilSpills_en15_MS2022.xlf"
"2343"	"select"	"Velg"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"Null"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2198"	"&lt;i&gt;Run the simulation to collect data based on the information below.  Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Bruk informasjonen nedenfor, og kjør simuleringen for å få fram data. Svar på spørsmålet ved å klikke på et av alternativene, og begrunn deretter svaret ditt.&lt;/i&gt;"	"question4_1_itemDirections04_5193fde5a25bd9.17476160_0"	"PISA_nob-NOR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2370"	"select"	"Velg"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Bruk informasjonen nedenfor, og kjør simuleringen for å få fram data.  Svar på spørsmålet ved å klikke på et av alternativene, og begrunn deretter svaret ditt.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_nob-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klikk på NESTE-pilen for å gå videre."	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_nob-NOR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"Med denne simuleringen kan du undersøke hvordan nivået på torskefangsten og sildefangsten påvirker biomassen av hver type organisme i fjorden etter en femårsperiode."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"For å slette en rad med data, klikk på &quot;Slett&quot;-knappen ved siden av raden. &lt;br /&gt; &lt;br /&gt;"	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_nob-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2374"	"select"	"Velg"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2450"	"None"	"Null"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_nob-NOR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2471"	"S638 Oil Spills Introduction"	"S638 Oljseutslopp Innledning"	"S638_question1_unknownID_51804fe17c3778.86826459_0"	"PISA_nob-NOR_SCI_S638-OilSpills_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Kan dette spørsmålet besvares ved hjelp av vitenskapelige eksperimenter?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_nob-NOR_SCI_S638-OilSpills_en15_MS2022.xlf"
"1751"	"&lt;b&gt;Wildfires and the Fire Triangle&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Skogbrann og branntrekanten&lt;/b&gt;&lt;br /&gt;Spørsmål"	"S625_question2_qitemTitle2_515e3a725ebb04.25985468_0"	"PISA_nob-NOR_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"736"	"Yes"	"JA"	"S498_question3_question3_1_50ec5d9f6dc554.08763770_0"	"PISA_nob-NOR_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bra!&lt;br /&gt; Klikk på NESTE-pilen for å gå videre."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_nob-NOR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
