"Segment"	"en-ZZ"	"hu-HU"	"ID"	"File"
"1347"	"Do elephants play a key role in maintaining the population of ants on the savannah?"	"Döntő szerepük van-e az elefántoknak a szavanna hangyapopulációjának fenntartásában?"	"S603_question5_question5_3_51740713542a52.62549962_0"	"PISA_hun-HUN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"736"	"Yes"	"IGEN"	"S498_question3_question3_1_50ec5d3f96ee91.36576753_0"	"PISA_hun-HUN_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"488"	"&lt;b&gt;Graph 1&lt;/b&gt;"	"&lt;b&gt;1. ábra&lt;/b&gt;"	"S428_stimulus2_subtitle_50ec5216ceb896.71687132_0"	"PISA_hun-HUN_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2145"	"&lt;b&gt;Infectious:&lt;/b&gt; Individuals in this state have the disease and can infect others."	"&lt;b&gt;Fertőző:&lt;/b&gt; Az ebben az állapotban levő személyek megkapták a betegséget, és megfertőzhetnek másokat."	"question000_1_t1tr2td2_5193fde5991bb9.29730595_0"	"PISA_hun-HUN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2489"	"None"	"Nincs"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_hun-HUN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"338"	"&lt;b&gt;SOLAR PANELS&lt;/b&gt;"	"&lt;b&gt;Napelemek&lt;/b&gt;"	"S415_stimulus2_title_50ec3daf7c01d6.40842177_0"	"PISA_hun-HUN_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"1377"	"Birds and Caterpillars Introduction"	"Madarak és hernyók Bevezető"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_hun-HUN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2539"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Olajkatasztrófák&lt;/b&gt;&lt;br /&gt; Kérdés"	"S638_question3_qitemTitle3_51804fe18524e4.56349804_0"	"PISA_hun-HUN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2146"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Gyógyult/Beoltott:&lt;/b&gt; Az ebben az állapotban levő személyek vagy már megkapták a betegséget és kigyógyultak belőle, vagy be lettek oltva a betegség ellen. A szimulációban ezek a személyek nem kaphatják el a betegséget."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_hun-HUN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2408"	"select"	"válassz"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_hun-HUN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2187"	"Select"	"válassz"	"question2_1_CS634Q02SELECT10_5193fde59decc4.35520469_0"	"PISA_hun-HUN_SCI_S634-Vaccination_en15_MS2022.xlf"
"1398"	"Time of Exposure (minutes)"	"A kísérlet ideje (perc)"	"S603_stimulus1_p25_51740713621ef2.23731047_0"	"PISA_hun-HUN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2441"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt; Ne felejtsd el, hogy &lt;b&gt;egy vagy több&lt;/b&gt; négyzetet ki kell jelölnöd!&lt;/i&gt;"	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_hun-HUN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"976"	"Rural"	"Vidéki"	"S602_stimulus2_le3_515e3a71f29bc9.05626063_0"	"PISA_hun-HUN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1342"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;A kérdés megválaszolásához kattints az egyik lehetőségre!&lt;/i&gt;"	"S603_question5_itemDirections5_51740713540214.25491020_0"	"PISA_hun-HUN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1345"	"Is damage to acacia trees caused mainly by elephants?"	"Az akáciák sérüléseit nagyrészt az elefántok okozzák-e?"	"S603_question5_question5_1_517407135419e2.14832619_0"	"PISA_hun-HUN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1382"	"All four types of branches were offered to the elephants at time 0, and observations were made every 10 minutes for one hour. The following data were collected from the study:"	"0 időpontban mind a négyféle ágból adtak az elefántoknak, majd egy órán keresztül minden 10. percben megfigyelést végeztek. A következő adatokat gyűjtötték a tanulmányozás során:"	"S603_stimulus1_Sp12_5174071361d466.12152648_0"	"PISA_hun-HUN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2803"	"How to Run the Simulation"	"Hogyan működik a szimuláció"	"menu_1_menuHeading_51940c10330745.47734656_0"	"PISA_hun-HUN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"249"	"Scratch resistance"	"Ellenállás felületi sérülésekkel szemben"	"S413_question3_q3t2tr3td1_50ec4276ea2f40.88112312_0"	"PISA_hun-HUN_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2490"	"Low"	"Alacsony"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_hun-HUN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1343"	"Elephants and acacia trees"	"Elefántok és akáciák"	"S603_question5_title4_517407135409b6.21315865_0"	"PISA_hun-HUN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1344"	"The researchers did another experiment that involved selecting two similar areas of the savannah that had both species of acacia trees. One of the two areas was enclosed by a fence that is known to keep out elephants but does not keep smaller animals out. The researchers checked the trees in both areas for damage once every six months.&lt;br /&gt;&lt;br /&gt;Which of the following questions is the experiment designed to answer?"	"A kutatók végeztek egy másik kísérletet a szavanna két, egymáshoz hasonló területén, ahol mindkét akáciafaj előfordult. Az egyik területet olyan kerítéssel vették körül, ami tudvalevőleg távoltartja az elefántokat, de a kisebb állatokat nem. A kutatók hat hónaponként egyszer ellenőrizték, hogy keletkeztek-e sérülések a fákon.&lt;br /&gt;&lt;br /&gt;Az alábbi kérdések közül melyiknek az eldöntésére találták ki a kísérletet?"	"S603_question5_p52_517407135410f2.33073972_0"	"PISA_hun-HUN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
