"Segment"	"en-ZZ"	"lt-LT"	"ID"	"File"
"5825"	"Playground"	"Žaidimų aikštelėje"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"5924"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_1_0"	"PISA_lit-LTU_REA_R570-TheFavour_en18_MS2022.xlf"
"2833"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R550_question04_q04itemDirections_56fc785ce36323.12198026_1_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"301"	"T"	"K"	"R219_stimulus_stimulus_7_50d36e196e9356.03184890_0"	"PISA_lit-LTU_REA_R219-Employment_en15_MS2022.xlf"
"4457"	"Date"	"Data"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_lit-LTU_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1562"	"Thursday"	"Ketvirtadienis"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_lit-LTU_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5385"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_0_0"	"PISA_lit-LTU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2486"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_1_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1563"	"Friday"	"Penktadienis"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_lit-LTU_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4021"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_lit-LTU_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4750"	"Japan"	"Japonijoje"	"Page1_stimulus_stimulusTab1_2_56fc785d529ea3.01490218_0"	"PISA_lit-LTU_REA_R565-SittingDisease_en18_MS2022.xlf"
"2770"	"Home"	"Pagrindinis"	"R550_tours_tours_l1_56fc785cd39f45.21730838_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"5538"	"Click on the choices in the table to answer the question."	"pasirinkite atsakymą."	"R568_question02_q02itemDirections_56fc784aa47285.37561152_1_0"	"PISA_lit-LTU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2547"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R549_question05_q05itemDirections_56fc786ad175f6.19547762_1_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"Norėdami atsakyti į klausimą, spustelėkite sakinį tekste."	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_lit-LTU_REA_R562-OpeningNight_en18_MS2022.xlf"
"4029"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_1_0"	"PISA_lit-LTU_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2316"	"Click on a choice to answer the question.&lt;/i&gt;"	"pasirinkite atsakymą. &lt;/i&gt;"	"R547_question6_itemDirections_56fc782e0d8454.46459147_1_0"	"PISA_lit-LTU_REA_R547-BookSurvey_en18_MS2022.xlf"
"5811"	"Bottles"	"Butelių"	"q4R569_question_question04_4_56fc787951f7a9.77277158_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"2561"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R549_question06_q06itemDirections_56fc786ad2b6d6.09014130_1_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"nutempkite laukelius į reikiamas vietas."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"1992"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt;Remdamiesi dešinėje pateikto šaltinio „Genialumo kibirkštis“ informacija,"	"R544_question6_itemDirections_56fc78217e75b4.12434036_0_0"	"PISA_lit-LTU_REA_R544-Tesla_en18_MS2022.xlf"
"2800"	"Summer"	"Vasarą"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"5643"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_0_0"	"PISA_lit-LTU_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2657"	"Home"	"Pagrindinis"	"R550_ancestral_ancestral_l1_56fc785cc8d224.57710597_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"2492"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_1_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"6148"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_1_0"	"PISA_lit-LTU_REA_R590-Sentences01_en18_MS2022.xlf"
"5008"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_1_0"	"PISA_lit-LTU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6159"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_1_0"	"PISA_lit-LTU_REA_R590-Sentences01_en18_MS2022.xlf"
"2004"	"Type your answer to the question.&lt;/i&gt;"	"įrašykite atsakymą. &lt;/i&gt;"	"R544_question8_itemDirections_56fc7821801f42.81584931_1_0"	"PISA_lit-LTU_REA_R544-Tesla_en18_MS2022.xlf"
"1889"	"Click on a choice to answer the question.&lt;/i&gt;"	"pasirinkite atsakymą. &lt;/i&gt;"	"R544_question11_itemDirections_56fc782169f054.65729882_1_0"	"PISA_lit-LTU_REA_R544-Tesla_en18_MS2022.xlf"
"506"	"courageously"	"narsiai"	"R220_stimulus_stimulusH_9_50d374dd880ec7.56894428_0"	"PISA_lit-LTU_REA_R220-SouthPole_en15_MS2022.xlf"
"4106"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_lit-LTU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2723"	"Home"	"Pagrindinis"	"R550_hours_hours_l1_56fc785ccf6140.31847109_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"1940"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt;Remdamiesi dešinėje pateikto šaltinio „Genialumo kibirkštis“ informacija,"	"R544_question_itemDirections_56fc7821795366.48145010_0_0"	"PISA_lit-LTU_REA_R544-Tesla_en18_MS2022.xlf"
"1041"	"WORK RIGHT"	"„SPARTUS DARBAS“"	"R466_stimulus_stimulus2_1_50d37b8875c627.22502654_0"	"PISA_lit-LTU_REA_R466-WorkRight_en15_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"pasirinkite paieškos rezultatą."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_lit-LTU_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1561"	"Wednesday"	"Trečiadienis"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_lit-LTU_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"Remdamiesi abiejų dešinėje pateiktų šaltinių, kuriuos rasite paspaudę atitinkamus skirtukus, informacija,"	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_lit-LTU_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2862"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R550_question06_q06itemDirections_56fc785ce7bab6.58395989_1_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"2797"	"Click on a choice to answer the question."	"pasirinkite atsakymą.&lt;/i&gt;"	"R550_question01_q01itemDirections_56fc785cdd5b03.75076790_1_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"5012"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_0_0"	"PISA_lit-LTU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"pasirinkite paieškos rezultatą."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_lit-LTU_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5013"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_lit-LTU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2056"	"Introduction"	"Įžanga"	"R545_question00_R545itemTitle00_56fc7821a9d015.80843905_1_0"	"PISA_lit-LTU_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5746"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_0_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Perkantiems prekių nuo 60 iki 149,99 €, „Spartus darbas“ grąžins &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;€.&lt;br /&gt; &gt; Perkantiems prekių nuo 150 iki 299,99 €, „Spartus darbas“ grąžins 50 €.&lt;br /&gt; &gt; Perkantiems prekių nuo 300 ir daugiau €, „Spartus darbas“ grąžins 100 €.&lt;br /&gt;"	"R466_stimulus_line5_50d37b8875db47.14527813_0"	"PISA_lit-LTU_REA_R466-WorkRight_en15_MS2022.xlf"
"3778"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00body_q00itemDirections_56fc783b2348f3.80349298_1_0"	"PISA_lit-LTU_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5824"	"Benches"	"Prie suoliukų"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"5929"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_lit-LTU_REA_R570-TheFavour_en18_MS2022.xlf"
"6147"	"Read the introduction."	"Perskaitykite įvadą"	"q0aR590_question_q0aitemDirections_56fd231113fc59.68937271_0_0"	"PISA_lit-LTU_REA_R590-Sentences01_en18_MS2022.xlf"
"5002"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_1_0"	"PISA_lit-LTU_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_lit-LTU_REA_R590-Sentences01_en18_MS2022.xlf"
"4664"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00body_q00itemDirections_56fc783b5aea95.72363860_1_0"	"PISA_lit-LTU_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"500"	"his disappointment"	"savo nusivylimą"	"R220_stimulus_stimulusH_5_50d374dd87fb53.29175762_0"	"PISA_lit-LTU_REA_R220-SouthPole_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"spustelėkite pasirinkimą ir įrašykite paaiškinimą."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_lit-LTU_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5664"	"Who's in the Chat"	"Kas dalyvauja pokalbyje:"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"5747"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_1_0"	"PISA_lit-LTU_REA_R569-TheCleanup_en18_MS2022.xlf"
"2491"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_0_0"	"PISA_lit-LTU_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1014"	"WORK RIGHT"	"„SPARTUS DARBAS“"	"R466_stimulus_stimulus_1_50d37b8873af88.04031190_0"	"PISA_lit-LTU_REA_R466-WorkRight_en15_MS2022.xlf"
"2785"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_lit-LTU_REA_R550-CliffPalace_en18_MS2022.xlf"
"1631"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"question0b_1_itemDirections00_56fc7821309e26.00768085_1_0"	"PISA_lit-LTU_REA_R543-Nobel_en18_MS2022.xlf"
"6158"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_0_0"	"PISA_lit-LTU_REA_R590-Sentences01_en18_MS2022.xlf"
"5928"	"Read the information below."	"Perskaitykite žemiau pateiktą informaciją"	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_0_0"	"PISA_lit-LTU_REA_R570-TheFavour_en18_MS2022.xlf"
"2058"	"Then click on the NEXT arrow."	"ir spustelėkite rodyklę TOLIAU."	"R545_question00_q00itemDirections_56fc7821a9d332.06999644_1_0"	"PISA_lit-LTU_REA_R545-MachuPicchu_en18_MS2022.xlf"
