"Segment"	"en-ZZ"	"de-CH"	"ID"	"File"
"1309"	"decrease"	"abnehmen wird"	"S607_question3_S607Q03SELECT22_5174071346a6b7.14780014_0"	"PISA_deu-CHE_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"737"	"No"	"NEIN"	"S498_question3_question3_2_50ec5c4d40a390.87735812_0"	"PISA_deu-CHE_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"279"	"Low"	"gering"	"S413_question3_q3t4tr6td2_50ec4186601c86.50191706_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2370"	"select"	"wähle"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2894"	"."	"am ähnlichsten ist."	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_deu-CHE_SCI_S648-HabitableZone_en15_MS2022.xlf"
"245"	"Low"	"gering"	"S413_question3_q3t1tr6td2_50ec41865f7b60.12654999_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2455"	"None"	"keine"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"273"	"Low"	"gering"	"S413_question3_q3t4tr3td2_50ec41865ffea5.92631293_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1523"	"Medium"	"Mässig"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_deu-CHE_SCI_S615-Tsunami_en15_MS2022.xlf"
"1308"	"increase"	"zunehmen wird"	"S607_question3_S607Q03SELECT21_5174071346a174.96935374_0"	"PISA_deu-CHE_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2458"	"High"	"gross"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_deu-CHE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"276"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung"	"S413_question3_q3t4tr5td1_50ec4186600ea1.04044611_0"	"PISA_deu-CHE_SCI_S413-PlasticAge_en15_MS2022.xlf"
"935"	"higher"	"höher"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_deu-CHE_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
