"Segment"	"en-ZZ"	"pt-PT"	"ID"	"File"
"2244"	"Low"	"Baixo"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2372"	"decrease"	"diminui"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2245"	"Medium"	"Médio"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Esta questão pode ser respondida através de experiências científicas?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_por-PRT_SCI_S638-OilSpills_en15_MS2022.xlf"
"2450"	"None"	"Nulo"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Baixo"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Baixo"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2108"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Esta simulação permite explorar o efeito da vacinação na propagação de uma doença infecciosa numa população de pessoas expostas à doença."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_por-PRT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2376"	"decrease"	"diminui"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"935"	"higher"	"superiores"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_por-PRT_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2243"	"None"	"Nulo"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2375"	"increase"	"aumenta"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Médio"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Muito Bem!&lt;br /&gt; Para continuares, clica na seta SEGUINTE"	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_por-PRT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2455"	"None"	"Nulo"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"936"	"lower"	"inferiores"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_por-PRT_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Muito Bem!&lt;br /&gt; Para continuares, clica na seta SEGUINTE"	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_por-PRT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2458"	"High"	"Elevado"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Médio"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_por-PRT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
