"Segment"	"en-ZZ"	"de-AT"	"ID"	"File"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Für Einkäufe zwischen EUR 60,- und EUR 149,95 wird Richtig Arbeiten Ihnen EUR &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;,- zurückerstatten.&lt;br /&gt; &gt; Für Einkäufe zwischen EUR 150,- und EUR 299,95 wird Richtig Arbeiten Ihnen EUR 50,- zurückerstatten.&lt;br /&gt; &gt; Für Einkäufe über EUR 300,- wird Richtig Arbeiten Ihnen EUR 100,- zurückerstatten.&lt;br /&gt;"	"R466_stimulus_line5_50c7c942619c01.11182055_0"	"PISA_deu-AUT_REA_R466-WorkRight_en15_MS2022.xlf"
"576"	"The worst has happened"	"Das Schlimmste ist eingetreten."	"R220_stimulus_stimulusHQ4_3_50c7c047082b02.76911899_0"	"PISA_deu-AUT_REA_R220-SouthPole_en15_MS2022.xlf"
"1545"	"Tutors for All"	"Nachhilfe für alle"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_deu-AUT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"325"	"TO"	"BIS ZUM"	"R219_stimulus_sect4Line3span4_50c7b7766541f1.92501235_0"	"PISA_deu-AUT_REA_R219-Employment_en15_MS2022.xlf"
"500"	"his disappointment"	"seine Enttäuschung"	"R220_stimulus_stimulusH_5_50c7c047020a88.30406233_0"	"PISA_deu-AUT_REA_R220-SouthPole_en15_MS2022.xlf"
"3468"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R556_question6_itemDirections_56fc783ad7eec4.09705116_1_0"	"PISA_deu-AUT_REA_R556-Microlending_en18_MS2022.xlf"
"5824"	"Benches"	"Bei den Bänken."	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_deu-AUT_REA_R569-TheCleanup_en18_MS2022.xlf"
"1446"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"Ja, das ist mein Plan, aber ich interessiere mich mehr für den Aushang zur Nachhilfe..."	"Q01R542_question_Convp7_56fc782106bb52.01850166_1_0"	"PISA_deu-AUT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5002"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_1_0"	"PISA_deu-AUT_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4500"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_1_0"	"PISA_deu-AUT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4106"	"Then click on the NEXT arrow."	"Klicke dann auf den WEITER-Pfeil.&lt;/i&gt;"	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_deu-AUT_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3538"	"Type your answer to the question.&lt;/i&gt;"	"Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"R556_question11_itemDirections_56fc783ae151e7.17163175_1_0"	"PISA_deu-AUT_REA_R556-Microlending_en18_MS2022.xlf"
