"Segment"	"en-ZZ"	"es-DO"	"ID"	"File"
"488"	"&lt;b&gt;Graph 1&lt;/b&gt;"	"&lt;b&gt;Gráfica 1&lt;/b&gt;"	"S428_stimulus2_subtitle_50ec515e6953f6.27971868_0"	"PISA_esp-DOM_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"¿Puede responderse a esta pregunta por medio de experimentos científicos?"	"S638_question4_Q4_tr1th1_516583517289b0.71320718_0"	"PISA_esp-DOM_SCI_S638-OilSpills_en15_MS2022.xlf"
"315"	"&lt;i&gt;Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en las opciones de la tabla para responder a la pregunta.&lt;/i&gt;"	"S415_question3_itemDirections3_50ec3cf1582b99.97949782_0"	"PISA_esp-DOM_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"En esta simulación, podrás explorar cómo afecta el volumen de capturas de bacalao y arenque a la biomasa de cada tipo de organismo de la bahía tras un periodo de cinco años."	"question2_1_P21_517c866cc892f7.27640294_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"S603_question4_itemDirections4_5138b289d66ef2.15561880_0"	"PISA_esp-DOM_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2245"	"Medium"	"Medio"	"js_translation_medium_517c866cc0bb10.48262966_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2433"	"1000"	"1.000"	"stimulus2_1_ylabel_1000p_517c866cd97b59.37639306_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S638_question0_itemDirections0_516e90e7982602.88504439_0"	"PISA_esp-DOM_SCI_S638-OilSpills_en15_MS2022.xlf"
"2432"	"2000"	"2.000"	"stimulus2_1_ylabel_2000p_517c866cd978d9.91614839_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"935"	"higher"	"mayores"	"S602_question4_S602Q04SELECT31_5146f1d3220749.32583095_0"	"PISA_esp-DOM_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2808"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la información siguiente. Haz clic en una opción para responder a la pregunta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c7da0d7.37830503_0"	"PISA_esp-DOM_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2376"	"decrease"	"disminuirá"	"question5_1_o5b_2_517c866cce91e1.21839113_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la siguiente información. Haz clic en una o varias casillas para responder a la pregunta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c3c3109.76596197_0"	"PISA_esp-DOM_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2371"	"increase"	"aumentará"	"question5_1_o5_1_517c866cce8576.85368889_0"	"PISA_esp-DOM_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"El suministro de ayuda a víctimas de desastres naturales"	"S514_question3_tr4td1_50ed2967cbb7e9.81118868_0"	"PISA_esp-DOM_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2500"	"Disadvantage"	"Inconveniente"	"S638_question2_header2_516583516ee8a9.85837732_0"	"PISA_esp-DOM_SCI_S638-OilSpills_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"S648_Q0_itemDirections0_51543fc6ecc6d6.10259623_0"	"PISA_esp-DOM_SCI_S648-HabitableZone_en15_MS2022.xlf"
