"Segment"	"en-ZZ"	"ja-JP"	"ID"	"File"
"3033"	"&lt;i&gt;Refer to &quot;Treatment Study&quot; on the right. Click on a choice to answer the question. &lt;/i&gt;"	"右の「害虫処理に関する調査」をよく読んで、下の問いの答えを一つクリックしてください。"	"S657_question3_itemDirections3_518050dc4491b0.06692657_0"	"PISA_jpn-JPN_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"1653"	"Medium"	"中程度"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_jpn-JPN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2143"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"シミュレーションでは、集団内の個人は、常に次の３つの状態のいずれかにあるものとします。"	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_jpn-JPN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2954"	"Explain your answer."	"答えを説明してください。"	"S648_question4_q4p2_517407af762523.27161688_0"	"PISA_jpn-JPN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"920"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;都市のヒートアイランド現象 &lt;/b&gt;&lt;br /&gt; 問"	"S602_question3_qitemTitle3_515e3a71ea4ab2.35582126_0"	"PISA_jpn-JPN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2655"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;電球の比較&lt;/b&gt;&lt;br /&gt;問"	"question5_1_itemTitle05_51940c10264665.80289516_0"	"PISA_jpn-JPN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1232"	"S605 Geothermal Energy"	"S605地熱エネルギー"	"S605_stimulus3_unknownID_515e3a7222f3d5.31439290_0"	"PISA_jpn-JPN_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"2263"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"正しく操作できました！&lt;br /&gt;「次へ」ボタンをクリックして進んでください。"	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_jpn-JPN_SCI_S634-Vaccination_en15_MS2022.xlf"
"1943"	"S626 Sound in Marine Habitats"	"S626海洋における騒音"	"S626_stimulus4_unknownID_515e3a727a7b87.05998946_0"	"PISA_jpn-JPN_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2245"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"注：答えは&lt;b&gt;一つとは&lt;/b&gt; 限りません。"	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_jpn-JPN_SCI_S634-Vaccination_en15_MS2022.xlf"
"2374"	"increase"	"増え"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2405"	"increase"	"増え"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2935"	"&lt;b&gt;Habitable Zone&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;生命居住可能領域&lt;/b&gt;&lt;br /&gt; 問"	"S648_question3_qitemTitle3_517407af715ca8.94065756_0"	"PISA_jpn-JPN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2896"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"正しく操作できました！&lt;br /&gt; 「次へ」ボタンクリックして進んでください。"	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_jpn-JPN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2458"	"Phytoplankton"	"植物プランクトン"	"stimulus2_1_stimulus2_5_51940bae4f3f40.02716657_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2539"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;石油流出 &lt;/b&gt;&lt;br /&gt; 問"	"S638_question3_qitemTitle3_51804fe18524e4.56349804_0"	"PISA_jpn-JPN_SCI_S638-OilSpills_en15_MS2022.xlf"
"2879"	"3"	"３"	"question6_1_t1tr4td1_51940c103ee748.14487949_0"	"PISA_jpn-JPN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;都市のヒートアイランド現象 &lt;/b&gt;&lt;br /&gt; 問"	"S602_question4_qitemTitle4_515e3a71ecc5d8.94269684_0"	"PISA_jpn-JPN_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2178"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;予防接種と伝染病の広がり&lt;/b&gt;&lt;br /&gt;問"	"question2_1_itemTitle02_5193fde59dc0c3.50064933_0"	"PISA_jpn-JPN_SCI_S634-Vaccination_en15_MS2022.xlf"
"1359"	"Newly hatched birds are in nests"	"卵から孵化したばかりの鳥が&lt;br /&gt;巣の中にいる"	"S607_stimulus1_sl02_517407135cd2c7.40077453_0"	"PISA_jpn-JPN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1005"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;象とアカシアの木&lt;/b&gt;&lt;br /&gt; 問"	"S603_question2_itemTitle2_515e3a7205e4b9.11233983_0"	"PISA_jpn-JPN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1803"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"答えは&lt;b&gt;一つとは&lt;/b&gt;限りません。"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_jpn-JPN_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2338"	"To run this simulation, you can use the following controls:"	"このシミュレーションは、以下のスライダーやボタンを使って実行します。"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2928"	"."	"の表面温度に最も近いと予想されます。"	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_jpn-JPN_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2674"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;電球の比較&lt;/b&gt;&lt;br /&gt;問"	"question6_1_itemTitle06_51940c102836a9.96822119_0"	"PISA_jpn-JPN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2811"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"問いに答えるためにデータの行を選択するには、その行をクリックします。選択した行には星印が付きます。"	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_jpn-JPN_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1053"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;象とアカシアの木 &lt;/b&gt;&lt;br /&gt; 問"	"S603_question5_itemTitle5_515e3a720cc5f5.49479568_0"	"PISA_jpn-JPN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2268"	"Delete a row of data to run another trial."	"別のシミュレーションを実行するには、データを１行削除してください。"	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1100"	"&lt;b&gt;Water from Fog&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;霧から得る水&lt;/b&gt;&lt;br /&gt;問"	"S604_question2_itemTitle2_51804e6bc26795.87105378_0"	"PISA_jpn-JPN_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2375"	"decrease"	"減り"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1579"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;津波について&lt;/b&gt;&lt;br /&gt;はじめに"	"question1_1_itemTitle01_5193d35626b6b4.37345644_0"	"PISA_jpn-JPN_SCI_S615-Tsunami_en15_MS2022.xlf"
"1040"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;象とアカシアの木 &lt;/b&gt;&lt;br /&gt; 問"	"S603_question4_itemTitle4_515e3a720a7527.26314932_0"	"PISA_jpn-JPN_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2717"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"正しく操作できました！&lt;br /&gt;「次へ」ボタンをクリックして進んでください。"	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_jpn-JPN_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2369"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;魚の保護&lt;/b&gt;&lt;br /&gt;問"	"question3_1_itemTitle03_51940bae403424.58984875_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2406"	"decrease"	"減り"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_jpn-JPN_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2575"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;石油流出&lt;/b&gt;&lt;br /&gt;問"	"S638_question5_itemTitle5_51804fe18b9630.39685907_0"	"PISA_jpn-JPN_SCI_S638-OilSpills_en15_MS2022.xlf"
"1557"	"Medium"	"中程度"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_jpn-JPN_SCI_S615-Tsunami_en15_MS2022.xlf"
"1602"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;津波について&lt;/b&gt;&lt;br /&gt; 問"	"question3_1_itemTitle03_5193d3562af197.96505462_0"	"PISA_jpn-JPN_SCI_S615-Tsunami_en15_MS2022.xlf"
"1624"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;津波について&lt;/b&gt;&lt;br /&gt; 問"	"question5_1_itemTitle05_5193d3562f5950.25689113_0"	"PISA_jpn-JPN_SCI_S615-Tsunami_en15_MS2022.xlf"
"1311"	"."	"可能性が高くなります。"	"S607_question3_p31_5174071346b042.73247137_0"	"PISA_jpn-JPN_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1499"	"&lt;b&gt;Brain-Controlled Robotics&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;脳制御ロボット工学&lt;/b&gt;&lt;br /&gt; 問"	"S610_question2_QitemTitle2_51804e6bcf3483.26385704_0"	"PISA_jpn-JPN_SCI_S610-Brain-controlledRobotics_en15_MS2022.xlf"
"1634"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;津波について&lt;/b&gt;&lt;br /&gt; 問"	"question6_1_itemTitle06_5193d35631f215.65450095_0"	"PISA_jpn-JPN_SCI_S615-Tsunami_en15_MS2022.xlf"
"2559"	"Can this question be answered by scientific experiments?"	"この問いは、科学的な実験によって答えを得ることができますか。"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_jpn-JPN_SCI_S638-OilSpills_en15_MS2022.xlf"
