"Segment"	"en-ZZ"	"sl-SI"	"ID"	"File"
"1960"	"No"	"Ne"	"R544_question4_tr1th3_56fc78217b0c68.60025887_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"5660"	"Yes"	"Da"	"R568_question10_question10_3_56fc784ab37854.87629683_0"	"PISA_slv-SVN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5412"	"No"	"Ne"	"R567_question11_q11tr1th3_56fc78792000e1.50715466_0"	"PISA_slv-SVN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"od 150 € do 299,99 €&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c9b6cac1d3.12948500_0"	"PISA_slv-SVN_REA_R466-WorkRight_en15_MS2022.xlf"
"5024"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Ne pozabi izbrati &lt;b&gt;enega ali več&lt;/b&gt; odgovorov.&lt;/i&gt;"	"R566_question01_q01p2_56fc786b7f01a9.64276582_0"	"PISA_slv-SVN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"571"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1. junija 1910 se je stara škotska kitolovka Terra Nova z britansko posadko (petinšestdeset mož, sedemnajst ponijev in trideset psov) odpravila iz Evrope. Priprave so trajale skoraj leto dni. Odprava je imela dvojni namen: izpeljati znanstvenorazisko-valni program in seveda tudi osvojiti južni tečaj. Nenadoma pa je Scott odkril, da ima velikega tekmeca, Norvežana Roalda Amundsena."	"R220_stimulus_p1_50c7c0bd945658.41619716_0"	"PISA_slv-SVN_REA_R220-SouthPole_en15_MS2022.xlf"
"304"	"S"	"N"	"R219_stimulus_stimulus_10_50c7b7f28732e3.92941349_0"	"PISA_slv-SVN_REA_R219-Employment_en15_MS2022.xlf"
"4167"	"True"	"Drži"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_slv-SVN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1957"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Pri vsaki trditvi klikni &lt;b&gt;&quot;Da&quot;&lt;/b&gt; ali &lt;b&gt;&quot;Ne&quot;&lt;/b&gt;."	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_slv-SVN_REA_R544-Tesla_en18_MS2022.xlf"
"3387"	"Click on a choice to answer the question.&lt;/i&gt;"	"Na vprašanje odgovori tako, da klikneš eno izmed možnosti. &lt;/i&gt;"	"R556_question1_itemDirections_56fc783ac17050.91870088_1_0"	"PISA_slv-SVN_REA_R556-Microlending_en18_MS2022.xlf"
