"Segment"	"en-ZZ"	"zh-TW"	"ID"	"File"
"5312"	"True"	"對"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_zho-TAP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2102"	"True"	"對"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_zho-TAP_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5313"	"False"	"錯"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_zho-TAP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2448"	"Citizen Observer Project"	"公民觀測員計劃"	"R549_stimulus3_stimulus3_6_56fc786ac320b1.56875163_0"	"PISA_zho-TAP_REA_R549-MessageInABottle_en18_MS2022.xlf"
"320"	"LOCATION"	"地點："	"R219_stimulus_sect4Line2span2_50d36da7426702.92057958_0"	"PISA_zho-TAP_REA_R219-Employment_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"點擊一個選項，然後輸入一個解釋來回答本題。"	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_zho-TAP_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1313"	"False"	"錯"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_zho-TAP_REA_R541-Plastic_en18_MS2022.xlf"
"2736"	"Hours"	"&lt;b&gt;開放時間&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_zho-TAP_REA_R550-CliffPalace_en18_MS2022.xlf"
"4167"	"True"	"對"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_zho-TAP_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5270"	"False"	"錯"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_zho-TAP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5543"	"False"	"錯"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_zho-TAP_REA_R568-SpaceDebris_en18_MS2022.xlf"
