"Segment"	"en-ZZ"	"ru-LV"	"ID"	"File"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Для ответа на вопрос отметьте нужный вариант ответа.&lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_rus-LVA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2698"	"Halogen"	"Галогенная"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_rus-LVA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2452"	"Medium"	"Средняя"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_rus-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выполните симуляцию для получения данных на основании приведённой ниже информации. Для ответа на вопрос отметьте нужный вариант ответа, а затем запишите объяснение своего ответа.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_rus-LVA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Прочитайте текст «Вода из тумана», расположенный справа. Для ответа на вопрос отметьте один или несколько вариантов ответа.&lt;/i&gt;"	"S604_question3_itemDirections3_51804e6bc48859.23680107_0"	"PISA_rus-LVA_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"275"	"Medium"	"Средняя"	"S413_question3_q3t4tr4td2_50ec42a5dc0530.24986873_0"	"PISA_rus-LVA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Прочитайте текст &quot;Аммониты&quot;, расположенный справа. Для ответа на вопрос используйте метод «Перетащить и оставить».&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_rus-LVA_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2343"	"select"	"Выберите"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_rus-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Запишите свой ответ на вопрос.&lt;/i&gt;"	"S638_question5_itemDirections5_51804fe18ba1e7.21783966_0"	"PISA_rus-LVA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2374"	"select"	"Выберите"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_rus-LVA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
