"Segment"	"en-ZZ"	"ca-ES"	"ID"	"File"
"891"	"To run this simulation, follow these steps:"	"Per utilitzar la calculadora, segueix aquests passos:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_cat-ESP_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Escriu les respostes a la pregunta utilitzant les tecles numèriques."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_cat-ESP_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1039"	"84+"	"85 o més"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_cat-ESP_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4312"	"Explain your answer."	"Raona la resposta."	"q3MA150_question_q3p4_5c9d21653a0672.84676440_0"	"PISA_cat-ESP_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Clica una o diverses caselles per respondre a la pregunta."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_cat-ESP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Recorda que has de triar &lt;b&gt;una o diverses&lt;/b&gt; opcions."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_cat-ESP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_cat-ESP_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_cat-ESP_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4650"	"Explain your answer."	"Raona la resposta."	"q1MA156_question_q1p2_5c9d2165693a19.29184719_0"	"PISA_cat-ESP_MAT_MA156-Points_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Explica la teva resposta i inclou valors numèrics que justifiquin la teva explicació."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_cat-ESP_MAT_MA146-Fuel_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Recorda que has de triar &lt;b&gt;una o diverses&lt;/b&gt; opcions."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_cat-ESP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4207"	"Explain your answer."	"Raona la resposta."	"q3MA148_question_q3p3_5c9d21651da120.58575580_0"	"PISA_cat-ESP_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3377"	"Explain your answer."	"Raona la resposta."	"MA136_question02_q2p4_5c9d21646200b3.63337441_0"	"PISA_cat-ESP_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"Clica una o diverses caselles per respondre a la pregunta."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_cat-ESP_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2348"	"Explain your answer."	"Raona la resposta."	"Q2MA122_question_Q2ItmStmP4Id_5c9d214b6c2632.07402001_0"	"PISA_cat-ESP_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Clica una o diverses opcions per respondre a la pregunta."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_cat-ESP_MAT_MA149-FloorArea_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Per utilitzar la calculadora, segueix aquests passos:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_cat-ESP_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Recorda que has de seleccionar &lt;b&gt;una o diverses&lt;/b&gt; caselles."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_cat-ESP_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1976"	"Explain your answer."	"Raona la resposta."	"Q3MA124_question_MA124Q03P3_5c9d214b42a550.23637236_0"	"PISA_cat-ESP_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Selecciona una opció dels menús desplegables per respondre la pregunta."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_cat-ESP_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
