"Segment"	"en-ZZ"	"ar-QA"	"ID"	"File"
"4015"	"Explain your answer and include numerical values to support your explanation."	"اشرح إجابتك متضمناً قيماً عددية لدعم إجابتك."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_ara-QAT_MAT_MA146-Fuel_en21_MS2022.xlf"
"2186"	"Read the introduction."	"أقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_0_0"	"PISA_ara-QAT_MAT_MA126-Robot_en21_MS2022.xlf"
"1039"	"84+"	"+85"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ara-QAT_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1715"	"Read the introduction."	"أقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_0_0"	"PISA_ara-QAT_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"5075"	"Statement"	"‪السؤال"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ara-QAT_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"اضغط على مربع أو أكثر للإجابة عن السؤال."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_ara-QAT_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"اضغط على مربعين للإجابة عن السؤال."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_ara-QAT_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1542"	"Click on one or more boxes to answer the question."	"اضغط على مربع أو أكثر للإجابة عن السؤال."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_ara-QAT_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4383"	"Statement"	"العبارة"	"q1MA151_question_q1tr1th1_5c9d2165424b48.24511318_0"	"PISA_ara-QAT_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"اشرح إجابتك متضمناً قيماً عددية لدعم إجابتك."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_ara-QAT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3915"	"Statement"	"العبارة"	"q3MA144_question_q3tr1th1_5c9d2164d14be7.65905574_0"	"PISA_ara-QAT_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"اضغط على مربع أو أكثر للإجابة عن السؤال."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_ara-QAT_MAT_MA114-Honey_en21_MS2022.xlf"
"1435"	"Statement"	"العبارة"	"MA117_question04_Q4tr1th1_5c9d214ab15005.61673470_0"	"PISA_ara-QAT_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3864"	"269 kJ"	"276kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ara-QAT_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"اضغط على &lt;b&gt;صواب&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة من العبارات في الجدول أدناه."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_ara-QAT_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ تذكر أن تختار &lt;b&gt;مربعاً أو أكثر&lt;/b&gt;."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ara-QAT_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"اضغط على &lt;b&gt;صواب&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_ara-QAT_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"اضغط على &lt;b&gt;صواب&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ara-QAT_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2692"	"Read the introduction."	"أقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b887736.20535767_0_0"	"PISA_ara-QAT_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4322"	"Italy"	"إيطاليا"	"MA151_stimulus_cntLbl4_5c9d2165407bf1.99447217_0"	"PISA_ara-QAT_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ تذكر أن تختار &lt;b&gt;مربعاً أو أكثر&lt;/b&gt;."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ara-QAT_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"لتشغيل الآلة الحاسبة، اتبع الخطوات التالية:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ara-QAT_MAT_MA112-Metabolism_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"لاستخدام الآلة الحاسبة، اتبع الخطوات التالية:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_ara-QAT_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ تذكر بأن تختار &lt;b&gt;مربعاً أو أكثر&lt;/b&gt; من المربعات."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ara-QAT_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1378"	"Read the introduction."	"أقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214aab7211.94558881_0_0"	"PISA_ara-QAT_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4324"	"Spain"	"أسبانيا"	"MA151_stimulus_cntLbl6_5c9d2165407df2.75191742_0"	"PISA_ara-QAT_MAT_MA151-MovingOut_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"اضغط على &lt;b&gt;صواب&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_ara-QAT_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1170"	"Read the introduction."	"أقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_0_0"	"PISA_ara-QAT_MAT_MA114-Honey_en21_MS2022.xlf"
"4767"	"Statement"	"العبارة"	"q2MA158_question_q2tr1th1_5c9d21657cb706.07064036_0"	"PISA_ara-QAT_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"اضغط على مربع واحد أو أكثر للإجابة عن السؤال."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_ara-QAT_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2526"	"Read the introduction."	"أقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b76c282.48085737_0_0"	"PISA_ara-QAT_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1133"	"Statement"	"العبارة"	"Q02MA113_question_Q02tr1th1_5c9d214a6c3e54.01685511_0"	"PISA_ara-QAT_MAT_MA113-HeartRate_en21_MS2022.xlf"
