"Segment"	"en-ZZ"	"es-UY"	"ID"	"File"
"1020"	"Runner A"	"El corredor A"	"Q2M939_question_question2_1_50d360a232ea05.87186525_0"	"PISA_esp-URY_MAT_M939-Racing_en15_MS2022.xlf"
"1345"	"India"	"Estados Unidos"	"M955_stimulus_tr7td1_50d35066cedff8.39733586_0"	"PISA_esp-URY_MAT_M955-Migration_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Escribe tu respuesta usando el teclado numérico. &lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35fc77861d6.69271662_0"	"PISA_esp-URY_MAT_M464-Fence_en15_MS2022.xlf"
"1022"	"Runner C"	"El corredor C"	"Q2M939_question_question2_3_50d360a232f274.06017335_0"	"PISA_esp-URY_MAT_M939-Racing_en15_MS2022.xlf"
"1023"	"Runner D"	"El corredor D"	"Q2M939_question_question2_4_50d360a232f693.76165919_0"	"PISA_esp-URY_MAT_M939-Racing_en15_MS2022.xlf"
"1336"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_50d35066cebd38.72049873_0"	"PISA_esp-URY_MAT_M955-Migration_en15_MS2022.xlf"
"917"	"2000"	"2.000"	"Q1M915_question_label11_50d34dfd697401.65977559_0"	"PISA_esp-URY_MAT_M915-CarbonTax_en15_MS2022.xlf"
"1248"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Explica cómo has hallado la respuesta.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_50c77e7eedc4c1.48113038_0"	"PISA_esp-URY_MAT_M953-FluTest_en15_MS2022.xlf"
"1062"	"A"	"X"	"Q1M943_question_label2_50c7838d987395.50909407_0"	"PISA_esp-URY_MAT_M943-Arches_en15_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder.&lt;/i&gt;"	"Q1M474_question_Q1itemDirections_50d3477ea42840.71254334_0"	"PISA_esp-URY_MAT_M474-RunningTime_en15_MS2022.xlf"
"1021"	"Runner B"	"El corredor B"	"Q2M939_question_question2_2_50d360a232ee66.01083804_0"	"PISA_esp-URY_MAT_M939-Racing_en15_MS2022.xlf"
"1016"	"&lt;b&gt;Racing&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;CARRERA&lt;/b&gt;&lt;br /&gt; Pregunta"	"Q2M939_question_Q2itemTitle_50d360a232da87.68761201_0"	"PISA_esp-URY_MAT_M939-Racing_en15_MS2022.xlf"
"1339"	"China"	"Canadá"	"M955_stimulus_tr5td1_50d35066cec787.55668186_0"	"PISA_esp-URY_MAT_M955-Migration_en15_MS2022.xlf"
