"Segment"	"en-ZZ"	"sl-SI"	"ID"	"File"
"1697"	"5 stars"	"5 zvezdic"	"Page03_stimulus_S03T2tr2td1_5c9d214af20227.41283365_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1706"	"2 stars"	"2 zvezdici"	"Page03_stimulus_S03T2tr5td1_5c9d214af210c7.86669503_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1205"	"Click on one or more boxes to answer the question."	"Na vprašanje odgovori tako, da klikneš enega ali več okvirčkov."	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_slv-SVN_MAT_MA114-Honey_en21_MS2022.xlf"
"4814"	"42%"	"42 %"	"MA160_stimulus_r5td4_5c9d2137747b79.69982538_0"	"PISA_slv-SVN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4598"	"A"	"O"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_slv-SVN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2570"	"4%"	"4 %"	"MA130_question03_question3_4_5c9d214b7a7632.75136150_0"	"PISA_slv-SVN_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1657"	"5 stars"	"5 zvezdic"	"Page03_stimulus_S03tr2td1_5c9d214af1ca00.98625007_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4161"	"C"	"°C"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_slv-SVN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4721"	"50%"	"50 %"	"MA158_stimulus_r4c5_5c9d2165799e85.21387774_0"	"PISA_slv-SVN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1667"	"3 stars"	"3 zvezdice"	"Page03_stimulus_S03tr4td1_5c9d214af1d647.73277759_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4830"	"33%"	"33 %"	"MA160_stimulus_r9td4_5c9d21377499b0.00483393_0"	"PISA_slv-SVN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4729"	"50%"	"50 %"	"MA158_stimulus_r5c7_5c9d216579ab00.59196640_0"	"PISA_slv-SVN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Na vprašanje odgovori tako, da klikneš enega ali več okvirčkov."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_slv-SVN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1662"	"4 stars"	"4 zvezdice"	"Page03_stimulus_S03tr3td1_5c9d214af1d048.93352395_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Pri vsaki trditvi klikni &lt;b&gt;&quot;Da&quot;&lt;/b&gt; ali &lt;b&gt;&quot;Ne&quot;&lt;/b&gt;."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_slv-SVN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Pri uporabi kalkulatorja sledi naslednjim korakom:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_slv-SVN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4194"	"20%"	"20 %"	"q2MA148_question_question02_5_5c9d21651c6599.77212609_0"	"PISA_slv-SVN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4741"	"50%"	"50 %"	"MA158_stimulus_r7c7_5c9d216579c0f6.18614827_0"	"PISA_slv-SVN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1939"	"30%"	"30 %"	"MA124_stimulus1_MA124S01PiesRightLowP2_5c9d214b3edc43.76239355_0"	"PISA_slv-SVN_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"1621"	"5 stars"	"5 zvezdic"	"Page02_stimulus_S02tr2td1_5c9d214af00428.31642796_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Ne pozabi izbrati &lt;b&gt;enega ali več&lt;/b&gt; odgovorov."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_slv-SVN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1700"	"4 stars"	"4 zvezdice"	"Page03_stimulus_S03T2tr3td1_5c9d214af206e0.37166178_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1741"	"3 stars"	"3 zvezdice"	"question0a_1_Q00tr4td1_5c9d214b004ab0.93122163_0"	"PISA_slv-SVN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
