"Segment"	"en-ZZ"	"zh-CN"	"ID"	"File"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_zho-CHN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"输入你在本题的答案。"	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_zho-CHN_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"1657"	"5 stars"	"5 颗星"	"Page03_stimulus_S03tr2td1_5c9d214af1ca00.98625007_0"	"PISA_zho-CHN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3613"	"m"	"米"	"MA140_question1_asp2_5c9d21649b65f5.69764095_0"	"PISA_zho-CHN_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"使用数字键输入你在本题的答案。"	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_zho-CHN_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3376"	"No"	"不可能"	"MA136_question02_question02_5_5c9d216461ff94.71668560_0"	"PISA_zho-CHN_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"使用数字键输入你在本题的答案。"	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_zho-CHN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1741"	"3 stars"	"3 颗星"	"question0a_1_Q00tr4td1_5c9d214b004ab0.93122163_0"	"PISA_zho-CHN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1703"	"3 stars"	"3 颗星"	"Page03_stimulus_S03T2tr4td1_5c9d214af20bc4.48892052_0"	"PISA_zho-CHN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3375"	"Yes"	"可能"	"MA136_question02_question02_4_5c9d216461fe15.55110085_0"	"PISA_zho-CHN_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1727"	"5 stars"	"5 颗星"	"question0a_1_Q00tr2td1_5c9d214b0037c7.14409063_0"	"PISA_zho-CHN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"使用数字键输入你在本题的答案。"	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_zho-CHN_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"使用数字键输入你在本题的答案。"	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_zho-CHN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
