"Segment"	"en-ZZ"	"sr-RS"	"ID"	"File"
"817"	"Using the number keys, type your answer to the question."	"&lt;i&gt;Napiši svoj odgovor koristeći brojeve na tastaturi.&lt;/i&gt;"	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_srp-SRB_MAT_MA111-HealthApp_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Ukupno &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_srp-SRB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Obrazloži svoj odgovor i unesi brojčane vrednosti kako bi potkrepio svoje objašnjenje."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_srp-SRB_MAT_MA146-Fuel_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"&lt;i&gt;Napiši svoj odgovor na pitanje koristeći brojeve na tastaturi.&lt;/i&gt;"	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_srp-SRB_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4850"	"Mean"	"Srednja vrednost"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_srp-SRB_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Da bi koristio kalkulator, prati ove korake:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_srp-SRB_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Tačno&lt;/b&gt; ili &lt;b&gt;Netačno&lt;/b&gt; za svaku od tvrdnji."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_srp-SRB_MAT_MA144-Yogurt_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Da bi koristio kalkulator, prati ove korake:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_srp-SRB_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Obrazloži svoj odgovor i unesi brojčane vrednosti kako bi potkrepio svoje objašnjenje."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_srp-SRB_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_srp-SRB_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
