"Segment"	"en-ZZ"	"es-ES"	"ID"	"File"
"1021"	"Runner B"	"El corredor B"	"Q2M939_question_question2_2_50c7a684ccbc07.52753691_0"	"PISA_esp-ESP_MAT_M939-Racing_en15_MS2022.xlf"
"1433"	"M982 Employment Data Q3"	"M982 ESTADÍSTICAS DE EMPLEO Q4"	"Q4M982_question_unknownID_50c79344f0e4f5.81221097_0"	"PISA_esp-ESP_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1020"	"Runner A"	"El corredor A"	"Q2M939_question_question2_1_50c7a684ccb740.58337272_0"	"PISA_esp-ESP_MAT_M939-Racing_en15_MS2022.xlf"
"1023"	"Runner D"	"El corredor D"	"Q2M939_question_question2_4_50c7a684ccc5d0.33201943_0"	"PISA_esp-ESP_MAT_M939-Racing_en15_MS2022.xlf"
"1062"	"A"	"X"	"Q1M943_question_label2_50c7838d987395.50909407_0"	"PISA_esp-ESP_MAT_M943-Arches_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Escribe tu respuesta a la pregunta usando el teclado numérico.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a57db4be00.72017810_0"	"PISA_esp-ESP_MAT_M464-Fence_en15_MS2022.xlf"
"1339"	"China"	"Canadá"	"M955_stimulus_tr5td1_50c79122321037.06338190_0"	"PISA_esp-ESP_MAT_M955-Migration_en15_MS2022.xlf"
"917"	"2000"	"2.000"	"Q1M915_question_label11_50c78e08448433.73803496_0"	"PISA_esp-ESP_MAT_M915-CarbonTax_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"Haz clic en  &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada una de las afirmaciones de la tabla de abajo.&lt;br /&gt;"	"Q1M420_question_Q1itemStem_50c779847cbd92.61532517_0"	"PISA_esp-ESP_MAT_M420-Transport_en15_MS2022.xlf"
"1336"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_50c79122320071.48153621_0"	"PISA_esp-ESP_MAT_M955-Migration_en15_MS2022.xlf"
"1345"	"India"	"Estados Unidos"	"M955_stimulus_tr7td1_50c79122322502.57024450_0"	"PISA_esp-ESP_MAT_M955-Migration_en15_MS2022.xlf"
"1022"	"Runner C"	"El corredor C"	"Q2M939_question_question2_3_50c7a684ccc144.85844599_0"	"PISA_esp-ESP_MAT_M939-Racing_en15_MS2022.xlf"
