"Segment"	"en-ZZ"	"pt-PT"	"ID"	"File"
"3488"	"Click on one or more boxes to answer the question."	"Para responderes à questão, seleciona duas opções."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_por-PRT_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_por-PRT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Para utilizares a calculadora, segue estes passos:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_por-PRT_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 KJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_por-PRT_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Não te esqueças de selecionar &lt;b&gt;uma ou mais&lt;/b&gt; opções."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_por-PRT_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_por-PRT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Para responderes à questão, seleciona uma opção e depois escreve a tua resposta."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_por-PRT_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5075"	"Statement"	"Pergunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_por-PRT_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_por-PRT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_por-PRT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"Escreve a resposta à questão, utilizando as teclas numéricas."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_por-PRT_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_por-PRT_MAT_MA113-HeartRate_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Clica em &lt;b&gt;Sim&lt;/b&gt; ou em &lt;b&gt;Não&lt;/b&gt; para cada afirmação."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_por-PRT_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Clica em &lt;b&gt;Sim&lt;/b&gt; ou em &lt;b&gt;Não&lt;/b&gt; para cada afirmação."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_por-PRT_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_por-PRT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Seleciona &lt;b&gt;Verdadeira&lt;/b&gt; ou &lt;b&gt;Falsa&lt;/b&gt; para cada afirmação."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_por-PRT_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_por-PRT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Não te esqueças de selecionar &lt;b&gt;uma ou mais&lt;/b&gt; opções."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_por-PRT_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Escreve a resposta à questão, utilizando as teclas numéricas."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_por-PRT_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_por-PRT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_por-PRT_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5348"	"Question"	"Pergunta"	"q2MA161_question_q2tr1th1_5c9d2137d31a65.20583341_0"	"PISA_por-PRT_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
