"Segment"	"en-ZZ"	"fi-FI"	"ID"	"File"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"150&amp;ndash;299,99 €&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c939452a80.35276029_0"	"PISA_fin-FIN_REA_R466-WorkRight_en15_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_fin-FIN_REA_R556-Microlending_en18_MS2022.xlf"
"304"	"S"	"SU"	"R219_stimulus_stimulus_10_50c7b76bc6c635.71676579_0"	"PISA_fin-FIN_REA_R219-Employment_en15_MS2022.xlf"
"1559"	"Monday"	"Maanantai"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_fin-FIN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Tukioppilaat"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_fin-FIN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5850"	"No"	"En"	"q7R569_question_question07_4_56fc7879566c78.79915723_0"	"PISA_fin-FIN_REA_R569-TheCleanup_en18_MS2022.xlf"
"3610"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_1_0"	"PISA_fin-FIN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Vastaa napsauttamalla yhtä vaihtoehtoa ja kirjoita sitten perustelusi tyhjään tilaan. &lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_fin-FIN_REA_R544-Tesla_en18_MS2022.xlf"
"2800"	"Summer"	"Kesällä"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_fin-FIN_REA_R550-CliffPalace_en18_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_fin-FIN_REA_R553-HealthForum_en18_MS2022.xlf"
"3618"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_fin-FIN_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"571"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1. kesäkuuta 1910 englantilaisen retkikunta (kuusikymmentäviisi miestä, seitsemäntoista ponia ja kolmekymmentä koiraa) lähti matkaan Euroopasta vanhalla skotlantilaisella valaanpyyntialuksella Terra Novalla. Valmistelut olivat kestäneet melkein vuoden. Tutkimusretkellä oli kaksi tarkoitusta: suorittaa tieteellisiä tutkimuksia ja tietysti myös valloittaa Etelänapa. Yllättäen Scott sai huomata, että hänellä oli varteenotettava kilpailija, norjalainen Roald Amundsen."	"R220_stimulus_p1_50c7c03d9bd618.50220195_0"	"PISA_fin-FIN_REA_R220-SouthPole_en15_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_fin-FIN_REA_R565-SittingDisease_en18_MS2022.xlf"
"5810"	"Cans"	"Tölkkejä"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_fin-FIN_REA_R569-TheCleanup_en18_MS2022.xlf"
"301"	"T"	"TO"	"R219_stimulus_stimulus_7_50c7b76bc6b768.84536264_0"	"PISA_fin-FIN_REA_R219-Employment_en15_MS2022.xlf"
"5811"	"Bottles"	"Pulloja"	"q4R569_question_question04_4_56fc787951f7a9.77277158_0"	"PISA_fin-FIN_REA_R569-TheCleanup_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Onko väittämä esitteen perusteella oikein vai väärin?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_fin-FIN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ja napsauta sitten SEURAAVA-nuolta.&lt;/i&gt;"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_fin-FIN_REA_R553-HealthForum_en18_MS2022.xlf"
"3377"	"&lt;i&gt;Read the introduction."	"&lt;i&gt;Lue johdanto"	"question00_itemDirections00_56fc783ab76215.52042641_0_0"	"PISA_fin-FIN_REA_R556-Microlending_en18_MS2022.xlf"
"494"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"Kun he pääsivät huipulle, Amundsen käski tappaa tarpeettomat koirat ja jätti niitä henkiin vain kahdeksantoista kolmea rekeä varten. 10. joulukuuta he olivat vain 112 kilometrin päässä Etelänavasta. Matka jatkui alaspäin."	"R220_stimulus_p3_50c7c03d9617c9.74773179_0"	"PISA_fin-FIN_REA_R220-SouthPole_en15_MS2022.xlf"
"1955"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Vastaa napsauttamalla taulukossa olevia vaihtoehtoja.&lt;/i&gt;"	"R544_question4_itemDirections_56fc78217afe38.91956313_1_0"	"PISA_fin-FIN_REA_R544-Tesla_en18_MS2022.xlf"
"2802"	"Winter"	"Talvella"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_fin-FIN_REA_R550-CliffPalace_en18_MS2022.xlf"
"573"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"Kun he pääsivät huipulle, Amundsen käski tappaa tarpeettomat koirat ja jätti niitä henkiin vain kahdeksantoista kolmea rekeä varten. 10. joulukuuta he olivat vain 112 kilometrin päässä Etelänavasta. Matka jatkui alaspäin."	"R220_stimulus_p3_50c7c03d9bde76.16228516_0"	"PISA_fin-FIN_REA_R220-SouthPole_en15_MS2022.xlf"
"492"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1. kesäkuuta 1910 englantilaisen retkikunta (kuusikymmentäviisi miestä, seitsemäntoista ponia ja kolmekymmentä koiraa) lähti matkaan Euroopasta vanhalla skotlantilaisella valaanpyyntialuksella Terra Novalla. Valmistelut olivat kestäneet melkein vuoden. Tutkimusretkellä oli kaksi tarkoitusta: suorittaa tieteellisiä tutkimuksia ja tietysti myös valloittaa Etelänapa. Yllättäen Scott sai huomata, että hänellä oli varteenotettava kilpailija, norjalainen Roald Amundsen."	"R220_stimulus_p1_50c7c03d960f13.41324566_0"	"PISA_fin-FIN_REA_R220-SouthPole_en15_MS2022.xlf"
