"Segment"	"en-ZZ"	"cs-CZ"	"ID"	"File"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Svou odpověď na otázku napiš číslicemi.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a4d9ea3257.74929356_0"	"PISA_ces-CZE_MAT_M464-Fence_en15_MS2022.xlf"
"942"	"zeds"	" "	"Q2M915_question_sp2_50c78d6f148715.80047314_0"	"PISA_ces-CZE_MAT_M915-CarbonTax_en15_MS2022.xlf"
"276"	"False"	"Neprav&amp;shy;divé"	"Q1M408_question_Q1tr1th3_50c7a80594a278.19418590_0"	"PISA_ces-CZE_MAT_M408-Lotteries_en15_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Odpověz na otázku kliknutím na jednu z možností.&lt;/i&gt;"	"Q1M474_question_Q1itemDirections_50c784fa4258a8.27908068_0"	"PISA_ces-CZE_MAT_M474-RunningTime_en15_MS2022.xlf"
"1082"	"A"	"S"	"Q1M943_question_label2_50c782f2bc7209.11893702_0"	"PISA_ces-CZE_MAT_M943-Arches_en15_MS2022.xlf"
"1375"	"Canada"	"Čína"	"M955_stimulus_tr4td1_50c79077eef9b3.33451019_0"	"PISA_ces-CZE_MAT_M955-Migration_en15_MS2022.xlf"
"1378"	"China"	"Indie"	"M955_stimulus_tr5td1_50c79077ef03f4.11086679_0"	"PISA_ces-CZE_MAT_M955-Migration_en15_MS2022.xlf"
"275"	"True"	"Prav&amp;shy;divé"	"Q1M408_question_Q1tr1th2_50c7a805949e85.61240122_0"	"PISA_ces-CZE_MAT_M408-Lotteries_en15_MS2022.xlf"
"960"	"zeds"	"zedů"	"Q2M919_question_Q2sp1_50c78c63594f54.12791399_0"	"PISA_ces-CZE_MAT_M919-FanMerchandise_en15_MS2022.xlf"
"1384"	"India"	"Keňa"	"M955_stimulus_tr7td1_50c79077ef1bc2.44023878_0"	"PISA_ces-CZE_MAT_M955-Migration_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"U každého tvrzení klikni na &lt;b&gt;Pravdivé&lt;/b&gt; nebo &lt;b&gt;Nepravdivé&lt;/b&gt;. &lt;br /&gt;"	"Q1M420_question_Q1itemStem_50c778f3c86473.26091211_0"	"PISA_ces-CZE_MAT_M420-Transport_en15_MS2022.xlf"
"654"	"Step 2:"	"2. krok::"	"M603_stimulus2_s2_s2_1_50c786086f2013.56226841_0"	"PISA_ces-CZE_MAT_M603-NumberCheck_en15_MS2022.xlf"
"953"	"zeds"	"zedů"	"Q1M919_question_Q1sp1_50c78c63552905.37154153_0"	"PISA_ces-CZE_MAT_M919-FanMerchandise_en15_MS2022.xlf"
