"Segment"	"en-ZZ"	"pt-BR"	"ID"	"File"
"5313"	"False"	"Falso"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clique em  &lt;b&gt;Verdadeiro&lt;/b&gt; ou &lt;b&gt;Falso&lt;/b&gt; para cada afirmação."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4377"	"About Us"	"Quem somos"	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Digite a sua resposta para a questão."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_por-BRA_REA_R553-HealthForum_en18_MS2022.xlf"
"5818"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;A  Limpeza&lt;/b&gt;&lt;br /&gt;"	"q5R569_question_q05itemTitle_56fc7879533f83.02711490_0_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"3538"	"Type your answer to the question.&lt;/i&gt;"	"Digite sua  resposta para a questão. &lt;/i&gt;"	"R556_question11_itemDirections_56fc783ae151e7.17163175_1_0"	"PISA_por-BRA_REA_R556-Microlending_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Clique na seta PRÓXIMO para ler o &lt;i&gt;site&lt;/i&gt;."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2376"	"Fantasy&lt;br/&gt;5%"	"Fantasia &lt;br/&gt;5%"	"R547_question10_fantasyLbl_56fc782e14af33.32289400_0"	"PISA_por-BRA_REA_R547-BookSurvey_en18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50d36e4f728b74.51084420_0"	"PISA_por-BRA_REA_R219-Employment_en15_MS2022.xlf"
"5643"	"Read the information below."	"Leia a informação abaixo."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_0_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Clique na seta PRÓXIMO para ler o folheto."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_por-BRA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4944"	"Website"	"&lt;i&gt;Site&lt;/i&gt;"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_por-BRA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5582"	"&lt;b&gt;Space Debris&lt;/b&gt;&lt;br /&gt;"	"Detritos espaciais&lt;/b&gt;&lt;br /&gt;"	"R568_question06_q06itemTitle_56fc784aaa1da7.31117243_0_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3467"	"&lt;i&gt;Refer to “The Power of Twenty-five Dollars” on the right."	"&lt;/i&gt;Consulte “O poder dos trinta reais” à direita."	"R556_question6_itemDirections_56fc783ad7eec4.09705116_0_0"	"PISA_por-BRA_REA_R556-Microlending_en18_MS2022.xlf"
"4687"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão.&lt;/i&gt;"	"R564_question02_q02itemDirections_56fc783b5cfdd4.82081497_1_0"	"PISA_por-BRA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"83"	"R102 Shirts"	"R102 CAMISAS"	"R102_stimulus_unknownID_50d3678f414104.55611620_0"	"PISA_por-BRA_REA_R102-Shirts_en15_MS2022.xlf"
"4920"	"Web Search"	"Busca na Internet"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_por-BRA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4942"	"Website"	"&lt;i&gt;Site&lt;/i&gt;"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_por-BRA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3970"	"Refer to “The Great Pacific Garbage Patch” on the right."	"Consulte “A Grande Ilha de Lixo do Pacífico Norte” à direita."	"R560_question05_q05itemDirections_56fc784a7dd823.73528927_0_0"	"PISA_por-BRA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"De acordo com o panfleto, a afirmativa é verdadeira ou falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_por-BRA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"Em seguida, clique na seta PRÓXIMO para ver a primeira questão."	"R220_question_introBullet3_50d375122ea224.69244389_0"	"PISA_por-BRA_REA_R220-SouthPole_en15_MS2022.xlf"
"5407"	"Click on the choices in the table to answer the question."	"Clique nas opções da tabela para responder à questão. &lt;/i&gt;"	"R567_question11_q11itemDirections_56fc78791ff317.23437611_1_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"Clique em uma opção e justifique sua resposta."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_por-BRA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"313"	"PHONE"	"TELEFONE"	"R219_stimulus_sect3Line2span3_50d36e4f72f993.46963601_0"	"PISA_por-BRA_REA_R219-Employment_en15_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Clique em &lt;b&gt;Verdadeiro&lt;/b&gt; ou &lt;b&gt;Falso&lt;/b&gt; para cada afirmação."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulte as fontes à direita clicando em cada uma das abas."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3425"	"&lt;i&gt;Refer to “What is Microlending?” on the right."	"&lt;i&gt;Consulte &quot;O que é microcrédito?&quot; à direita."	"R556_question3_itemDirections_56fc783ac55ff8.32442383_0_0"	"PISA_por-BRA_REA_R556-Microlending_en18_MS2022.xlf"
"5312"	"True"	"Verdadeiro"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Use arrastar e soltar para responder à questão."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulte os dois textos à direita, clicando em cada uma das abas."	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_por-BRA_REA_R544-Tesla_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Clique no resultado de busca correto para responder à questão."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_por-BRA_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2591"	"Click on the choices in the table to answer the question."	"Clique nas opções da tabela para responder à questão.&lt;/i&gt;"	"R549_question08_q08itemDirections_56fc786ad56205.34088832_1_0"	"PISA_por-BRA_REA_R549-MessageInABottle_en18_MS2022.xlf"
