"Segment"	"en-ZZ"	"pt-BR"	"ID"	"File"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Clique em uma opção para responder à questão. &lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_por-BRA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1523"	"Medium"	"Médio"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_por-BRA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Para executar a simulação, você pode usar os seguintes controles:"	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_por-BRA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Consulte &quot;Gráfico 1&quot; à direita. Clique em uma opção para responder à questão.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec5275298855.68741866_0"	"PISA_por-BRA_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2471"	"S638 Oil Spills Introduction"	"S638 Vazamentos de Petróleo Introdução Questão 01"	"S638_question1_unknownID_51804fe17c3778.86826459_0"	"PISA_por-BRA_SCI_S638-OilSpills_en15_MS2022.xlf"
"645"	"Bacteria"	"Bactérias"	"S478_question1_question1_3_50ed1dfbad7012.60143661_0"	"PISA_por-BRA_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2387"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Salve os peixes&lt;/b&gt;&lt;br /&gt; Questão"	"question6_1_itemTitle06_51940bae4756a1.46889475_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1764"	"&lt;b&gt;Wildfires and the Fire Triangle&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Os Incêndios e o Triângulo de Fogo&lt;/b&gt;&lt;br /&gt; Questão"	"S625_question3_qitemTitle3_515e3a72605c40.86615012_0"	"PISA_por-BRA_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2209"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Para responder à questão, clique em uma ou mais caixas.&lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_por-BRA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2930"	"S648 Habitable Zone"	"CS648 Zona Habitável"	"S648_stimulus1_unknownID_517407af7d5b40.55377752_0"	"PISA_por-BRA_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Lâmpadas fluorescentes CFL"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_por-BRA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"936"	"lower"	"menores"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_por-BRA_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2339"	"select"	"Selecione"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1681"	"May"	"Mai"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_por-BRA_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2340"	"increase"	"aumentar"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Médio"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2432"	"2000"	"2 000"	"stimulus2_1_ylabel_2000p_51940bae4f60a8.91837676_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔  Lembre-se de selecionar &lt;b&gt;uma ou mais&lt;/b&gt; caixas."	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_por-BRA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"Suprimir uma linha de dados para executar uma nova simulação."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2370"	"select"	"Selecione"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"Para executar essa simulação você pode usar os seguintes comandos:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2741"	"&lt;i&gt;Refer to &quot;Carbon Dioxide in Earth's Atmosphere&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Consulte &quot;Dióxido de Carbono na Atmosfera da Terra&quot; à direita. Digite sua resposta para a questão. &lt;/i&gt;"	"S645_question5_itemDirections5_5180507a838228.62321589_0"	"PISA_por-BRA_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2808"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Execute a simulação para coletar dados com base nas informações abaixo. Clique em uma opção para responder à questão. &lt;/i&gt;"	"question4_1_itemDirections04_51940c103b3ee7.77719911_0"	"PISA_por-BRA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Leia a Introdução. Então clique na seta PRÓXIMO.&lt;/i&gt;"	"S638_question0_itemDirections0_51804fe179a0d0.36675138_0"	"PISA_por-BRA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Muito bem!&lt;br /&gt; Para continuar, clique na seta PRÓXIMO."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_por-BRA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
