"Segment"	"en-ZZ"	"he-IL"	"ID"	"File"
"935"	"higher"	"גבוהות יותר"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_heb-ISR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 צמיגי המכונית Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_heb-ISR_SCI_S627-CarTyres_en15_MS2022.xlf"
"465"	"&lt;b&gt;Bacteria In Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;חיידקים בחלב&lt;/b&gt;&lt;br /&gt; שאלה"	"S428_question3_itemTitle3_50ec525c341d23.95956289_0"	"PISA_heb-ISR_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2344"	"increase"	"תגדל"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"אפסית"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_heb-ISR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"822"	"B"	"ב"	"S527_question1_tr1th3_1_50ec1f8066a906.13062460_0"	"PISA_heb-ISR_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2229"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"יפה מאוד!&lt;br /&gt; כדי להמשיך לחצו על החץ &quot;הבא&quot;."	"stimulus_1_dialogMsgText2_5193fde5a8ae93.22557935_0"	"PISA_heb-ISR_SCI_S634-Vaccination_en15_MS2022.xlf"
"1523"	"Medium"	"בינוני"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_heb-ISR_SCI_S615-Tsunami_en15_MS2022.xlf"
"452"	"&lt;b&gt;Bacteria In Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;חיידקים בחלב&lt;/b&gt;&lt;br /&gt; שאלה"	"S428_question2_itemTitle2_50ec525c31bed8.93064254_0"	"PISA_heb-ISR_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"1768"	"&lt;b&gt;✓&lt;/b&gt;"	"&lt;br /&gt; &lt;b&gt;&amp;check;&lt;/b&gt;"	"S625_question3_checkmark_515e3a72606930.00791547_0"	"PISA_heb-ISR_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
