"Segment"	"en-ZZ"	"es-CO"	"ID"	"File"
"1971"	"Click on a choice and then type an explanation to answer the question."	"Haz clic en una opción y después escribe una explicación para responder la pregunta."	"Q3MA124_question_Q3itemDirections_5c9d214b429d74.89418777_1_0"	"PISA_esp-COL_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_esp-COL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4159"	"C"	"°C"	"MA148_stimulus2_stimulus2_1_5c9d216518d045.04859359_0"	"PISA_esp-COL_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2342"	"Click on a choice and then type an explanation to answer the question."	"Haz clic en una opción y después escribe una explicación para responder la pregunta."	"Q2MA122_question_Q2ItmDirP1Id_5c9d214b6c1d02.17010694_1_0"	"PISA_esp-COL_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"4161"	"C"	"°C"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_esp-COL_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Escribe tu respuesta a la pregunta usando el teclado numérico."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_esp-COL_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Haz clic en dos casillas para responder la pregunta."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_esp-COL_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_esp-COL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_esp-COL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_esp-COL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_esp-COL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_esp-COL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada una de las afirmaciones de la tabla de abajo."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_esp-COL_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_esp-COL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_esp-COL_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_esp-COL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_esp-COL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_esp-COL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"948"	"Height"	"Altura"	"js_translation_colHeader3_5c9d2136e7a755.97366509_0"	"PISA_esp-COL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5075"	"Statement"	"Pregunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_esp-COL_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_esp-COL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3981"	"Litres"	"Litros"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_esp-COL_MAT_MA146-Fuel_en21_MS2022.xlf"
"949"	"Weight"	"Peso"	"js_translation_colHeader4_5c9d2136e7afe3.08105677_0"	"PISA_esp-COL_MAT_MA112-Metabolism_en21_MS2022.xlf"
