"Segment"	"en-ZZ"	"es-PA"	"ID"	"File"
"4566"	"Type your answers to the questions."	"Escribe las respuestas a la pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-PAN_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4876"	"Website"	"Sitio web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-PAN_REA_R566-SkelligRocks_en18_MS2022.xlf"
"271"	"S"	"D"	"R219_stimulus_stimulus_10_56d724d3634523.44712579_0"	"PISA_esp-PAN_REA_R219-Employment_en18_MS2022.xlf"
"2308"	"Each nominated book must cost less than 25 zeds"	"Cada libro que se sugiera debe tener un costo inferior a 25 zeds."	"R547_question10_q10l1i4_56fc782e14a4a6.26695589_0"	"PISA_esp-PAN_REA_R547-BookSurvey_en18_MS2022.xlf"
"490"	"28"	"C/ Torres Quevedo, 53, 1.º D"	"R220_stimulus_feb28_56d724d3ae3943.66015331_0"	"PISA_esp-PAN_REA_R220-SouthPole_en18_MS2022.xlf"
"981"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"CONDICIONES GENERALES DE LA OFERTA 10 AÑOS B/.100.00&lt;br /&gt; 1. Quedan excluidos de la promoción los mayoristas y minoristas que venden esta gama de productos. 2. La oferta solo cubre las siguientes gamas de productos Ofiteca: artículos de papelería, impresión y promoción, material informático. Queda excluida de la oferta cualquier otra gama de productos Ofiteca, en particular la relacionada con el mobiliario."	"R466_stimulus_section4_56d724d6537e00.60349720_0"	"PISA_esp-PAN_REA_R466-WorkRight_en18_MS2022.xlf"
"2709"	"Tours"	"Recorridos"	"R550_tours_tours-content-header_56fc785cd3b7c1.39661715_0"	"PISA_esp-PAN_REA_R550-CliffPalace_en18_MS2022.xlf"
"2307"	"One book must be a non-fiction book"	"Un libro debe ser de no ficción."	"R547_question10_q10l1i2_56fc782e14a1f5.53976147_0"	"PISA_esp-PAN_REA_R547-BookSurvey_en18_MS2022.xlf"
"423"	"28"	"C/ Torres Quevedo, 53, 1.º D"	"R220_stimulus_feb28_56d724d3aa1287.93101026_0"	"PISA_esp-PAN_REA_R220-SouthPole_en18_MS2022.xlf"
"5263"	"Refer to “Requirements” on the right."	"Lee &quot;Requisitos para ser bombero paracaidista&quot; a la derecha."	"R567_question09_q09itemDirections_56fc7879177010.04490145_0_0"	"PISA_esp-PAN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
