"Segment"	"en-ZZ"	"fi-FI"	"ID"	"File"
"4699"	"Car"	"Henkilöautossa"	"q2MA157_question_question02_4_5c9d216572f050.52985827_0"	"PISA_fin-FIN_MAT_MA157-Tyres_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Käytä vastaamisessa &quot;vedä ja pudota&quot; ‑toimintoa."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_fin-FIN_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4810"	"33%"	"33 %"	"MA160_stimulus_r4td4_5c9d2137747202.69847889_0"	"PISA_fin-FIN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Vastaa napsauttamalla kahta vaihtoehtoa."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_fin-FIN_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Vastaa tehtävään valitsemalla pudotusvalikoista sopivat vaihtoehdot.&lt;/i&gt;"	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_fin-FIN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2106"	"3 times more"	"3-kertaisen määrän"	"MA125_question3_question03_5_5c9d21370cc013.39259021_0"	"PISA_fin-FIN_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"4591"	"A"	"K"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_fin-FIN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3981"	"Litres"	"Litraa"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_fin-FIN_MAT_MA146-Fuel_en21_MS2022.xlf"
"5075"	"Statement"	"Kysymys"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_fin-FIN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"948"	"Height"	"Pituus"	"js_translation_colHeader3_5c9d2136e7a755.97366509_0"	"PISA_fin-FIN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Napsauta alla olevassa taulukossa kunkin väittämän kohdalla joko &lt;b&gt;Oikein&lt;/b&gt; tai &lt;b&gt;Väärin&lt;/b&gt;."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_fin-FIN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4814"	"42%"	"42 %"	"MA160_stimulus_r5td4_5c9d2137747b79.69982538_0"	"PISA_fin-FIN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2459"	"mg"	"mg:aan"	"MA128q02_question_question02_13_5c9d21372a79d4.15572906_0"	"PISA_fin-FIN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4159"	"C"	"ºC"	"MA148_stimulus2_stimulus2_1_5c9d216518d045.04859359_0"	"PISA_fin-FIN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_fin-FIN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5348"	"Question"	"Kysymys"	"q2MA161_question_q2tr1th1_5c9d2137d31a65.20583341_0"	"PISA_fin-FIN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Etene laskuria käyttäessäsi seuraavien vaiheiden mukaan:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_fin-FIN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Vastaa tehtävään valitsemalla pudotusvalikoista sopivat vaihtoehdot.&lt;/i&gt;"	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_fin-FIN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Muista valita &lt;b&gt;yksi tai useampi&lt;/b&gt; vaihtoehto."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_fin-FIN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_fin-FIN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Muista valita &lt;b&gt;yksi tai useampi&lt;/b&gt; vaihtoehto."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_fin-FIN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2103"	"Based on the formula, how much more paint will Steve need if he chooses the blue paint instead of the green paint?"	"Kuinka moninkertaisen määrän maalia Seppo kaavan perusteella tarvitsee, jos hän valitsee vihreän maalin sijaan sinisen maalin?"	"MA125_question3_q3p4_5c9d21370cbb71.40276468_0"	"PISA_fin-FIN_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Vastaa tehtävään valitsemalla pudotusvalikoista sopivat vaihtoehdot.&lt;/i&gt;"	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_fin-FIN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5194"	"No"	"Eivät"	"q4MA161_question_question04_6_5c9d2137a77262.50117457_0"	"PISA_fin-FIN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2454"	"mg"	"mg:aan"	"MA128q02_question_question02_8_5c9d21372a70e0.38805601_0"	"PISA_fin-FIN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Muista valita &lt;b&gt;yksi tai useampi&lt;/b&gt; vaihtoehto."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_fin-FIN_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2105"	"6 times more"	"6-kertaisen määrän"	"MA125_question3_question03_4_5c9d21370cbe94.62847851_0"	"PISA_fin-FIN_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"4578"	"A"	"K"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_fin-FIN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2107"	"2 times more"	"2-kertaisen määrän"	"MA125_question3_question03_6_5c9d21370cc1a4.52175896_0"	"PISA_fin-FIN_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"949"	"Weight"	"Paino"	"js_translation_colHeader4_5c9d2136e7afe3.08105677_0"	"PISA_fin-FIN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4702"	"Truck"	"Avolava-autossa"	"q2MA157_question_question02_7_5c9d216572f717.86101949_0"	"PISA_fin-FIN_MAT_MA157-Tyres_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Etene laskuria käyttäessäsi seuraavien vaiheiden mukaan:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_fin-FIN_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2104"	"9 times more"	"9-kertaisen määrän"	"MA125_question3_question03_3_5c9d21370cbd01.63201466_0"	"PISA_fin-FIN_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"4701"	"Motorcycle"	"Moottoripyörässä"	"q2MA157_question_question02_6_5c9d216572f4d8.24396304_0"	"PISA_fin-FIN_MAT_MA157-Tyres_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Käytä vastaamisessa &quot;vedä ja pudota&quot; ‑toimintoa."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_fin-FIN_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4598"	"A"	"K"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_fin-FIN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4830"	"33%"	"33 %"	"MA160_stimulus_r9td4_5c9d21377499b0.00483393_0"	"PISA_fin-FIN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"419"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Napsauta alla olevassa taulukossa kunkin väittämän kohdalla joko &lt;b&gt;Oikein&lt;/b&gt; tai &lt;b&gt;Väärin&lt;/b&gt;."	"M105_question4_q4p1_5c9d213673d014.22578819_1_0"	"PISA_fin-FIN_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"4161"	"C"	"ºC"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_fin-FIN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
