"Segment"	"en-ZZ"	"ar-MA"	"ID"	"File"
"4656"	"Click on a choice to answer the question."	"انقر على أحد الاختيارات للإجابة عن السؤال."	"q2MA156_question_q2itemDirections_5c9d21656a4d34.03623252_1_0"	"PISA_ara-MAR_MAT_MA156-Points_en21_MS2022.xlf"
"3909"	"Question"	"سؤال"	"q3MA144_question_q3itemTitle_5c9d2164d14250.41311037_2_0"	"PISA_ara-MAR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3578"	"Click on a choice to answer the question."	"انقر على أحد الاختيارات للإجابة عن السؤال."	"CMA139_question_q1itemDirections_5c9d2164903766.73853823_1_0"	"PISA_ara-MAR_MAT_MA139-TabletCover_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"انقر فوق &lt;b&gt; صحيح &lt;/b&gt; أو &lt;b&gt; خطأ &lt;/b&gt; لكل عبارة من العبارات الموجودة في الجدول أسفله."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_ara-MAR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"اكتب إجاباتك على السؤال باستعمال مفتاح الأرقام."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_ara-MAR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"انقر على أحد الاختيارات للإجابة على السؤال."	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_ara-MAR_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4601"	"Question"	"سؤال"	"q1MA154_question_q1itemTitle_5c9d21655bca81.17512491_2_0"	"PISA_ara-MAR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3768"	"Question"	"سؤال"	"MA143_question02_q2itemTitle_5c9d2164be5092.77530001_2_0"	"PISA_ara-MAR_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1488"	"Question"	"سؤال"	"Q3MA119_question_Q3itemTitle_5c9d214ad92a13.09708878_2_0"	"PISA_ara-MAR_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"انقر على أحد الاختيارات للإجابة عن السؤال."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_ara-MAR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"استخدم السحب والوضع للإجابة على السؤال."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_ara-MAR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"3671"	"Question"	"سؤال"	"q3CMA141_question_q3itemTitle_5c9d2164a87730.46640588_2_0"	"PISA_ara-MAR_MAT_MA141-WaterBill_en21_MS2022.xlf"
"3383"	"Click on a choice to answer the question."	"انقر على أحد الاختيارات للإجابة عن السؤال."	"MA136_question03_q3itemDirections_5c9d2164634b07.90090842_1_0"	"PISA_ara-MAR_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"انقر فوق الاختيارات الموجودة في الجدول للإجابة على السؤال."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_ara-MAR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"2950"	"Question"	"سؤال"	"Q2MA132_question_Q2itemTitle_5c9d214bb5bda9.36492911_2_0"	"PISA_ara-MAR_MAT_MA132-WaterTemperature_en21_MS2022.xlf"
"4262"	"Question"	"سؤال"	"q3MA149_question_q3itemTitle_5c9d21652d6f87.85530492_2_0"	"PISA_ara-MAR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"ثم انقر فوق السهم الموالي."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_ara-MAR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1553"	"Question"	"سؤال"	"MA120_question3_itemTitleQ03_5c9d214ae4a9a2.85127401_2_0"	"PISA_ara-MAR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
