"Segment"	"en-ZZ"	"mk-MK"	"ID"	"File"
"1542"	"Click on one or more boxes to answer the question."	"Кликни на едно или повеќе квадратчиња за да одговориш на прашањето."	"MA120_question2_itemDirectionsQ02_5c9d214ae38626.91172438_1_0"	"PISA_mkd-MKD_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Кликнете на едно или повеќе квадратчиња за да одговорите на прашањето."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_mkd-MKD_MAT_MA149-FloorArea_en21_MS2022.xlf"
"5075"	"Statement"	"Прашање"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_mkd-MKD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Користејќи ги копчињата со броеви, напишете ги вашите одговори на прашањето."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_mkd-MKD_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Кликнете на едно од крукчињата, а потоа напишете објаснување за да одговорите на прашањето."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_mkd-MKD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4214"	"A"	"А"	"MA149_stimulus1_img1Lbl1_5c9d2165288f09.35660227_0"	"PISA_mkd-MKD_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3329"	"A"	"А"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_mkd-MKD_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Изберете опција од опаѓачкото мени за да одговорите на прашањето."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_mkd-MKD_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1337"	"Answer:"	"Одговор"	"MA116_question2_question2_1_5c9d214a9b1534.18285636_0"	"PISA_mkd-MKD_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"За да го користите калкулаторот, следете ги следниве чекори:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_mkd-MKD_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_mkd-MKD_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Дали следниве искази се точни или неточни?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_mkd-MKD_MAT_MA144-Yogurt_en21_MS2022.xlf"
