"Segment"	"en-ZZ"	"pl-PL"	"ID"	"File"
"2109"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"W tej symulacji każda osoba należąca do analizowanej populacji znajduje się zawsze w jednym z następujących trzech stanów"	"question000_1_q000P2_5193fde5990fa4.58817131_0"	"PISA_pol-POL_SCI_S634-Vaccination_en15_MS2022.xlf"
"935"	"higher"	"wyższe"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_pol-POL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"83"	"Proteins"	"Białko"	"S326_stimulus2_t2tr2td2_50ec49e08db835.15832878_0"	"PISA_pol-POL_SCI_S326-Milk_en15_MS2022.xlf"
"2633"	"Halogen light bulbs"	"Do lamp halogenowych"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2361"	"Explain your answer."	"Uzasadnij swoją odpowiedź."	"question4_1_q04sp2_51940bae428ee9.70288990_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Przeprowadź symulację, aby zebrać dane, opierając się na informacjach podanych poniżej. Zaznacz kliknięciem jedną lub więcej odpowiedzi.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2372"	"decrease"	"zmaleje"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2920"	"Explain your answer."	"Uzasadnij swoją odpowiedź."	"S648_question4_q4p2_517407af762523.27161688_0"	"PISA_pol-POL_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2341"	"decrease"	"zmaleje"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2632"	"LED light bulbs"	"Do lamp diodowych LED"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Przeprowadź symulację, aby zebrać dane, opierając się na informacjch podanych poniżej. Kliknij, aby wybrać odpowiedź, a następnie wpisz wyjaśnienie, uzasadniając swój wybór.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_pol-POL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Do odpowiedzi na to pytanie symulacja nie będzie potrzebna. Kliknij, aby wybrać odpowiedź, a następnie wpisz wyjaśnienie, uzasadniając swój wybór. &lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_pol-POL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1681"	"May"	"maj"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_pol-POL_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2110"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Podatna:&lt;/b&gt; osoby takie nie zostały zapobiegawczo zaszczepione przeciw tej chorobie i mogą na nią zachorować."	"question000_1_t1tr1td2_5193fde5991607.39636409_0"	"PISA_pol-POL_SCI_S634-Vaccination_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"S638 Wycieki ropy naftowej"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_pol-POL_SCI_S638-OilSpills_en15_MS2022.xlf"
"2248"	"1000"	"1 000"	"js_translation_data_1000_51940bae34c777.31998533_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"936"	"lower"	"niższe"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_pol-POL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2943"	"Earth"	"Ziemia"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_pol-POL_SCI_S648-HabitableZone_en15_MS2022.xlf"
"737"	"No"	"NIE"	"S498_question3_question3_2_50ec5ce05c66d1.99124510_0"	"PISA_pol-POL_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2541"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Wycieki ropy naftowej &lt;/b&gt;&lt;br /&gt; Pytanie"	"S638_question5_itemTitle5_51804fe18b9630.39685907_0"	"PISA_pol-POL_SCI_S638-OilSpills_en15_MS2022.xlf"
"273"	"Low"	"Mała"	"S413_question3_q3t4tr3td2_50ec421d0b92a7.11264747_0"	"PISA_pol-POL_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2108"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Ta symulacja pozwala zbadać wpływ szczepienia na roznoszenie się choroby zakaźnej w populacji osób narażonych na tą chorobę."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_pol-POL_SCI_S634-Vaccination_en15_MS2022.xlf"
"2490"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Wycieki ropy naftowej &lt;/b&gt;&lt;br /&gt; Pytanie"	"S638_question2_itemTitle2_51804fe1801178.77719073_0"	"PISA_pol-POL_SCI_S638-OilSpills_en15_MS2022.xlf"
"2376"	"decrease"	"zmaleje"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"Usuń wiersz z danymi, żeby wykonać nową symulację."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1818"	"Refer to &quot;Whales and Shipping Noise&quot; on the right. Click on a choice to answer the question."	"Zapoznaj się z tekstem &quot;Wieloryby i hałas ze statków&quot; po prawej stronie. Kliknij, aby wybrać odpowiedź."	"S626_question3_question3_1_515e3a726a9369.79882370_0"	"PISA_pol-POL_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"252"	"High"	"Duża"	"S413_question3_q3t2tr4td2_50ec421d0b2094.62893341_0"	"PISA_pol-POL_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1523"	"Medium"	"średnie"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_pol-POL_SCI_S615-Tsunami_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"Pamiętaj, aby zaznaczyć &lt;b&gt;jedną lub więcej&lt;/b&gt; odpowiedzi."	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1119"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓ &lt;i&gt; Pamiętaj, aby zaznaczyć &lt;b&gt;jedną lub więcej&lt;/b&gt; odpowiedzi &lt;/i&gt;"	"S604_question3_q3p2_51804e6bc49453.85399057_0"	"PISA_pol-POL_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Do żarówek żarnikowych"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"262"	"High"	"Duża"	"S413_question3_q3t3tr3td2_50ec421d0b5314.70632192_0"	"PISA_pol-POL_SCI_S413-PlasticAge_en15_MS2022.xlf"
"88"	"Proteins"	"Białko"	"S326_stimulus2_t3tr2td2_50ec49e08dcf09.91471103_0"	"PISA_pol-POL_SCI_S326-Milk_en15_MS2022.xlf"
"2659"	"Compact CFL"	"Świetlówka kompaktowa"	"sim_1_q02sim3_51940c102b1c94.13513006_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2945"	"Uranus"	"Uran"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_pol-POL_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2640"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Porównanie żródeł światła&lt;/b&gt;&lt;br /&gt; Pytanie"	"question6_1_itemTitle06_51940c102836a9.96822119_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"920"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Efekt miejskiej wyspy ciepła &lt;/b&gt;&lt;br /&gt; Pytanie"	"S602_question3_qitemTitle3_515e3a71ea4ab2.35582126_0"	"PISA_pol-POL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1619"	"Medium"	"średnie"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_pol-POL_SCI_S615-Tsunami_en15_MS2022.xlf"
"2345"	"decrease"	"zmaleje"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2463"	"Please click on the NEXT arrow to continue."	"Aby kontynuować, kliknij strzałkę DALEJ."	"stimulus2_1_automationMsg2_51940bae4fecf2.77405629_0"	"PISA_pol-POL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2621"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Porównanie żródeł światła&lt;/b&gt;&lt;br /&gt; Pytanie"	"question5_1_itemTitle05_51940c10264665.80289516_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"Do świetlówek kompaktowych"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"814"	"S514 Development and Disaster"	"S514 ZABUDOWA I KATASTROFA Q01"	"S514_stimulus3_unknownID_50ed29b9bcdd99.88997518_0"	"PISA_pol-POL_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2586"	"To see how all the controls in this simulation work, follow these steps:"	"Aby zobaczyć, jak działają poszczególne ustawienia w tej symulacji, wykonaj poniższe kroki:"	"question2_1_Q02P2_51940c1020b465.51317902_0"	"PISA_pol-POL_SCI_S643-LightBulbs_en15_MS2022.xlf"
