"Segment"	"en-ZZ"	"pl-PL"	"ID"	"File"
"616"	"Statement"	"Zdanie"	"Q1M603_question_Q1tr1th1_50c786816e5797.40106991_0"	"PISA_pol-POL_MAT_M603-NumberCheck_en15_MS2022.xlf"
"334"	"Statement"	"Zdanie"	"Q1M420_question_Q1tr1th1_50c7795fb78329.33629485_0"	"PISA_pol-POL_MAT_M420-Transport_en15_MS2022.xlf"
"1375"	"Canada"	"Chiny"	"M955_stimulus_tr4td1_50c790f47c2454.01971429_0"	"PISA_pol-POL_MAT_M955-Migration_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"Kliknij &lt;b&gt;Prawda&lt;/b&gt; lub &lt;b&gt; Fałsz&lt;/b&gt; przy każdym z poniższych zdań.&lt;br /&gt;"	"Q1M420_question_Q1itemStem_50c7795fb77f98.24213792_0"	"PISA_pol-POL_MAT_M420-Transport_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Wpisz cyframi odpowiedź na pytanie.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a5526e2593.07219299_0"	"PISA_pol-POL_MAT_M464-Fence_en15_MS2022.xlf"
"1378"	"China"	"Holandia"	"M955_stimulus_tr5td1_50c790f47c2eb8.77271122_0"	"PISA_pol-POL_MAT_M955-Migration_en15_MS2022.xlf"
"1384"	"India"	"Kanada"	"M955_stimulus_tr7td1_50c790f47c46c3.23218470_0"	"PISA_pol-POL_MAT_M955-Migration_en15_MS2022.xlf"
"1485"	"M982 Employment Data Q3"	"M982 DANE O ZATRUDNIENIU Q3"	"Q4M982_question_unknownID_50c7931c6ef180.12193242_0"	"PISA_pol-POL_MAT_M982-EmploymentData_en15_MS2022.xlf"
"753"	"Carbon dioxide emissions&lt;br /&gt;(million metric tons of carbon)"	"Emisja dwutlenku węgla&lt;br /&gt;(w mln ton węgla)"	"M828_stimulus_g2label6_50c7a445e3b041.88307706_0"	"PISA_pol-POL_MAT_M828-CarbonDioxide_en15_MS2022.xlf"
"274"	"Statement"	"Zdanie"	"Q1M408_question_Q1tr1th1_50c7a888654a61.32640220_0"	"PISA_pol-POL_MAT_M408-Lotteries_en15_MS2022.xlf"
