"Segment"	"en-ZZ"	"ar-IL"	"ID"	"File"
"1341"	"&lt;i&gt;A&lt;/i&gt; = adult dose (same units as child dose)"	"&lt;i&gt;A&lt;/i&gt; = جُرعة البالغ (بنفس وحدات جرعة الطفل)"	"M954_stimulus2_s2_tr5td1_50c78b3d78d6b1.95859339_0"	"PISA_ara-ISR_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"70"	"&lt;i&gt;Refer to &quot;Population Pyramids&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;استعينوا بالمعلومات الواردة في &quot;هرم التوزيع السكاني&quot; على يسار الشاشة. اكتبوا إجابتكم عن السؤال.&lt;/i&gt;"	"Q3M155_question_Q3itemDirections_50c7a1a4bcbf75.20204244_0"	"PISA_ara-ISR_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;استعملوا مفاتيح الأرقام واكتبوا إجابتكم عن السؤال.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a4c89b8c41.45281463_0"	"PISA_ara-ISR_MAT_M464-Fence_en15_MS2022.xlf"
"956"	"&lt;b&gt;Fan Merchandise&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;منتجات تجارية لمُعجَبي فرقة الـ Zs&lt;/b&gt;&lt;br /&gt; السؤال"	"Q2M919_question_Q2itemTitle_50c78c507c2585.21293461_0"	"PISA_ara-ISR_MAT_M919-FanMerchandise_en15_MS2022.xlf"
"1378"	"China"	"البرازيل"	"M955_stimulus_tr5td1_50c790671c5303.95725787_0"	"PISA_ara-ISR_MAT_M955-Migration_en15_MS2022.xlf"
"1338"	"&lt;i&gt;C&lt;/i&gt; = child dose in appropriate units"	"&lt;i&gt;C&lt;/i&gt; = جُرعة الطفل بالوحدات المناسبة"	"M954_stimulus2_s2_tr3td2_50c78b3d78cab5.07469457_0"	"PISA_ara-ISR_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1287"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; بيّنوا الطريقة التي توصّلتم بها إلى إجابتكم.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_50c77dcd4933d6.29669876_0"	"PISA_ara-ISR_MAT_M953-FluTest_en15_MS2022.xlf"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt;بينوا الطريقة التي توصّلتم بها إلى إجابتكم.&lt;br /&gt;"	"Q3M155_question_Q3itemStem_50c7a1a4bcc7a6.26192597_0"	"PISA_ara-ISR_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"اضغطوا على &lt;b&gt;صحيح&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل واحد من الأقوال التالية: &lt;br /&gt;"	"Q1M420_question_Q1itemStem_50c778e3a8d570.09252024_0"	"PISA_ara-ISR_MAT_M420-Transport_en15_MS2022.xlf"
"1384"	"India"	"تركيا"	"M955_stimulus_tr7td1_50c790671c68b9.77447299_0"	"PISA_ara-ISR_MAT_M955-Migration_en15_MS2022.xlf"
"1375"	"Canada"	"أوغندا"	"M955_stimulus_tr4td1_50c790671c44a7.59443682_0"	"PISA_ara-ISR_MAT_M955-Migration_en15_MS2022.xlf"
"1342"	"&lt;i&gt;A&lt;/i&gt; = adult dose (same units as child dose)"	"&lt;i&gt;A&lt;/i&gt; = جُرعة البالغ (بنفس وحدات جرعة الطفل)"	"M954_stimulus2_s2_tr5td2_50c78b3d78d9b9.99944376_0"	"PISA_ara-ISR_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1337"	"&lt;i&gt;C&lt;/i&gt; = child dose in appropriate units"	"&lt;i&gt;C&lt;/i&gt; = جُرعة الطفل بالوحدات المناسبة"	"M954_stimulus2_s2_tr3td1_50c78b3d78c7d3.23202890_0"	"PISA_ara-ISR_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;للإجابة عن السؤال. اضغطوا على أحد الخيارات.&lt;/i&gt;"	"Q1M474_question_Q1itemDirections_50c784e930c195.03511008_0"	"PISA_ara-ISR_MAT_M474-RunningTime_en15_MS2022.xlf"
