"Segment"	"en-ZZ"	"kk-KZ"	"ID"	"File"
"5312"	"Click on the NEXT arrow to read the webpage."	"Веб-парақты оқу үшін КЕЛЕСІ батырмасының үстінен тінтуірмен басыңыз."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_kaz-KAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5149"	"Click on one or more boxes to answer the question."	"Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз."	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_kaz-KAZ_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1368"	"I’m dreading Friday."	"Мен Жұма күнінен қорқақтап тұрмын."	"Q01R542_question_Convp3_56fc782106aec1.50636830_1_0"	"PISA_kaz-KAZ_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4519"	"Click on one or more boxes to answer the question."	"Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_kaz-KAZ_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2747"	"Yes"	"Ия"	"R550_question02_question02_3_56fc785cdffad5.27877570_0"	"PISA_kaz-KAZ_REA_R550-CliffPalace_en18_MS2022.xlf"
"4116"	"Use drag and drop to answer the question."	"Сұраққа жауап беру үшін төмендегі оқиғаларды тінтуірдің көмегімен жылжытыңыз."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_kaz-KAZ_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5863"	"Then click on the NEXT arrow."	"Одан кейін КЕЛЕСІ батырмасының үстінен тінтуірмен басыңыз."	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_1_0"	"PISA_kaz-KAZ_REA_R570-TheFavour_en18_MS2022.xlf"
"3441"	"&lt;b&gt;Microlending&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Микронесие&lt;/b&gt;&lt;br /&gt;"	"R556_question10_itemTitle_56fc783adf3607.27492742_0_0"	"PISA_kaz-KAZ_REA_R556-Microlending_en18_MS2022.xlf"
"2035"	"Is the statement true or false?"	"Брошюра бойынша пайымдаулар  дұрыс па әлде дұрыс емес пе?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_kaz-KAZ_REA_R545-MachuPicchu_en18_MS2022.xlf"
"646"	"Boys"	"Жас жігіт"	"R404_stimulus_tr4td2_56cee1d0c0f849.39932009_0"	"PISA_kaz-KAZ_REA_R404-Sleep_en18_MS2022.xlf"
