"Segment"	"en-ZZ"	"bg-BG"	"ID"	"File"
"4182"	"Use drag and drop to answer the question."	"Използвайте функцията „влачене и пускане“, за да отговорите на въпроса."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_bul-BGR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"922"	"2"	"B"	"R456_question_attr_value_attr_R456Q01RADIO_2_50d367fca210c3.63011918_0"	"PISA_bul-BGR_REA_R456-Biscuits_en15_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Попълнете &lt;/b&gt;формуляра по-долу.&lt;br /&gt; &lt;b&gt;3/ Прикрепете&lt;/b&gt; копие от касовата бележка, както и баркода (баркодовете) или етикета (етикетите) с цената на продуктите.&lt;br /&gt; &lt;b&gt;4/ Изпратете&lt;/b&gt;в рамките на 15 дни от покупката на следния адрес:&lt;br /&gt;"	"R466_stimulus_section2_50d37b52a14466.20908720_0"	"PISA_bul-BGR_REA_R466-WorkRight_en15_MS2022.xlf"
"822"	"0"	"A"	"R453_question_attr_value_attr_R453Q01RADIO_0_50d369a518e6b6.88385867_0"	"PISA_bul-BGR_REA_R453-SummerJob_en15_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5170"	"What is a Smokejumper?"	"Какво е пожарникар парашутист?"	"R567_stimulus4_stimulus4_4_56fc7879084fe1.85942300_0"	"PISA_bul-BGR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5786"	"Park"	"Парк"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_bul-BGR_REA_R569-TheCleanup_en18_MS2022.xlf"
"824"	"2"	"B"	"R453_question_attr_value_attr_R453Q01RADIO_2_50d369a518e906.91474878_0"	"PISA_bul-BGR_REA_R453-SummerJob_en15_MS2022.xlf"
"4394"	"About Us"	"За нас"	"R563-stimulus-communtity_stimulus_culture_community_5_56fc786b34e7e8.94779133_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Кликнете върху резултата от търсенето, който смятате за правилен отговор на въпроса."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_bul-BGR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5329"	"Refer to “Requirements” on the right."	"Използвайте „Условия за кандидатстване за пожарникари парашути“ вдясно."	"R567_question09_q09itemDirections_56fc7879177010.04490145_0_0"	"PISA_bul-BGR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Според брошурата вярно или невярно е твърдението?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_bul-BGR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4355"	"About Us"	"За нас"	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3549"	"Web Search"	"Търсене в мрежата"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_bul-BGR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"489"	"Document 1 describes the different stages of the contest between two teams, led by:"	"Документ 1 описва различните етапи на съревнованието между двата екипа, водени от :"	"R220_stimulus_abstract_50d374a3d67031.45425622_0"	"PISA_bul-BGR_REA_R220-SouthPole_en15_MS2022.xlf"
"5163"	"Web Search"	"Търсене в мрежата"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_bul-BGR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"500"	"his disappointment"	"разочарованият"	"R220_stimulus_stimulusH_5_50d374a3d69a41.02128673_0"	"PISA_bul-BGR_REA_R220-SouthPole_en15_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Използвайте функцията „влачене и пускане“, за да отговорите на въпроса."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_bul-BGR_REA_R569-TheCleanup_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Оферта „10 години &amp;ndash; 100 лева”&lt;br /&gt; „Почтена работа”&lt;br /&gt; Ул. Горска поляна 41&lt;br /&gt; 1404 София&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50d37b52a146f7.45910864_0"	"PISA_bul-BGR_REA_R466-WorkRight_en15_MS2022.xlf"
"884"	"0"	"A"	"R455_question_attr_value_attr_R455Q03RADIO_0_50d3706fb915b0.17384368_0"	"PISA_bul-BGR_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"4447"	"About Us"	"За нас"	"R563-stimulus-communtity_stimulus_culture_sports_5_56fc786b3809e6.65774760_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3863"	"Web Search"	"Търсене онлайн"	"R560_stimulus_pg01h1_56fc784a758e66.84463135_0"	"PISA_bul-BGR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5824"	"Benches"	"Пейките"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_bul-BGR_REA_R569-TheCleanup_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Консултациите"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_bul-BGR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Кликнете върху &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Не&lt;/b&gt; за всяко твърдение."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_bul-BGR_REA_R552-FestiRock_en18_MS2022.xlf"
"4457"	"Date"	"Дата"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4423"	"About Us"	"За нас"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5826"	"Football Field"	"Футболното игрище"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_bul-BGR_REA_R569-TheCleanup_en18_MS2022.xlf"
"4603"	"Refer to the different webpages of the website on the right."	"Използвайте уебстраниците на уебсайта вдясно."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_bul-BGR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
