"Segment"	"en-ZZ"	"sk-SK"	"ID"	"File"
"301"	"T"	"Štv"	"R219_stimulus_stimulus_7_50c7b7e2eed307.02746382_0"	"PISA_slo-SVK_REA_R219-Employment_en15_MS2022.xlf"
"3745"	"Home Health Journal"	"časopis Zdravá domácnosť"	"R558_question09_question09_2_56fc786b14f771.92248344_0"	"PISA_slo-SVK_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Napíš svoje odpovede na otázku."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_slo-SVK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"495"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"14. decembra 1911 Amundsen so svojimi spoločníkmi dosiahol legendárny 90°. 25. januára 1912 sa po 97 dňoch víťazný tím vrátil späť do Framheimu."	"R220_stimulus_p4_50c7c0af26d919.03074217_0"	"PISA_slo-SVK_REA_R220-SouthPole_en15_MS2022.xlf"
"321"	"PHONE"	"TELEFÓN"	"R219_stimulus_sect4Line2span3_50c7b7e2ef7989.41227960_0"	"PISA_slo-SVK_REA_R219-Employment_en15_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"Použi informácie z rozličných záložiek webovej stránky na pravej strane."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_slo-SVK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"Použi informácie z textu „Internetové vyhľadávanie“ na pravej strane."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_slo-SVK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5826"	"Football Field"	"futbalové ihrisko"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_slo-SVK_REA_R569-TheCleanup_en18_MS2022.xlf"
"4508"	"Refer to the different webpages of the website on the right."	"Použi informácie z rozličných záložiek webovej stránky na pravej strane."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_slo-SVK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"6028"	"Click on a choice to answer the question."	"Klikni na jednu z možností a odpovedz tak na otázku."	"R570_question06_q06itemDirections_56fc78797f34f1.87101971_1_0"	"PISA_slo-SVK_REA_R570-TheFavour_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Použi informácie z rozličných záložiek webovej stránky na pravej strane."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_slo-SVK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1053"	"Each line must be completed.&lt;br /&gt;"	"Vyplniť treba každý riadok&lt;br /&gt;"	"R466_stimulus_section3_50c7c9a8792bc2.29650381_0"	"PISA_slo-SVK_REA_R466-WorkRight_en15_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Klikni na jeden z výsledkov vyhľadávania a odpovedz tak na otázku."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_slo-SVK_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2802"	"Winter"	"zima"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_slo-SVK_REA_R550-CliffPalace_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Chyť, potiahni a umiestni možnosti a odpovedz tak na otázku."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_slo-SVK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1043"	"100"	"100 eur"	"R466_stimulus_stimulus2_2_50c7c9a87907e9.90943965_0"	"PISA_slo-SVK_REA_R466-WorkRight_en15_MS2022.xlf"
"5664"	"Who's in the Chat"	"Kto je na chate?"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_slo-SVK_REA_R569-TheCleanup_en18_MS2022.xlf"
"4167"	"True"	"Pravdivý"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_slo-SVK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2643"	"Home"	"Úvod"	"R550_stimulus01_stimulus1_1_56fc785cc5fc61.08831919_0"	"PISA_slo-SVK_REA_R550-CliffPalace_en18_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"Použi informácie z rozličných záložiek webovej stránky na pravej strane."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_slo-SVK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Použi informácie z rozličných záložiek webovej stránky na pravej strane."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_slo-SVK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5825"	"Playground"	"detské ihrisko"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_slo-SVK_REA_R569-TheCleanup_en18_MS2022.xlf"
"2770"	"Home"	"Úvod"	"R550_tours_tours_l1_56fc785cd39f45.21730838_0"	"PISA_slo-SVK_REA_R550-CliffPalace_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Použi informácie z rozličných záložiek webovej stránky na pravej strane."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_slo-SVK_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Použi informácie z oboch zdrojov na pravej strane kliknutím na každú zo záložiek."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_slo-SVK_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4162"	"Click on the choices in the table to answer the question."	"Klikni na niektoré z možností v&amp;nbsp;tabuľke a odpovedz tak na otázku."	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_slo-SVK_REA_R561-OlympicFlag_en18_MS2022.xlf"
"320"	"LOCATION"	"MIESTO"	"R219_stimulus_sect4Line2span2_50c7b7e2ef7493.48289279_0"	"PISA_slo-SVK_REA_R219-Employment_en15_MS2022.xlf"
