"Segment"	"en-ZZ"	"es-CL"	"ID"	"File"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada una de las afirmaciones de la tabla siguiente."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_esp-CHL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Explica tu respuesta e incluye valores numéricos que la respalden."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_esp-CHL_MAT_MA146-Fuel_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"949"	"Weight"	"Peso"	"js_translation_colHeader4_5c9d2136e7afe3.08105677_0"	"PISA_esp-CHL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"5278"	"Mean"	"Media"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_esp-CHL_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Usando las teclas de números, digita tus respuestas a la pregunta."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_esp-CHL_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_esp-CHL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3981"	"Litres"	"Litros"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_esp-CHL_MAT_MA146-Fuel_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_esp-CHL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
