"Segment"	"en-ZZ"	"ro-MD"	"ID"	"File"
"591"	"calls&lt;/b&gt;"	"naţionale &lt;/b&gt;"	"M559_stimulus_tr1td4_5c3f62870f5639.95580914_2_0"	"PISA_ron-MDA_MAT_M559-TelephoneRates_en21_MS2022.xlf"
"827"	"COUNTRIES"	"ÎN CURS DE DEZVOLTARE"	"M828_stimulus_g2label1_5c3f628927aed4.22769091_2_0"	"PISA_ron-MDA_MAT_M828-CarbonDioxide_en21_MS2022.xlf"
"565"	"&lt;b&gt;Cash Withdrawal&lt;/b&gt;"	"&lt;b&gt;Retragerea de bani &lt;/b&gt;"	"Q2M496_question_Q2itemTitle_5c3f6286af5ac8.82723205_0_0"	"PISA_ron-MDA_MAT_M496-CashWithdrawal_en21_MS2022.xlf"
"1494"	"Type your answer to the question.&lt;/i&gt;"	"Redactați un răspuns la întrebare.&lt;/i&gt;"	"Q1M953_question_Q1itemDirections_5c9d1f9b4a7058.98182691_1_0"	"PISA_ron-MDA_MAT_M953-FluTest_en21_MS2022.xlf"
"594"	"calls&lt;/b&gt;"	"internaționale&lt;/b&gt;"	"M559_stimulus_tr1td5_5c3f62870f5756.70787771_2_0"	"PISA_ron-MDA_MAT_M559-TelephoneRates_en21_MS2022.xlf"
"1166"	"&lt;b&gt;SEATS IN A THEATRE&lt;/b&gt;"	"&lt;b&gt;Locuri La Teatru&lt;/b&gt;"	"M936_stimulus2_title2_5c3f628c4766a6.10776679_0"	"PISA_ron-MDA_MAT_M936-SeatsInATheatre_en21_MS2022.xlf"
"1596"	"Type your answer to the question.&lt;/i&gt;"	"Redactați un răspuns la întrebare.&lt;/i&gt;"	"Q2M954_question_Q2itemDirections_5c9d1f9b553745.89754449_1_0"	"PISA_ron-MDA_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1260"	"Click on a choice to answer the question.&lt;/i&gt;"	"Dați clic pe una dintre variante pentru a răspunde la întrebare.&lt;/i&gt;"	"Q1M943_question_Q1itemDirections_5c9d1f9b437c37.29675377_1_0"	"PISA_ron-MDA_MAT_M943-Arches_en21_MS2022.xlf"
"1537"	"Show how you found your answer."	"Arătați cum ați găsit răspunsul."	"Q3M953_question_Q3itemStem_5c9d1f9b4c2462.45792062_3_0"	"PISA_ron-MDA_MAT_M953-FluTest_en21_MS2022.xlf"
"1464"	"Note:"	"Observaţie:"	"Q3M949_question_Q3label8_5c3f628e465266.35253341_0_0"	"PISA_ron-MDA_MAT_M949-RoofTrussDesign_en21_MS2022.xlf"
"195"	"select"	"selectează"	"Q1M192_question_s2_o0_5c3f62814f6892.27779110_0"	"PISA_ron-MDA_MAT_M192-Containers_en21_MS2022.xlf"
"1522"	"Type your answer to the question.&lt;/i&gt;"	"Redactați un răspuns la întrebare.&lt;/i&gt;"	"Q3M953_question_Q3itemDirections_5c9d1f9b4c2169.42948659_1_0"	"PISA_ron-MDA_MAT_M953-FluTest_en21_MS2022.xlf"
"135"	"&lt;b&gt;Population Pyramids&lt;/b&gt;"	"&lt;b&gt;Piramidele vârstei &lt;/b&gt;"	"Q4M155_question_Q4itemTitle_5c3f6280bad706.16673204_0_0"	"PISA_ron-MDA_MAT_M155-PopulationPyramids_en21_MS2022.xlf"
