"Segment"	"en-ZZ"	"hu-HU"	"ID"	"File"
"3296"	"4"	"4."	"CMA135_question3_xAxisLbl4_5c9d216451dac8.60370187_0"	"PISA_hun-HUN_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_hun-HUN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_hun-HUN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2454"	"mg"	"mg-ig"	"MA128q02_question_question02_8_5c9d21372a70e0.38805601_0"	"PISA_hun-HUN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével írd be a válaszod!"	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_hun-HUN_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"5241"	"To clear a column, click on &lt;img src=&quot;image/clear.png&quot; id=&quot;clearBtnDemo&quot;/&gt;"	"Egy oszlop törléséhez kattints a &lt;img src=&quot;image/clear.png&quot; id=&quot;clearBtnDemo&quot;/&gt;gombra!"	"menu_1_menu_OL1Li5_5c9d2137ac3a25.39501223_0"	"PISA_hun-HUN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_hun-HUN_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_hun-HUN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4591"	"A"	"T"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_hun-HUN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"A számbillentyűk segítségével írd be a válaszodat!"	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_hun-HUN_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"A számbillentyűk segítségével írd be a válaszodat!"	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_hun-HUN_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_hun-HUN_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"A számbillentyűk segítségével gépeld be a válaszod!"	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_hun-HUN_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
