"Segment"	"en-ZZ"	"ms-MY"	"ID"	"File"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bagus!&lt;br /&gt;Sila klik pada anak panah SETERUSNYA untuk meneruskan ujian."	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_msa-MYS_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klik pada satu pilihan jawapan untuk menjawab soalan.&lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_msa-MYS_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2122"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"Jalankan simulasi untuk mengumpul data berdasarkan maklumat di bawah. Klik pada satu atau lebih petak untuk menjawab soalan."	"question1_1_itemDirections01_5193fde59b12f6.84296644_0"	"PISA_msa-MYS_SCI_S634-Vaccination_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"Untuk menjalankan simulasi ini, anda boleh menggunakan kawalan-kawalan berikut:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_msa-MYS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Anda tidak perlu menggunakan simulasi untuk soalan ini. Klik pada satu pilihan jawapan dan kemudian taipkan penjelasan untuk menjawab soalan.&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_msa-MYS_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Bagus!&lt;br /&gt;Sila klik pada anak panah SETERUSNYA untuk meneruskan ujian."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_msa-MYS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2370"	"select"	"Pilih"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_msa-MYS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"Penggunaan sains untuk meramal bencana alam"	"S514_question3_tr2td1_50ed2a28724c05.50489555_0"	"PISA_msa-MYS_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1320"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Burung dan Beluncas&lt;/b&gt;&lt;br /&gt; Soalan"	"S607_question4_itemTitle4_517407134b1c07.62650644_0"	"PISA_msa-MYS_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2196"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Vaksinasi dan Penyebaran Penyakit&lt;/b&gt;&lt;br /&gt; Soalan"	"question4_1_itemTitle04_5193fde5a250d0.49857825_0"	"PISA_msa-MYS_SCI_S634-Vaccination_en15_MS2022.xlf"
"275"	"Medium"	"Sederhana"	"S413_question3_q3t4tr4td2_50ec42977c88a3.73270133_0"	"PISA_msa-MYS_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Baca pengenalan. Kemudian klik pada anak panah SETERUSNYA.&lt;/i&gt;"	"CS634_intro_itemDirections0_5193fde5976ee6.44142835_0"	"PISA_msa-MYS_SCI_S634-Vaccination_en15_MS2022.xlf"
"2245"	"Medium"	"Seder-&lt;br /&gt;hana"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_msa-MYS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"Sederhana"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_msa-MYS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klik pada satu pilihan jawapan untuk menjawab soalan.&lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_msa-MYS_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1346"	"Caterpillars are in cocoons"	"Beluncas berada di dalam kepompong."	"S607_stimulus1_sl03_517407135cd6c4.85154719_0"	"PISA_msa-MYS_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2211"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"&lt;i&gt; Ingat untuk memilih &lt;b&gt;satu atau lebih&lt;/b&gt; petak.&lt;/i&gt;"	"CS634_Q05_p52_5193fde5a49981.31413934_0"	"PISA_msa-MYS_SCI_S634-Vaccination_en15_MS2022.xlf"
"1354"	"Caterpillars hatch and eat leaves"	"Beluncas menetas dan memakan daun"	"S607_stimulus1_sl11_517407135d0c78.97389268_0"	"PISA_msa-MYS_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"Dalam simulasi ini anda akan dapat meninjau bagaimana tahap tangkapan ikan kod dan ikan hering mempengaruhi biojisim setiap jenis organisma dalam teluk selepas tempoh lima tahun."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_msa-MYS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1355"	"Newly hatched birds are in nests"	"Anak burung yang baru menetas berada di dalam sarang"	"S607_stimulus1_sl12_517407135d10a1.35506100_0"	"PISA_msa-MYS_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Bolehkah soalan ini dijawab melalui eksperimen saintifik?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_msa-MYS_SCI_S638-OilSpills_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Kesan Pulau Haba Bandar&lt;/b&gt;&lt;br /&gt;Soalan"	"S602_question4_qitemTitle4_515e3a71ecc5d8.94269684_0"	"PISA_msa-MYS_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"961"	"S602 Urban Heat Island Effect"	"S602 Kesan Panas Bandar Pulau"	"S602_stimulus2_unknownID_515e3a71f23b87.73675307_0"	"PISA_msa-MYS_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2776"	"To delete any row of data, click on the delete button next to that row."	"Untuk memadamkan sebarang baris data, klik pada butang padam bersebelahan baris tersebut."	"menu_1_menuP4_51940c10331dd6.82051249_0"	"PISA_msa-MYS_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2374"	"select"	"Pilih"	"question5_1_o5b_0_51940bae44bb33.45794359_0"	"PISA_msa-MYS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
