"Segment"	"en-ZZ"	"zh-TW"	"ID"	"File"
"637"	"Dairytown"	"達利鎮"	"S466_stimulus2_label5_50ed2461011a55.88372926_0"	"PISA_zho-TAP_SCI_S466-ForestFires_en15_MS2022.xlf"
"1053"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大象與金合歡樹&lt;/b&gt;&lt;br /&gt;問題"	"S603_question5_itemTitle5_515e3a720cc5f5.49479568_0"	"PISA_zho-TAP_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"下列每個問題是否可以透過科學實驗來獲得解答？"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_zho-TAP_SCI_S638-OilSpills_en15_MS2022.xlf"
"1619"	"Medium"	"中度"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_zho-TAP_SCI_S615-Tsunami_en15_MS2022.xlf"
"1879"	"S626 Sound in Marine Habitats"	"S626海洋棲息地的聲音"	"S626_stimulus3_unknownID_515e3a7276cfb5.29733817_0"	"PISA_zho-TAP_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1040"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大象與金合歡樹&lt;/b&gt;&lt;br /&gt;問題"	"S603_question4_itemTitle4_515e3a720a7527.26314932_0"	"PISA_zho-TAP_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 汽車輪胎 Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_zho-TAP_SCI_S627-CarTyres_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;請根據以下資訊進行模擬實驗並收集數據。請點選一個答案，再輸入你的解釋作答。&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_zho-TAP_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 龍捲風 Q04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_zho-TAP_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1194"	"&lt;b&gt;Geothermal Energy&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;地熱能&lt;/b&gt;&lt;br /&gt; 問題"	"S605_question4_itemTitle4_515e3a721bce25.65106159_0"	"PISA_zho-TAP_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"很好！ &lt;br /&gt;請按下一頁的箭頭繼續。"	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_zho-TAP_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1523"	"Medium"	"中度"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_zho-TAP_SCI_S615-Tsunami_en15_MS2022.xlf"
"2457"	"Medium"	"中"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_zho-TAP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1027"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;大象與金合歡樹&lt;/b&gt;&lt;br /&gt;問題"	"S603_question3_itemTitle3_515e3a72087006.23988915_0"	"PISA_zho-TAP_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2245"	"Medium"	"中"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_zho-TAP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2452"	"Medium"	"中"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_zho-TAP_SCI_S635-SaveTheFish_en15_MS2022.xlf"
