"Segment"	"en-ZZ"	"bg-BG"	"ID"	"File"
"597"	"2"	"В"	"Q1M571_question_attr_value_attr_M571Q01RADIO_2_50d34b6e835322.64070137_0"	"PISA_bul-BGR_MAT_M571-StopTheCar_en15_MS2022.xlf"
"595"	"0"	"А"	"Q1M571_question_attr_value_attr_M571Q01RADIO_0_50d34b6e8350e0.90100659_0"	"PISA_bul-BGR_MAT_M571-StopTheCar_en15_MS2022.xlf"
"535"	"3"	"Г"	"Q1M559_question_attr_value_attr_M559Q01RADIO_3_50d34eace448e6.46657875_0"	"PISA_bul-BGR_MAT_M559-TelephoneRates_en15_MS2022.xlf"
"320"	"2"	"В"	"Q2M411_question_attr_value_attr_M411Q02RADIO_2_50d3469370b7f9.69229602_0"	"PISA_bul-BGR_MAT_M411-Diving_en15_MS2022.xlf"
"1498"	"India"	"Кения"	"M955_stimulus_tr7td1_50d35048331e21.57204900_0"	"PISA_bul-BGR_MAT_M955-Migration_en15_MS2022.xlf"
"579"	"0"	"А"	"Q2M564_question_attr_value_attr_M564Q02RADIO_0_50d34355e90cd3.10827019_0"	"PISA_bul-BGR_MAT_M564-ChairLift_en15_MS2022.xlf"
"567"	"2"	"В"	"Q1M564_question_attr_value_attr_M564Q01RADIO_2_50d34355e7e094.55988537_0"	"PISA_bul-BGR_MAT_M564-ChairLift_en15_MS2022.xlf"
"598"	"3"	"Г"	"Q1M571_question_attr_value_attr_M571Q01RADIO_3_50d34b6e835418.28233488_0"	"PISA_bul-BGR_MAT_M571-StopTheCar_en15_MS2022.xlf"
"532"	"0"	"А"	"Q1M559_question_attr_value_attr_M559Q01RADIO_0_50d34eace444f3.48070919_0"	"PISA_bul-BGR_MAT_M559-TelephoneRates_en15_MS2022.xlf"
"859"	"4"	"Д"	"Q1M906_question_attr_value_attr_M906Q01RADIO_4_50d3649c886239.88489164_0"	"PISA_bul-BGR_MAT_M906-CrazyAnts_en15_MS2022.xlf"
"1611"	"Dec 2009"	"Декември  2009 г."	"M982_stimulus_tr3td6_50d351e4dbed17.27328999_0"	"PISA_bul-BGR_MAT_M982-EmploymentData_en15_MS2022.xlf"
"450"	"2"	"В"	"Q1M447_question_attr_value_attr_M447Q01RADIO_2_50d35e07127249.33241917_0"	"PISA_bul-BGR_MAT_M447-TileArrangement_en15_MS2022.xlf"
"1069"	"0"	"А"	"Q2M939_question_attr_value_attr_M939Q02RADIO_0_50d360829e9618.72595629_0"	"PISA_bul-BGR_MAT_M939-Racing_en15_MS2022.xlf"
"1056"	"0"	"A"	"Q1M939_question_attr_value_attr_M939Q01RADIO_0_50d360829d2fa8.56578795_0"	"PISA_bul-BGR_MAT_M939-Racing_en15_MS2022.xlf"
"265"	"3"	"Г"	"Q1M305_question_attr_value_attr_M305Q01RADIO_3_50d35ac94ac132.89626865_0"	"PISA_bul-BGR_MAT_M305-Map_en15_MS2022.xlf"
"449"	"1"	"Б"	"Q1M447_question_attr_value_attr_M447Q01RADIO_1_50d35e07126f62.42974857_0"	"PISA_bul-BGR_MAT_M447-TileArrangement_en15_MS2022.xlf"
"1072"	"3"	"Г"	"Q2M939_question_attr_value_attr_M939Q02RADIO_3_50d360829e9959.45811062_0"	"PISA_bul-BGR_MAT_M939-Racing_en15_MS2022.xlf"
"263"	"1"	"Б"	"Q1M305_question_attr_value_attr_M305Q01RADIO_1_50d35ac94abf27.98871747_0"	"PISA_bul-BGR_MAT_M305-Map_en15_MS2022.xlf"
"451"	"3"	"Г"	"Q1M447_question_attr_value_attr_M447Q01RADIO_3_50d35e07127408.74685884_0"	"PISA_bul-BGR_MAT_M447-TileArrangement_en15_MS2022.xlf"
"669"	"2"	"В"	"Q1M800_question_attr_value_attr_M800Q01RADIO_2_50d3552b0135d1.64535457_0"	"PISA_bul-BGR_MAT_M800-ComputerGame_en15_MS2022.xlf"
"580"	"1"	"Б"	"Q2M564_question_attr_value_attr_M564Q02RADIO_1_50d34355e90de7.90076425_0"	"PISA_bul-BGR_MAT_M564-ChairLift_en15_MS2022.xlf"
"1061"	"&lt;b&gt;Racing&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;НАДБЯГВАНЕ&lt;/b&gt;&lt;br /&gt; Въпрос"	"Q2M939_question_Q2itemTitle_50d360829e74f6.66628512_0"	"PISA_bul-BGR_MAT_M939-Racing_en15_MS2022.xlf"
"753"	"Carbon dioxide emissions&lt;br /&gt;(million metric tons of carbon)"	"Отделено количество въглероден диоксид&lt;br /&gt;(млн. тона въглерод)"	"M828_stimulus_g2label6_50d35ed7919820.86046428_0"	"PISA_bul-BGR_MAT_M828-CarbonDioxide_en15_MS2022.xlf"
"958"	"3"	"Г"	"Q1M915_question_attr_value_attr_M915Q01RADIO_3_50d34dde8ff175.97394755_0"	"PISA_bul-BGR_MAT_M915-CarbonTax_en15_MS2022.xlf"
"370"	"0"	"А"	"Q1M423_question_attr_value_attr_M423Q01RADIO_0_50d3615410ef25.14721468_0"	"PISA_bul-BGR_MAT_M423-TossingCoins_en15_MS2022.xlf"
