"Segment"	"en-ZZ"	"zh-MO"	"ID"	"File"
"4167"	"True"	"正確"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_zho-MAC_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"根據手冊，此陳述是正確還是不正確？"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_zho-MAC_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1312"	"True"	"正確"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_zho-MAC_REA_R541-Plastic_en18_MS2022.xlf"
"2102"	"True"	"正確"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_zho-MAC_REA_R545-MachuPicchu_en18_MS2022.xlf"
"301"	"T"	"四"	"R219_stimulus_stimulus_7_50d36dcfeed275.69174271_0"	"PISA_zho-MAC_REA_R219-Employment_en15_MS2022.xlf"
"1313"	"False"	"不正確"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_zho-MAC_REA_R541-Plastic_en18_MS2022.xlf"
"5312"	"True"	"正確"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_zho-MAC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1561"	"Wednesday"	"星期三"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_zho-MAC_REA_R542-BulletinBoard_en18_MS2022.xlf"
"320"	"LOCATION"	"地點："	"R219_stimulus_sect4Line2span2_50d36dcfef7b78.33351757_0"	"PISA_zho-MAC_REA_R219-Employment_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"點擊一個選項並寫出原因以回答問題。"	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_zho-MAC_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1563"	"Friday"	"星期五"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_zho-MAC_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1559"	"Monday"	"星期一"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_zho-MAC_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1560"	"Tuesday"	"星期二"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_zho-MAC_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2103"	"False"	"不正確"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_zho-MAC_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 凡購買600元至1,499.90元，辦公易將回贈&lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;元。&lt;br /&gt; &gt; 凡購買1,500元至2,999.90元，辦公易將回贈500元。&lt;br /&gt; &gt; 凡購買3,000元或以上，辦公易將回贈1,000元。&lt;br /&gt;"	"R466_stimulus_line5_50d37b40b8cab0.26682096_0"	"PISA_zho-MAC_REA_R466-WorkRight_en15_MS2022.xlf"
"5313"	"False"	"不正確"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_zho-MAC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5542"	"True"	"正確"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_zho-MAC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4944"	"Website"	"網站"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_zho-MAC_REA_R566-SkelligRocks_en18_MS2022.xlf"
"304"	"S"	"日"	"R219_stimulus_stimulus_10_50d36dcfeedf99.27542033_0"	"PISA_zho-MAC_REA_R219-Employment_en15_MS2022.xlf"
"4942"	"Website"	"網站"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_zho-MAC_REA_R566-SkelligRocks_en18_MS2022.xlf"
"3337"	"."	"。"	"Page2_stimulus_pg2p5_56fc783ab47fb7.46624248_0"	"PISA_zho-MAC_REA_R556-Microlending_en18_MS2022.xlf"
"1562"	"Thursday"	"星期四"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_zho-MAC_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5269"	"True"	"正確"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_zho-MAC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"506"	"courageously"	"勇敢地"	"R220_stimulus_stimulusH_9_50d37490dba901.93855740_0"	"PISA_zho-MAC_REA_R220-SouthPole_en15_MS2022.xlf"
"500"	"his disappointment"	"他的失落心情"	"R220_stimulus_stimulusH_5_50d37490db9708.64689193_0"	"PISA_zho-MAC_REA_R220-SouthPole_en15_MS2022.xlf"
"5543"	"False"	"不正確"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_zho-MAC_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2196"	"."	"。"	"Page2_stimulus_pg2p2_56fc782df0cfd1.67635785_0_0"	"PISA_zho-MAC_REA_R547-BookSurvey_en18_MS2022.xlf"
"5270"	"False"	"不正確"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_zho-MAC_REA_R567-SmokeJumpers_en18_MS2022.xlf"
