"Segment"	"en-ZZ"	"da-DK"	"ID"	"File"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Rask/vaccineret:&lt;/b&gt; Personer i denne tilstand har enten haft sygdommen og er blevet raske igen eller er blevet vaccineret mod sygdommen. I simuleringen kan disse personer ikke få sygdommen."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_dan-DNK_SCI_S634-Vaccination_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"I denne simulering kan du se, hvordan forskellige typer lyspærer med forskellige effektniveauer fungerer. Pæretesteren viser pærens lysstrøm (målt i lumen) og pærens lysudbytte (målt i lumen pr. watt)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_dan-DNK_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Brug informationerne i &quot;Ammonitter&quot; til højre. Træk kasserne ned for at besvare spørgsmålet.&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_dan-DNK_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1995"	"Car Tyres"	"bildæk"	"S627_stimulus2_attr_alt_attr_stimulus2_2_51740713ba1041.65748620_0"	"PISA_dan-DNK_SCI_S627-CarTyres_en15_MS2022.xlf"
"2245"	"Medium"	"Middel"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Kan dette spørgsmål besvares ved hjælp af videnskabelige eksperimenter?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_dan-DNK_SCI_S638-OilSpills_en15_MS2022.xlf"
"82"	"Fats"	"Fedt"	"S326_stimulus2_t2tr2td1_50ec49a75c7ef0.65576086_0"	"PISA_dan-DNK_SCI_S326-Milk_en15_MS2022.xlf"
"2452"	"Medium"	"Middel"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2492"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Træk boksene ned for at besvare spørgsmålet.&lt;/i&gt;"	"S638_question2_itemDirections2_51804fe1801be5.09391575_0"	"PISA_dan-DNK_SCI_S638-OilSpills_en15_MS2022.xlf"
"2433"	"1000"	"1.000"	"stimulus2_1_ylabel_1000p_51940bae4f6304.12006161_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klik på én af svarmulighederne. &lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_dan-DNK_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2455"	"None"	"Intet"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2438"	"1000"	"1.000"	"stimulus2_1_ylabel_1000z_51940bae4f7677.00286165_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2244"	"Low"	"Lavt"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2457"	"Medium"	"Middel"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"737"	"No"	"NEJ"	"S498_question3_question3_2_50ec5ca6725170.53333257_0"	"PISA_dan-DNK_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2458"	"High"	"Højt"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"272"	"Density"	"Vægtfylde"	"S413_question3_q3t4tr3td1_50ec41e05311d9.89560125_0"	"PISA_dan-DNK_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1324"	"&lt;b&gt;✓&lt;/b&gt;"	"&lt;b&gt;&lt;/b&gt;"	"S607_question4_checkmark_517407134b37a5.22157003_0"	"PISA_dan-DNK_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2198"	"&lt;i&gt;Run the simulation to collect data based on the information below.  Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Kør simuleringen for at indsamle data baseret på nedenstående oplysninger. Klik på én af svarmulighederne, og skriv derefter en forklaring for at besvare spørgsmålet.&lt;/i&gt;"	"question4_1_itemDirections04_5193fde5a25bd9.17476160_0"	"PISA_dan-DNK_SCI_S634-Vaccination_en15_MS2022.xlf"
"2376"	"decrease"	"reduceres"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Middel"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_dan-DNK_SCI_S615-Tsunami_en15_MS2022.xlf"
"736"	"Yes"	"JA"	"S498_question3_question3_1_50ec5ca6724d93.28223878_0"	"PISA_dan-DNK_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2432"	"2000"	"2.000"	"stimulus2_1_ylabel_2000p_51940bae4f60a8.91837676_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1994"	"Car Tyres"	"bildæk"	"S627_stimulus2_attr_alt_attr_stimulus2_1_51740713ba0da5.19725150_0"	"PISA_dan-DNK_SCI_S627-CarTyres_en15_MS2022.xlf"
"1897"	"Sound ON at Outer Edge"	"Lyd TÆNDT ved Yderste grænse"	"S626_stimulus3_graphTitle24_515e3a72772c18.39406046_0"	"PISA_dan-DNK_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2345"	"decrease"	"reduceres"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klik på én af svarmulighederne. &lt;/i&gt;"	"S603_question3_itemDirections3_515e3a72087b46.40019747_0"	"PISA_dan-DNK_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2248"	"1000"	"1.000"	"js_translation_data_1000_51940bae34c777.31998533_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2375"	"increase"	"øges"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1996"	"Car Tyres"	"bildæk"	"S627_stimulus2_attr_alt_attr_stimulus2_3_51740713ba13a0.98593076_0"	"PISA_dan-DNK_SCI_S627-CarTyres_en15_MS2022.xlf"
"2340"	"increase"	"øges"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"87"	"Fats"	"Fedt"	"S326_stimulus2_t3tr2td1_50ec49a75c9443.72232773_0"	"PISA_dan-DNK_SCI_S326-Milk_en15_MS2022.xlf"
"2453"	"High"	"Højt"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1893"	"Sound OFF at Outer Edge"	"Lyd SLUKKET ved Yderste grænse"	"S626_stimulus3_graphTitle23_515e3a72771cf2.64307900_0"	"PISA_dan-DNK_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"1055"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Klik på én af svarmulighederne. &lt;/i&gt;"	"S603_question5_itemDirections5_515e3a720ccc26.65539143_0"	"PISA_dan-DNK_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2372"	"decrease"	"reduceres"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2371"	"increase"	"øges"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Lavt"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2108"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Med denne simulering kan du undersøge, hvordan vaccination påvirker spredningen af en smitsom sygdom i en gruppe personer, der er udsat for smitte."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_dan-DNK_SCI_S634-Vaccination_en15_MS2022.xlf"
"1355"	"Newly hatched birds are in nests"	"Der er nyudklækkede fugle i rederne"	"S607_stimulus1_sl12_517407135d10a1.35506100_0"	"PISA_dan-DNK_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1523"	"Medium"	"Middel"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_dan-DNK_SCI_S615-Tsunami_en15_MS2022.xlf"
"2246"	"High"	"Højt"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2243"	"None"	"Intet"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1997"	"S627 Car Tyres"	"S627 bildæk"	"S627_stimulus3_unknownID_51740713bc8110.32660734_0"	"PISA_dan-DNK_SCI_S627-CarTyres_en15_MS2022.xlf"
"2344"	"increase"	"øges"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Lavt"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2341"	"decrease"	"reduceres"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"540"	"&lt;b&gt;Experiment&lt;/b&gt;"	"&lt;b&gt;Forsøg&lt;/b&gt;"	"S438_stimulus2_p3_50ec5637a081f0.31978389_0"	"PISA_dan-DNK_SCI_S438-GreenParks_en15_MS2022.xlf"
"2450"	"None"	"Intet"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_dan-DNK_SCI_S635-SaveTheFish_en15_MS2022.xlf"
