"Segment"	"en-ZZ"	"kk-KZ"	"ID"	"File"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Пайымдаудың әрқайсысына &lt;b&gt;Дұрыс&lt;/b&gt; немесе &lt;b&gt;Дұрыс емес&lt;/b&gt; сөздерінің бірінің үстінен тінтуірмен басыңыз.&lt;br /&gt;"	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_kaz-KAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3189"	"A"	"А"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_kaz-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен сұраққа өз жауабыңызды теріп жазыңыз."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_kaz-KAZ_MAT_MA111-HealthApp_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Цифрлары бар пернелердің көмегімен сұраққа жауаптарыңызды теріп жазыңыз."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_kaz-KAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен сұраққа өз жауабыңызды теріп жазыңыз."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_kaz-KAZ_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ &lt;b&gt;Бір немесе бірнеше&lt;/b&gt; жауапты таңдауды ұмытпаңыз."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_kaz-KAZ_MAT_MA149-FloorArea_en21_MS2022.xlf"
"5075"	"Statement"	"Сұрақ"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_kaz-KAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен өз жауабыңызды теріп жазыңыз."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_kaz-KAZ_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"5278"	"Mean"	"Орташа мән"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_kaz-KAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1343"	"Using the number keys, type your answer to the question."	"Цифрлары бар пернелердің көмегімен сұраққа өз жауабыңызды теріп жазыңыз."	"MA116_question3_itemDirections3_5c9d214a9c49c7.11195988_1_0"	"PISA_kaz-KAZ_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1042"	"Age"	"Жас"	"MA113S02_stimulus_T02tr2td3_5c9d214a666ba4.72309842_0"	"PISA_kaz-KAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Калькуляторды қолдану үшін келесі қадамдарды орындаңыз:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_kaz-KAZ_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4591"	"A"	"C"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_kaz-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Сұраққа жауап беру үшін әріптерді тінтуірдің көмегімен жылжытыңыз."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_kaz-KAZ_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Барлығы &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_kaz-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4225"	"A"	"А"	"MA149_stimulus2_img2Lbl1_5c9d2165299540.34702392_0"	"PISA_kaz-KAZ_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Сұраққа жауап беру үшін бір немесе бірнеше ұяшықтың үстінен тінтуірмен басыңыз."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_kaz-KAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
