"Segment"	"en-ZZ"	"el-GR"	"ID"	"File"
"1142"	"Water from Fog"	"Νερο απο την ομιχλη"	"S604_stimulus1_title1_51804e6bc97c14.42682590_0"	"PISA_ell-GRC_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"907"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Το φαινόμενο της αστικής θερμικής νησίδας&lt;/b&gt;&lt;br /&gt; Ερώτηση"	"S602_question2_qitemTitle2_515e3a71e8a9e9.07036274_0"	"PISA_ell-GRC_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"1914"	"sound in marine habitats"	"Ο ηχος στους θαλασσιους βιοτοπους"	"S626_stimulus3_title3_515e3a7276de26.20831696_0"	"PISA_ell-GRC_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2811"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Για να επιλέξεις μία γραμμή με δεδομένα προκειμένου να απαντήσεις σε μια ερώτηση, κάνε κλικ οπουδήποτε επάνω στη γραμμή. Η γραμμή ή οι γραμμές που επιλέγεις θα σημειώνονται με αστερίσκο. &lt;br/&gt;"	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_ell-GRC_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1863"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Ο ήχος στους θαλάσσιους βιότοπους &lt;/b&gt;&lt;br /&gt; Ερώτηση"	"S626_question4_itemTitle_4_515e3a726ce8e6.38888374_0"	"PISA_ell-GRC_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2991"	"Habitable Zone"	"Κατοικήσιμη ζώνη"	"S642_stimulus2_lable2_1_517407af83a424.62501371_0"	"PISA_ell-GRC_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2491"	"Medium"	"Μέτριος"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_ell-GRC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2590"	"Oil Spills"	"πετρελαιοκηλίδες"	"S638_stimulus1_attr_alt_attr_stimulus1_1_51804fe1904d11.47600391_0"	"PISA_ell-GRC_SCI_S638-OilSpills_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"Να αιτιολογήσεις την επιλογή σου.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_ell-GRC_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"1715"	"May"	"Μαϊ"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_ell-GRC_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2410"	"decrease"	"μειώνεται"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_ell-GRC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1283"	"&lt;b&gt;Birds and Caterpillars&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Πουλιά και κάμπιες.&lt;/b&gt;&lt;br /&gt; Ερώτηση"	"S607_question2_itemTitle2_5174071342fd00.51354019_0"	"PISA_ell-GRC_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1348"	"Do elephants have other sources of food besides acacia trees?"	"Οι ελέφαντες έχουν άλλες πηγές τροφής, εκτός από τις ακακίες;"	"S603_question5_question5_4_51740713543249.23750330_0"	"PISA_ell-GRC_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1478"	"Ammonoids"	"Αμμωνιτες"	"S608_stimulus2_title2_515e3a72351f17.07218628_0"	"PISA_ell-GRC_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2406"	"decrease"	"μειώνεται"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_ell-GRC_SCI_S635-SaveTheFish_en15_MS2022.xlf"
