"Segment"	"en-ZZ"	"es-MX"	"ID"	"File"
"1054"	"Name:"	"Appellidos:"	"R466_stimulus_s2line7_50c7c9bfea1590.25150173_0"	"PISA_esp-MEX_REA_R466-WorkRight_en15_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_esp-MEX_REA_R565-SittingDisease_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Para responder a la pregunta, da clic en un resultado de la búsqueda."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_esp-MEX_REA_R560-GarbagePatch_en18_MS2022.xlf"
"54"	"&lt;i&gt;Refer to the two-page newspaper article on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Consulta las dos páginas del artículo del periódico a la derecha. Escribe tu respuesta&lt;/i&gt;"	"R102_question_itemDirections_50c7af1bc47de6.80813378_0"	"PISA_esp-MEX_REA_R102-Shirts_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; En compras de $600 a $1499.99, Ofiplus le reembolsará $&lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;.&lt;br /&gt; &gt; En compras de $1500 a $2999.99, Ofiplus le reembolsará $500&lt;br /&gt; &gt; En compras de $3000 o más, Ofiplus le reembolsará $1000.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9bfea04f2.32335329_0"	"PISA_esp-MEX_REA_R466-WorkRight_en15_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b7fc639e05.74186328_0"	"PISA_esp-MEX_REA_R219-Employment_en15_MS2022.xlf"
"2103"	"False"	"Falsa"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_esp-MEX_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; en cada afirmación."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_esp-MEX_REA_R568-SpaceDebris_en18_MS2022.xlf"
"827"	"&lt;b&gt;How to Find a Summer Job&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;CÓMO ENCONTRAR UN TRABAJO DE VERANO&lt;/b&gt;&lt;br /&gt; Pregunta"	"R453_question_itemTitle_50c7b263353749.80305264_0"	"PISA_esp-MEX_REA_R453-SummerJob_en15_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Oferta de $1000 por los 10 años&lt;br /&gt; Grupo Carlson&lt;br /&gt; Blvd. Miguel Alemán 8210&lt;br /&gt; Toluca, Estado de México&lt;/b&gt;C.P. 14046 &lt;br /&gt;"	"R466_stimulus_line5b_50c7c9bfea0a89.16043111_0"	"PISA_esp-MEX_REA_R466-WorkRight_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Según el folleto, ¿es la afirmación verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-MEX_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1446"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"Sí, esa era la idea, pero estoy más interesado en el anuncio de asesorías..."	"Q01R542_question_Convp7_56fc782106bb52.01850166_1_0"	"PISA_esp-MEX_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Para responder a la pregunta, utiliza la función &quot;arrastrar y soltar&quot;."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_esp-MEX_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5542"	"True"	"Verdadera"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_esp-MEX_REA_R568-SpaceDebris_en18_MS2022.xlf"
"6175"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_esp-MEX_REA_R590-Sentences01_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Para responder a la pregunta, da clic en un resultado de la búsqueda."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_esp-MEX_REA_R568-SpaceDebris_en18_MS2022.xlf"
"325"	"TO"	"HASTA"	"R219_stimulus_sect4Line3span4_50c7b7fc64a0d9.67561229_0"	"PISA_esp-MEX_REA_R219-Employment_en15_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"Entre $600 y $1499.90&lt;br /&gt;"	"R466_stimulus_sect3left_50c7c9bfea5234.21025256_0"	"PISA_esp-MEX_REA_R466-WorkRight_en15_MS2022.xlf"
"4112"	"Read the information below."	"Lee la información a continuación."	"q00b-body_q00b-p1_56fc785d264c41.70943658_0_0"	"PISA_esp-MEX_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1056"	"Given Name:"	"Nombre:"	"R466_stimulus_line8_50c7c9bfea1c61.52041387_0"	"PISA_esp-MEX_REA_R466-WorkRight_en15_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Para responder a la pregunta, utiliza la función &quot;arrastrar y soltar&quot;."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_esp-MEX_REA_R569-TheCleanup_en18_MS2022.xlf"
"4942"	"Website"	"Sitio web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-MEX_REA_R566-SkelligRocks_en18_MS2022.xlf"
"439"	"Antarctic Circle"	"Círculo Polar Antártico"	"R220_stimulus_label5_50c7c0c71fe8a5.75014395_0"	"PISA_esp-MEX_REA_R220-SouthPole_en15_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_esp-MEX_REA_R556-Microlending_en18_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Para responder a la pregunta, selecciona una opción y después escribe tu explicación.."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_esp-MEX_REA_R562-OpeningNight_en18_MS2022.xlf"
"15"	"&lt;b&gt;Drugged Spiders&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ARAÑAS DROGADAS&lt;/b&gt;&lt;br /&gt; Preguntas"	"R055_question_itemTitle_50c7b37b598184.30426513_0"	"PISA_esp-MEX_REA_R055-DruggedSpiders_en15_MS2022.xlf"
"638"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"Da clic en el número &lt;b&gt;2&lt;/b&gt; para consultar la &lt;b&gt;segunda&lt;/b&gt; página"	"R404_question_introBullet2_50c7c8a79c4be9.45337493_0"	"PISA_esp-MEX_REA_R404-Sleep_en15_MS2022.xlf"
"1427"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Pizarrón de anuncios&lt;/b&gt;&lt;br /&gt;"	"Q01R542_question_Q01itemTitle_56fc7821069ed6.41094343_0_0"	"PISA_esp-MEX_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3781"	"Click on the NEXT arrow to read the article."	"Para leer el siguiente artículo, da clic en la flecha SIGUIENTE."	"q00body_q00p2_56fc783b235216.91742318_0"	"PISA_esp-MEX_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lee la información que se presenta a continuación."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_esp-MEX_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1313"	"False"	"Falsa"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_esp-MEX_REA_R541-Plastic_en18_MS2022.xlf"
"5269"	"True"	"Verdadera"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_esp-MEX_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5543"	"False"	"Falsa"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_esp-MEX_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4944"	"Website"	"Sitio web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-MEX_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_esp-MEX_REA_R544-Tesla_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Asesorías para Todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_esp-MEX_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1046"	"&lt;i&gt;*Stationery, print and promotion products, technology supplies. See the general terms of the offer.&lt;/i&gt;"	"&lt;i&gt;*Papelería, productos de impresión y promoción, artículos electrónicos. Ver condiciones generales de la oferta..&lt;/i&gt;"	"R466_stimulus_line3_50c7c9bfe9fa08.63351822_0"	"PISA_esp-MEX_REA_R466-WorkRight_en15_MS2022.xlf"
"1477"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"Sí, esa era la idea, pero estoy más interesado en el anuncio de asesorías..."	"Q02R542_question_Convp7_56fc782107fe14.69518872_1_0"	"PISA_esp-MEX_REA_R542-BulletinBoard_en18_MS2022.xlf"
"990"	"&lt;b&gt;Work Right&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;OFIPLUS&lt;/b&gt;&lt;br /&gt;  Pregunta"	"R466_question_itemTitle_50c7c9bfe33b57.87808415_0"	"PISA_esp-MEX_REA_R466-WorkRight_en15_MS2022.xlf"
"5270"	"False"	"Falsa"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_esp-MEX_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5312"	"True"	"Verdadera"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_esp-MEX_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3618"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_esp-MEX_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Para leer el cuento, da clic en la flecha SIGUIENTE."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_esp-MEX_REA_R570-TheFavour_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"Selecciona en un resultado de la búsqueda para responder a la pregunta."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_esp-MEX_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3610"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_1_0"	"PISA_esp-MEX_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4113"	"Then click on the NEXT arrow."	"Después pulsa en la flecha SIGUIENTE."	"q00b-body_q00b-p1_56fc785d264c41.70943658_1_0"	"PISA_esp-MEX_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1312"	"True"	"Verdadera"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_esp-MEX_REA_R541-Plastic_en18_MS2022.xlf"
"2102"	"True"	"Verdadera"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_esp-MEX_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4167"	"True"	"Verdadera"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_esp-MEX_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Para responder a la pregunta, selecciona una opción y después escribe tu explicación."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_esp-MEX_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3218"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_1_0"	"PISA_esp-MEX_REA_R553-HealthForum_en18_MS2022.xlf"
"963"	"&lt;b&gt;Gulf of Mexico&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;EL GOLFO DE MÉXICO&lt;/b&gt;&lt;br /&gt; Pregunta"	"R460_question_itemTitle_50c7cbf79ea351.76928377_0"	"PISA_esp-MEX_REA_R460-GulfOfMexico_en15_MS2022.xlf"
"5313"	"False"	"Falsa"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_esp-MEX_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50c7b7fc6392d2.47503584_0"	"PISA_esp-MEX_REA_R219-Employment_en15_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lee la información que se presenta a continuación."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_esp-MEX_REA_R590-Sentences01_en18_MS2022.xlf"
"852"	"&lt;b&gt;How to Find a Summer Job&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;CÓMO ENCONTRAR UN TRABAJO DE VERANO&lt;/b&gt;&lt;br /&gt; Pregunta"	"R453_question_itemTitle_50c7b263384e96.49902707_0"	"PISA_esp-MEX_REA_R453-SummerJob_en15_MS2022.xlf"
"832"	"&lt;b&gt;How to Find a Summer Job&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;CÓMO ENCONTRAR UN TRABAJO DE VERANO&lt;/b&gt;&lt;br /&gt; Pregunta"	"R453_question_itemTitle_50c7b26336cac5.73082746_0"	"PISA_esp-MEX_REA_R453-SummerJob_en15_MS2022.xlf"
"1851"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_esp-MEX_REA_R544-Tesla_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; en cada afirmación."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_esp-MEX_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; en cada afirmación."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_esp-MEX_REA_R552-FestiRock_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Para responder a la pregunta, da clic en un resultado de la búsqueda."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_esp-MEX_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después, da clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_esp-MEX_REA_R553-HealthForum_en18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Entre $1500 y $2999.90 &lt;br /&gt;"	"R466_stimulus_sect3left_50c7c9bfea5580.37611347_0"	"PISA_esp-MEX_REA_R466-WorkRight_en15_MS2022.xlf"
