"Segment"	"en-ZZ"	"ar-MA"	"ID"	"File"
"3014"	"Date:"	"التاريخ:"	"pg3_stimulus_pg3p9_56fd79425aaa51.78520711_0"	"PISA_ara-MAR_REA_R552-FestiRock_en18_MS2022.xlf"
"1915"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على الخيارات الواردة في الجدول للإجابة على السؤال&lt;/i&gt;"	"R544_question13_itemDirections_56fc7821777325.89058352_1_0"	"PISA_ara-MAR_REA_R544-Tesla_en18_MS2022.xlf"
"4167"	"True"	"صحيحة"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_ara-MAR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"اكتب إجابتك على السؤال."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_ara-MAR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; يرجع لك «مكتبي» &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; د على مشتريات قيمتها من 600 إلى 1499,99 د.&lt;br /&gt; &gt; يرجع لك «مكتبي» 500 د على مشتريات قيمتها من 1500 د إلى 2999,99 د.&lt;br /&gt; &gt; يرجع لك «مكتبي» 1000 د على مشتريات بـ 3000 د أو أكثر.&lt;br /&gt;"	"R466_stimulus_line5_50c7c8c815daa8.41926863_0"	"PISA_ara-MAR_REA_R466-WorkRight_en15_MS2022.xlf"
"5104"	"Click on one or more boxes to answer the question."	"انقر على مربع واحد أو اكثر للإجابة على السؤال."	"R566_question07_q07itemDirections_56fc786b8bda87.23847372_1_0"	"PISA_ara-MAR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5215"	"Click on one or more boxes to answer the question."	"انقر على مربع واحد أو اكثر للإجابة على السؤال."	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_ara-MAR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5313"	"False"	"خاطئة"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_ara-MAR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5542"	"True"	"صحيحة"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_ara-MAR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4447"	"About Us"	"نبذة عنّا."	"R563-stimulus-communtity_stimulus_culture_sports_5_56fc786b3809e6.65774760_0"	"PISA_ara-MAR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2102"	"True"	"صحيحة"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_ara-MAR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1014"	"WORK RIGHT"	"«مكتبي»"	"R466_stimulus_stimulus_1_50c7c8c813d474.26842162_0"	"PISA_ara-MAR_REA_R466-WorkRight_en15_MS2022.xlf"
"301"	"T"	"الخميس"	"R219_stimulus_stimulus_7_50c7b6f55efca5.19157791_0"	"PISA_ara-MAR_REA_R219-Employment_en15_MS2022.xlf"
"4423"	"About Us"	"نبذة عنّا."	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_ara-MAR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"313"	"PHONE"	"الهاتف"	"R219_stimulus_sect3Line2span3_50c7b6f55f7854.18764553_0"	"PISA_ara-MAR_REA_R219-Employment_en15_MS2022.xlf"
"1312"	"True"	"صحيحة"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_ara-MAR_REA_R541-Plastic_en18_MS2022.xlf"
"2004"	"Type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك على السؤال&lt;/i&gt;"	"R544_question8_itemDirections_56fc7821801f42.81584931_1_0"	"PISA_ara-MAR_REA_R544-Tesla_en18_MS2022.xlf"
"5217"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓&lt;i&gt; تذكر أنه ينبغي اختيار &lt;b&gt; واحد أو أكثر &lt;/b&gt; من المربعات.&lt;/i&gt;"	"R567_question01_q01p2_56fc78790bc0f7.07074059_0"	"PISA_ara-MAR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	".انقر على أحد الخيارات و اكتب تفسيراً للإجابة على السؤال."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_ara-MAR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على الخيارات الواردة في الجدول للإجابة على السؤال&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_ara-MAR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1561"	"Wednesday"	"الأربعاء"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_ara-MAR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1041"	"WORK RIGHT"	"«مكتبي»"	"R466_stimulus_stimulus2_1_50c7c8c815c249.17867514_0"	"PISA_ara-MAR_REA_R466-WorkRight_en15_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;القطب الجنوبي - الوثيقة 1&lt;/b&gt;"	"R220_stimulus_title_50c7bfc7a91682.98021792_0"	"PISA_ara-MAR_REA_R220-SouthPole_en15_MS2022.xlf"
"5269"	"True"	"صحيحة"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_ara-MAR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقر على أحد الخيارات ثم اكتب تفسيراً للإجابة على السؤال&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_ara-MAR_REA_R544-Tesla_en18_MS2022.xlf"
"4585"	"Click on one or more boxes to answer the question."	"انقر على مربع واحد أو اكثر للإجابة على السؤال."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_ara-MAR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1313"	"False"	"خاطئة"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_ara-MAR_REA_R541-Plastic_en18_MS2022.xlf"
"639"	"Then click on the NEXT arrow to view the first question."	"ثم انقرعلى السهم الموالي للإطلاع على السؤال الأول."	"R404_question_introBullet3_50c7c7b1f1e0a0.39556479_0"	"PISA_ara-MAR_REA_R404-Sleep_en15_MS2022.xlf"
"893"	"Statement"	"الإفـادة"	"R455_question_tr1th1_50c7ba482f0a03.44605777_0"	"PISA_ara-MAR_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"5664"	"Who's in the Chat"	"المتواجدون في الدردشة"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_ara-MAR_REA_R569-TheCleanup_en18_MS2022.xlf"
"4558"	"About Us"	"نبذة عنّا."	"R563_question05_question05_6_56fc786b440c44.64641158_0"	"PISA_ara-MAR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4355"	"About Us"	"نبذة عنّا."	"R563-stimulus-about_stimulus_about_5_56fc786b3201a8.65325622_0"	"PISA_ara-MAR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4394"	"About Us"	"نبذة عنّا."	"R563-stimulus-communtity_stimulus_culture_community_5_56fc786b34e7e8.94779133_0"	"PISA_ara-MAR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1955"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على الخيارات الواردة في الجدول للإجابة على السؤال&lt;/i&gt;"	"R544_question4_itemDirections_56fc78217afe38.91956313_1_0"	"PISA_ara-MAR_REA_R544-Tesla_en18_MS2022.xlf"
"1851"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ثم انقر على سهم &quot;التالي&quot;. &lt;/i&gt;"	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_ara-MAR_REA_R544-Tesla_en18_MS2022.xlf"
"5270"	"False"	"خاطئة"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_ara-MAR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5312"	"True"	"صحيحة"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_ara-MAR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4377"	"About Us"	"نبذة عنّا."	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_ara-MAR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"ثم انقر على سهم &quot;التالي&quot;. &lt;/i&gt;"	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_ara-MAR_REA_R544-Tesla_en18_MS2022.xlf"
