"Segment"	"en-ZZ"	"en-IE"	"ID"	"File"
"2101"	"Is the statement true or false?"	"According to the brochure, is the statement true or false?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_eng-IRL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Click on an option and type an explanation to answer the question."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_eng-IRL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3426"	"Click on a choice to answer the question.&lt;/i&gt;"	"Click on an option  to answer the question.&lt;/i&gt;"	"R556_question3_itemDirections_56fc783ac55ff8.32442383_1_0"	"PISA_eng-IRL_REA_R556-Microlending_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Click on an option and then type an explanation to answer the question."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_eng-IRL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; For purchases between €60 and €149.99, Work Right will reimburse you €&lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;.&lt;br /&gt; &gt; For purchases between €150 and €299.99, Work Right will reimburse you €50.&lt;br /&gt; &gt; For purchases of €300 or more, Work Right will reimburse you €100.&lt;br /&gt;"	"R466_stimulus_line5_50c7c8d53ea306.98618521_0"	"PISA_eng-IRL_REA_R466-WorkRight_en15_MS2022.xlf"
"1044"	"For the purchase of office supplies*"	"For the purchase of office supplies"	"R466_stimulus_line2_50c7c8d53e9493.88894503_0"	"PISA_eng-IRL_REA_R466-WorkRight_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Type your answers to the question."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_eng-IRL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2736"	"Hours"	"&lt;b&gt;Hours&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_eng-IRL_REA_R550-CliffPalace_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Click on the NEXT arrow to read the website."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_eng-IRL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1477"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"Yes, that’s my plan, but I’m more interested in the grinds post..."	"Q02R542_question_Convp7_56fc782107fe14.69518872_1_0"	"PISA_eng-IRL_REA_R542-BulletinBoard_en18_MS2022.xlf"
