"Segment"	"en-ZZ"	"fr-FR"	"ID"	"File"
"261"	"Density"	"Densité"	"S413_question3_q3t3tr3td1_5106513d1afb85.36306539_0"	"PISA_fra-FRA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1710"	"&lt;i&gt;Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix."	"S620_Q5_itemDirections5_51730583ed7d76.10723060_0"	"PISA_fra-FRA_SCI_S620-Tornadoes_fr15_MS2022.xlf"
"737"	"No"	"NON"	"S498_question3_question3_2_51065163ce7449.91391991_0"	"PISA_fra-FRA_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2125"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"question1_1_itemDirections01_5193fe2e0ae068.29636377_0"	"PISA_fra-FRA_SCI_S634-Vaccination_fr15_MS2022.xlf"
"736"	"Yes"	"OUI"	"S498_question3_question3_1_51065163ce7036.33068064_0"	"PISA_fra-FRA_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2813"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur l'un des choix de réponse.&lt;/i&gt;"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question cliquez sur la réponse de votre choix.&lt;/i&gt;"	"question4_1_itemDirections04_51940c2b054e00.32818573_0"	"PISA_fra-FRA_SCI_S646-Nanoparticles_fr15_MS2022.xlf"
"2614"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"question4_1_itemDirections04_51940c2adcb322.49737777_0"	"PISA_fra-FRA_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2178"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question cliquez sur la réponse de votre choix puis tapez votre explication.&lt;/i&gt;"	"question3_1_itemDirections03_5193fe2e0f9e76.77148631_0"	"PISA_fra-FRA_SCI_S634-Vaccination_fr15_MS2022.xlf"
"645"	"Bacteria"	"Les bactéries."	"S478_question1_question1_3_510651719006d8.46006224_0"	"PISA_fra-FRA_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2550"	"S629 Solar Cooker"	" "	"S629_stimulus0_unknownID_5180500f5dfcb0.57361205_0"	"PISA_fra-FRA_SCI_S638-OilSpills_fr15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Utilisez les informations fournies sous « Graphique 1&amp;nbsp;» à droite. Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"S428_question2_itemDirections2_51065154058922.66000603_0"	"PISA_fra-FRA_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"272"	"Density"	"Densité"	"S413_question3_q3t4tr3td1_5106513d1b3496.31333356_0"	"PISA_fra-FRA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1214"	"S605 Geothermal Energy"	"S605 Énergie géothermique"	"S605_stimulus2_unknownID_515e341d9a7a76.81499632_0"	"PISA_fra-FRA_SCI_S605-GeothermalEnergy_fr15_MS2022.xlf"
