"Segment"	"en-ZZ"	"ru-KZ"	"ID"	"File"
"2872"	"Uranus"	"Уран"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_rus-KAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"53"	"&lt;i&gt;Refer to &quot;Milk&quot; on the right.  Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Посмотрите на задание «Молоко» справа. Выберите ответ и кликните по нему мышью.&lt;/i&gt;"	"S326_question2_itemDirections2_56cee1d36c0141.67643457_0"	"PISA_rus-KAZ_SCI_S326-Milk_en18_MS2022.xlf"
"1290"	"Birds and Caterpillars Introduction"	"Птицы и гусеницы: введение"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_rus-KAZ_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2711"	"To see how all the controls in this simulation work, follow these steps:"	"Чтобы увидеть, как работают различные элементы управления в этой симуляции, выполните следующие шаги:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_rus-KAZ_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2537"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выполните симуляцию для получения данных на основании приведённой ниже информации. Выберите одну или несколько ячеек и кликните по ним мышью для ответа на вопрос.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_rus-KAZ_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2266"	"select"	"Выберите"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1291"	"Birds and Caterpillars Introduction"	"Птицы и гусеницы: введение"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_rus-KAZ_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2377"	"None"	"Нет"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2385"	"High"	"Высокая"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_rus-KAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1696"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt; Помните, что можно выбрать &lt;b&gt;одну или несколько&lt;/b&gt; ячеек.&lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_rus-KAZ_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
