"Segment"	"en-ZZ"	"sr-RS"	"ID"	"File"
"3543"	"&lt;i&gt;Read the Introduction."	"Pročitaj uvod,"	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_0_0"	"PISA_srp-SRB_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5534"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R568_question07_q07itemDirections_56fc784aab9398.42636422_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5157"	"1"	"46"	"R567_question01_attr_value_attr_R567Q01CHX_1_56fc78790be257.67356767_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5255"	"1"	"46"	"R567_question08_attr_value_attr_R567Q08RADIO_2_2_56fc787915b305.48769783_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1247"	"False"	"Netačna"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_srp-SRB_REA_R541-Plastic_en18_MS2022.xlf"
"5246"	"True"	"Tačna"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3865"	"Click on a search result to answer the question."	"Odgovori na pitanje tako što ćeš kilknuti na jedan od rezultata pretrage."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_srp-SRB_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2426"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_1_0"	"PISA_srp-SRB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4598"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00body_q00itemDirections_56fc783b5aea95.72363860_1_0"	"PISA_srp-SRB_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"980"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Važno! Ne zaboravite da priložite:&lt;/b&gt;&lt;br /&gt; &amp;mdash; Kopiju dokaza o kupovini&lt;br /&gt; &amp;mdash; Bar-kod(ove) ili etiketu(e) sa cenom originalnih proizvoda&lt;br /&gt;"	"R466_stimulus_sect3right_56d724d65bd253.14909653_0"	"PISA_srp-SRB_REA_R466-WorkRight_en18_MS2022.xlf"
