"Segment"	"en-ZZ"	"ar-SA"	"ID"	"File"
"1535"	"Type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال&lt;/i&gt;."	"Q3M953_question_Q3itemDirections_5c9d1f9b4c2169.42948659_1_0"	"PISA_ara-SAU_MAT_M953-FluTest_en21_MS2022.xlf"
"1146"	"Question"	"سؤال"	"Q2M919_question_Q2itemTitle_5c9d1f9b3cd628.11066246_2_0"	"PISA_ara-SAU_MAT_M919-FanMerchandise_en21_MS2022.xlf"
"1610"	"Question"	"سؤال"	"Q2M954_question_Q2itemTitle_5c9d1f9b553537.29418907_2_0"	"PISA_ara-SAU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1532"	"Question"	"سؤال"	"Q3M953_question_Q3itemTitle_5c9d1f9b4c1f60.83799316_2_0"	"PISA_ara-SAU_MAT_M953-FluTest_en21_MS2022.xlf"
"1502"	"Question"	"سؤال"	"Q1M953_question_Q1itemTitle_5c9d1f9b4a6e51.60784347_2_0"	"PISA_ara-SAU_MAT_M953-FluTest_en21_MS2022.xlf"
"1669"	"India"	"تركيا"	"M955_stimulus_tr7td1_5c3f628fb47959.63032308_0"	"PISA_ara-SAU_MAT_M955-Migration_en21_MS2022.xlf"
"1550"	"Show how you found your answer."	"بيّن كيف حصلت على إجابتك."	"Q3M953_question_Q3itemStem_5c9d1f9b4c2462.45792062_3_0"	"PISA_ara-SAU_MAT_M953-FluTest_en21_MS2022.xlf"
"922"	"Question"	"سؤال"	"Q2M905_question_Q2itemTitle_5c9d1f9b3089b7.33110112_2_0"	"PISA_ara-SAU_MAT_M905-TennisBalls_en21_MS2022.xlf"
"1660"	"Canada"	"أوغندا"	"M955_stimulus_tr4td1_5c3f628fb46bc8.23427739_0"	"PISA_ara-SAU_MAT_M955-Migration_en21_MS2022.xlf"
"892"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"انقر على الخيارات الموجودة في الجدول للإجابة عن السؤال&lt;/i&gt;"	"Q1M905_question_Q1itemDirections_5c9d1f9b2f5bf7.68192598_1_0"	"PISA_ara-SAU_MAT_M905-TennisBalls_en21_MS2022.xlf"
"1484"	"m"	"م"	"Q3M949_question_sp2_5c3f628df250a5.67794871_0"	"PISA_ara-SAU_MAT_M949-RoofTrussDesign_en21_MS2022.xlf"
"1596"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال، باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q1M954_question_Q1itemDirections_5c9d1f9b543d94.65836078_1_0"	"PISA_ara-SAU_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1663"	"China"	"البرازيل"	"M955_stimulus_tr5td1_5c3f628fb47052.82615159_0"	"PISA_ara-SAU_MAT_M955-Migration_en21_MS2022.xlf"
"1134"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"اكتب إجابتك عن السؤال، باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q1M919_question_Q1itemDirections_5c9d1f9b3bca33.09462625_1_0"	"PISA_ara-SAU_MAT_M919-FanMerchandise_en21_MS2022.xlf"
